Ticker,baker_bros-2020_q3.csv,altimeter-2021_q1.csv,altimeter-2019_q4.csv,baker_bros-2020_q2.csv,coatue-2019_q3.csv,fundsmith-2019_q3.csv,baillie_gifford-2020_q4.csv,altimeter-2021_q2.csv,altimeter-2021_q3.csv,baker_bros-2020_q1.csv,fundsmith-2021_q4.csv,coatue-2021_q4.csv,coatue-2019_q4.csv,fundsmith-2019_q4.csv,baillie_gifford-2020_q1.csv,altimeter-2019_q3.csv,baker_bros-2020_q4.csv,coatue-2021_q1.csv,fundsmith-2021_q1.csv,baillie_gifford-2020_q2.csv,fundsmith-2021_q3.csv,coatue-2021_q3.csv,altimeter-2021_q4.csv,fundsmith-2021_q2.csv,coatue-2021_q2.csv,baillie_gifford-2020_q3.csv,nikko-2019_q4.csv,tiger_global-2020_q2.csv,dragoneer-2020_q3.csv,orbimed-2019_q4.csv,casdin-2021_q4.csv,orbimed-2021_q1.csv,perceptive-2021_q4.csv,dragoneer-2020_q2.csv,tiger_global-2020_q3.csv,nikko-2021_q1.csv,nikko-2021_q3.csv,tiger_global-2020_q1.csv,orbimed-2021_q3.csv,perceptive-2019_q3.csv,orbimed-2021_q2.csv,casdin-2019_q3.csv,dragoneer-2020_q1.csv,nikko-2021_q2.csv,tiger_global-2020_q4.csv,perceptive-2021_q3.csv,casdin-2021_q3.csv,casdin-2021_q2.csv,orbimed-2019_q3.csv,dragoneer-2020_q4.csv,perceptive-2021_q2.csv,casdin-2019_q4.csv,perceptive-2019_q4.csv,casdin-2021_q1.csv,orbimed-2021_q4.csv,perceptive-2021_q1.csv,nikko-2021_q4.csv,baker_bros-2021_q1.csv,altimeter-2020_q3.csv,fundsmith-2020_q4.csv,coatue-2020_q4.csv,baillie_gifford-2021_q4.csv,baker_bros-2019_q4.csv,altimeter-2020_q2.csv,baker_bros-2021_q2.csv,altimeter-2020_q1.csv,baker_bros-2021_q3.csv,baker_bros-2019_q3.csv,fundsmith-2020_q2.csv,coatue-2020_q2.csv,baillie_gifford-2021_q3.csv,baillie_gifford-2021_q2.csv,fundsmith-2020_q3.csv,coatue-2020_q3.csv,altimeter-2020_q4.csv,baker_bros-2021_q4.csv,baillie_gifford-2019_q4.csv,coatue-2020_q1.csv,fundsmith-2020_q1.csv,baillie_gifford-2021_q1.csv,dragoneer-2021_q1.csv,orbimed-2020_q2.csv,tiger_global-2019_q4.csv,nikko-2020_q2.csv,nikko-2020_q3.csv,tiger_global-2021_q1.csv,dragoneer-2019_q4.csv,orbimed-2020_q3.csv,perceptive-2020_q4.csv,dragoneer-2021_q2.csv,orbimed-2020_q1.csv,casdin-2020_q4.csv,tiger_global-2021_q3.csv,nikko-2020_q1.csv,tiger_global-2021_q2.csv,dragoneer-2021_q3.csv,perceptive-2020_q1.csv,orbimed-2020_q4.csv,casdin-2020_q1.csv,dragoneer-2019_q3.csv,nikko-2020_q4.csv,tiger_global-2019_q3.csv,dragoneer-2021_q4.csv,perceptive-2020_q2.csv,casdin-2020_q2.csv,tiger_global-2021_q4.csv,casdin-2020_q3.csv,perceptive-2020_q3.csv
SGEN,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGNE,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
INCY,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACAD,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ALXN1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KOD,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
BMRN,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASND,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NVTA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
MYOK1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
PRLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARGX,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRTX,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
IGMS,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
