Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
United airlines holdings inc,UAL,"",11812083.0,1040526000.0,23.252,25.4868,1,-2693.0,-0.022793,reduction,4.5975724,Q4 2011,TRANSPORTS,"","",54.5
Meta platforms  inc.,FB,"",3753400.0,770385000.0,17.2153,16.3091,2,0.0,0.0,,0.1315621,Q1 2018,COMMUNICATIONS,"","",141.61
Salesforce.com inc.,CRM,"",4133903.0,672338000.0,15.0243,14.9727,3,0.0,0.0,,0.4713686,Q4 2016,INFORMATION TECHNOLOGY,"","",145.89
Uber technologies inc,UBER,"",21093284.0,627314000.0,14.0182,10.4085,4,7093284.0,50.666314,addition,1.2407814,Q2 2019,CONSUMER DISCRETIONARY,"","",32.1692
Expedia group inc,EXPE,"",3647373.0,394427000.0,8.814,11.1496,5,247680.0,7.285364,addition,2.4375947,Q4 2013,CONSUMER DISCRETIONARY,"","",106.0894
Pinduoduo inc,PDD,"",8690000.0,328656000.0,7.3443,6.8318,6,0.0,0.0,,0.7801278,Q3 2018,CONSUMER DISCRETIONARY,"","",25.71
Booking holdings inc. (priceline),BKNG,"",136402.0,280133000.0,6.2599,6.532,7,0.0,0.0,,0.2780310,Q4 2011,CONSUMER DISCRETIONARY,"","",1483.12
Microsoft corp.,MSFT,"",525000.0,82793000.0,1.8501,1.781,8,0.0,0.0,,0.0068759,Q1 2018,INFORMATION TECHNOLOGY,"","",103.15
Alibaba group holding ltd adr,BABA,"",294350.0,62432000.0,1.3951,1.2011,9,0.0,0.0,,0.0115685,Q2 2017,COMMUNICATIONS,"","",163.02
Mongodb inc,MDB,"",300000.0,39483000.0,0.8823,0.7919,10,30599.0,11.358161,addition,0.5326705,Q4 2017,INFORMATION TECHNOLOGY,"","",86.9254
Farfetch ltd,FTCH,"",3779409.0,39117000.0,0.8741,0.2249,11,2712700.0,254.305532,addition,1.2603912,Q3 2019,CONSUMER DISCRETIONARY,"","",9.8674
Okta inc,OKTA,"",250000.0,28843000.0,0.6445,0.6006,12,0.0,0.0,,0.2141328,Q2 2017,INFORMATION TECHNOLOGY,"","",42.19
Dynatrace inc,DT,"",1000000.0,25300000.0,0.5654,0.3417,13,250000.0,33.333333,addition,0.3565571,Q3 2019,INFORMATION TECHNOLOGY,"","",20.3275
Trivago n.v. class a adr,TRVG,"",5221028.0,13679000.0,0.3057,0.5236,14,0.0,0.0,,1.4838368,Q3 2017,COMMUNICATIONS,"","",6.26
Spirit airlines inc,SAVE,"",225000.0,9070000.0,0.2027,0.1993,15,0.0,0.0,,0.3287551,Q1 2018,TRANSPORTS,"","",52.86
Elastic nv,ESTC,"",140000.0,9002000.0,0.2012,0.6027,16,-160000.0,-53.333333,reduction,0.1793722,Q4 2018,INFORMATION TECHNOLOGY,"","",74.3
Ranpak holdings corp,PACK,"",1000000.0,8150000.0,0.1821,0.1479,17,0.0,0.0,,N/A,Q2 2019, ,"","",
Angi homeservices inc,ANGI,"",890000.0,7538000.0,0.1684,0.0813,18,420000.0,89.361702,addition,0.1753902,Q3 2019,COMMUNICATIONS,"","",7.7412
Crowdstrike holdings inc,CRWD,"",150000.0,7481000.0,0.1672,0.1779,19,25000.0,20.0,addition,0.0663864,Q2 2019,INFORMATION TECHNOLOGY,"","",62.2283
Norwegian cruise line holdings ltd,NCLH,"",110000.0,6425000.0,0.1436,0.139,20,0.0,0.0,,0.0510204,Q4 2017,CONSUMER DISCRETIONARY,"","",50.95
Datadog inc,DDOG,"",150000.0,5667000.0,0.1266,0.0827,21,50000.0,50.0,addition,0.0517545,Q3 2019,INFORMATION TECHNOLOGY,"","",35.2
Expedia group inc,EXPE,CALL,5000.0,4350000.0,0.0972,,22,5000.0,,new,N/A,Q4 2019,CONSUMER DISCRETIONARY,"","",
Allegiant travel co,ALGT,"",20000.0,3481000.0,0.0778,0.073,23,0.0,0.0,,0.1226242,Q4 2018,TRANSPORTS,"","",100.22
Mesa air group inc,MESA,"",329686.0,2947000.0,0.0659,0.0477,24,39686.0,13.684828,addition,1.0496211,Q3 2018,TRANSPORTS,"","",10.2243
Skywest inc,SKYW,"",35000.0,2262000.0,0.0505,0.049,25,0.0,0.0,,0.0683193,Q4 2018,TRANSPORTS,"","",47.84
Uber technologies inc,UBER,CALL,60000.0,1798000.0,0.0402,0.0848,26,45000.0,300.0,addition,N/A,Q3 2019,CONSUMER DISCRETIONARY,"","",
United airlines holdings inc,UAL,CALL,13150.0,1407000.0,0.0314,0.1524,27,0.0,0.0,,N/A,Q1 2019,TRANSPORTS,"","",
Peloton interactive inc,PTON,"",0.0,0.0,,0.0612,"",-100000.0,-100.0,soldall,0.0000000,Q3 2019,CONSUMER DISCRETIONARY,"","",25.1
Nutanix inc,NTNX,"",0.0,0.0,,0.5806,"",-906444.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,"","",38.35
Amazon.com inc.,AMZN,"",0.0,0.0,,0.3388,"",-8000.0,-100.0,soldall,0.0000000,Q4 2016,CONSUMER DISCRETIONARY,"","",833.19
Royal caribbean cruises ltd,RCL,"",0.0,0.0,,0.0264,"",-10000.0,-100.0,soldall,0.0000000,Q3 2019,CONSUMER DISCRETIONARY,"","",108.33
