Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,,9491575,2670929000,24.7121,1.78,1,9071575,2159.89881,addition,18.7210552,Q3 2020,INFORMATION TECHNOLOGY,,,280.0548
Pinduoduo inc,PDD,,8690000,1543952000,14.285,10.8801,2,0,0,,0.7086206,Q3 2018,CONSUMER DISCRETIONARY,,,25.71
Uber technologies inc,UBER,,28411000,1448961000,13.4062,18.1162,3,-1000000,-3.400088,reduction,1.6108127,Q2 2019,CONSUMER DISCRETIONARY,,,30.9
Meta platforms  inc.,FB,,3753400,1025279000,9.4861,16.5983,4,0,0,,0.1561335,Q1 2018,COMMUNICATIONS,,,141.61
Salesforce.com inc.,CRM,,2966723,660185000,6.1082,12.5894,5,0,0,,0.3232659,Q4 2016,INFORMATION TECHNOLOGY,,,145.89
Unity software inc.,U,,3796544,582656000,5.3909,5.5951,6,0,0,,1.4020924,Q3 2020,INFORMATION TECHNOLOGY,,,87.28
Expedia group inc,EXPE,,4026185,533067000,4.9321,8.2352,7,-1293031,-24.308676,reduction,2.9617808,Q4 2013,CONSUMER DISCRETIONARY,,,97.29
Microsoft corp.,MSFT,,1538135,342112000,3.1653,4.6706,8,223000,16.956434,addition,0.0203444,Q1 2018,INFORMATION TECHNOLOGY,,,172.9657
Booking holdings inc. (priceline),BKNG,,136402,303804000,2.8109,3.94,9,0,0,,0.3330541,Q4 2011,CONSUMER DISCRETIONARY,,,1483.12
Alibaba group holding ltd adr,BABA,,1100000,256003000,2.3686,1.4611,10,805650,273.704773,addition,0.0406559,Q2 2017,COMMUNICATIONS,,,214.0762
Farfetch ltd,FTCH,,3779409,241164000,2.2313,1.6056,11,0,0,,1.2724521,Q3 2019,CONSUMER DISCRETIONARY,,,9.87
United airlines holdings inc,UAL,,4803279,207742000,1.9221,2.8184,12,0,0,,1.6412357,Q4 2011,TRANSPORTS,,,54.5
Crowdstrike holdings inc,CRWD,,970000,205465000,1.901,2.2491,13,0,0,,0.5151902,Q2 2019,INFORMATION TECHNOLOGY,,,98.22
Mongodb inc,MDB,,422000,151515000,1.4019,1.7669,14,-30000,-6.637168,reduction,0.7002253,Q4 2017,INFORMATION TECHNOLOGY,,,133.81
Opendoor technologies  inc.,OPEN,,4000000,90920000,0.8412,,15,4000000,,new,9.6618357,Q4 2020,CONSUMER DISCRETIONARY,,,22.73
Shopify inc,SHOP,,73475,83170000,0.7695,0.8464,16,24475,49.94898,addition,0.0663114,Q3 2020,COMMUNICATIONS,,,1059.2719
Okta inc,OKTA,,325000,82635000,0.7646,0.993,17,50000,18.181818,addition,0.2681155,Q2 2017,INFORMATION TECHNOLOGY,,,88.0246
Amazon.com inc.,AMZN,,25045,81570000,0.7547,1.3316,18,0,0,,0.0049915,Q4 2016,CONSUMER DISCRETIONARY,,,2940.68
Zoom video communications inc,ZM,,165250,55742000,0.5157,0.635,19,85250,106.5625,addition,0.083159,Q2 2020,INFORMATION TECHNOLOGY,,,296.7608
Sea ltd adr,SE,,248000,49364000,0.4567,0.58,20,25000,11.210762,addition,0.048444,Q2 2020,INFORMATION TECHNOLOGY,,,116.495
Ccc intelligent solutions holdings inc,CCCS,,3500000,46445000,0.4297,,21,3500000,,new,5.0724638,Q4 2020,FINANCE,,,13.27
Coupa software inc,COUP,,130000,44058000,0.4076,,22,130000,,new,0.1801148,Q4 2020,INFORMATION TECHNOLOGY,,,338.91
Dynatrace inc,DT,,700000,30289000,0.2802,0.7619,23,-400000,-36.363636,reduction,0.248142,Q3 2019,INFORMATION TECHNOLOGY,,,20.65
Airbnb  inc.,ABNB,,198320,29113000,0.2694,,24,198320,,new,0.0332529,Q4 2020,CONSUMER DISCRETIONARY,,,146.8
Doordash  inc.,DASH,,200000,28550000,0.2642,,25,200000,,new,0.0698463,Q4 2020,CONSUMER DISCRETIONARY,,,142.75
Square inc,SQ,,25000,5441000,0.0503,,26,25000,,new,0.0065137,Q4 2020,FINANCE,,,217.64
Datadog inc,DDOG,,50000,4922000,0.0455,0.5798,27,-286123,-85.124493,reduction,0.0240328,Q3 2019,INFORMATION TECHNOLOGY,,,42.74
Ccc intelligent solutions holdings inc,CCCS.WS,,700000,2996000,0.0277,,28,700000,,new,N/A,Q4 2020, ,,,
Altimeter growth corp.,AGCUU,,10000,130000,0.0012,,29,10000,,new,0.02,Q4 2020,FINANCE,,,13
Stitch fix inc,SFIX,,0,0,,0.1145,,-250000,-100,soldall,0,Q2 2020,CONSUMER DISCRETIONARY,,,24.94
Vroom  inc.,VRM,,0,0,,0.6621,,-757266,-100,soldall,0,Q2 2020,CONSUMER DISCRETIONARY,,,52.14
Angi homeservices inc,ANGI,,0,0,,0.1667,,-890000,-100,soldall,0,Q3 2019,COMMUNICATIONS,,,7.74
Trivago n.v. class a adr,TRVG,,0,0,,0.1385,,-5290428,-100,soldall,0,Q3 2017,COMMUNICATIONS,,,6.2
Ranpak holdings corp,PACK,,0,0,,0.1607,,-1000000,-100,soldall,N/A,Q2 2019, ,,,
Dragoneer growth opportunities corp,DGNR.UN1,,0,0,,0.7239,,-3500000,-100,soldall,No Data,Q3 2020,FINANCE,,,12.25
