Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",12189646.0,1694726000.0,8.6626,8.4958,1,18512.0,0.152098,addition,0.1596463,Q1 2015,INFORMATION TECHNOLOGY,"","",51.2934
Paypal holdings inc,PYPL,"",15402344.0,1595529000.0,8.1556,9.1795,2,11316.0,0.073523,addition,1.3089662,Q3 2015,COMMUNICATIONS,"","",40.8461
Estee lauder companies inc.,EL,"",6766747.0,1346244000.0,6.8814,6.3553,3,105962.0,1.590834,addition,1.8756921,Q2 2016,CONSUMER STAPLES,"","",114.907
Stryker corp.,SYK,"",5945105.0,1285926000.0,6.5731,6.2146,4,143665.0,2.476368,addition,1.5891754,Q4 2012,HEALTH CARE,"","",100.4001
Philip morris international inc,PM,"",16928583.0,1285387000.0,6.5703,6.2478,5,1660076.0,10.87255,addition,1.0880671,Q4 2012,CONSUMER STAPLES,"","",88.052
Intuit  inc.,INTU,"",4660635.0,1239449000.0,6.3355,6.3345,6,8788.0,0.188914,addition,1.7978071,Q2 2017,INFORMATION TECHNOLOGY,"","",162.176
Idexx laboratories inc.,IDXX,"",4556016.0,1238917000.0,6.3328,6.413,7,85978.0,1.923429,addition,5.2921547,Q1 2015,HEALTH CARE,"","",82.0718
Meta platforms  inc.,FB,"",6482183.0,1154347000.0,5.9005,6.5117,8,7126.0,0.110053,addition,0.2272098,Q1 2018,COMMUNICATIONS,"","",162.2374
Waters corporation,WAT,"",5122867.0,1143578000.0,5.8454,5.7356,9,8861.0,0.173269,addition,7.6735575,Q1 2015,HEALTH CARE,"","",156.2061
Mccormick & co. non-voting shares,MKC,"",14583344.0,1139688000.0,5.8256,5.4952,10,976444.0,7.176094,addition,5.5019030,Q4 2018,CONSUMER STAPLES,"","",147.772
Pepsico inc. (loft  inc.),PEP,"",8289105.0,1136436000.0,5.8089,5.6544,11,13764.0,0.166325,addition,0.5944397,Q4 2012,CONSUMER STAPLES,"","",100.5608
Visa inc,V,"",6445632.0,1108713000.0,5.6672,5.5376,12,322102.0,5.260071,addition,0.3248954,Q4 2012,FINANCE,"","",81.6243
Automatic data processing inc,ADP,"",6480485.0,1046080000.0,5.3471,5.2807,13,350732.0,5.721797,addition,1.4942322,Q4 2012,INFORMATION TECHNOLOGY,"","",91.756
Becton  dickinson and co.,BDX,"",3817935.0,965785000.0,4.9366,5.0059,14,5764.0,0.1512,addition,1.4143119,Q4 2012,HEALTH CARE,"","",161.2686
Johnson & johnson co.,JNJ,"",5956821.0,770694000.0,3.9394,3.9191,15,556690.0,10.308824,addition,0.2257081,Q4 2012,HEALTH CARE,"","",109.572
Brown-forman corp. class b,BF.B,"",9243186.0,580287000.0,2.9662,,16,9243186.0,,new,1.9366786,Q3 2019,CONSUMER STAPLES,"","",62.78
Equifax inc.,EFX,"",620821.0,87331000.0,0.4464,0.4375,17,0.0,0.0,,0.5135845,Q4 2018,INDUSTRIALS,"","",98.08
Masimo corp,MASI,"",574963.0,85549000.0,0.4373,0.4459,18,0.0,0.0,,1.0779209,Q4 2018,HEALTH CARE,"","",114.05
Verisk analytics inc,VRSK,"",534530.0,84531000.0,0.4321,0.4014,19,8520.0,1.619741,addition,0.3269097,Q4 2018,INDUSTRIALS,"","",113.5227
Sabre corp,SABR,"",3630918.0,81314000.0,0.4156,0.42,20,0.0,0.0,,1.3267020,Q4 2018,CONSUMER DISCRETIONARY,"","",21.69
Check point software technologies ltd,CHKP,"",727785.0,79692000.0,0.4073,0.3756,21,104307.0,16.729861,addition,0.4780511,Q4 2018,INFORMATION TECHNOLOGY,"","",106.8786
Ansys  inc.,ANSS,"",347128.0,76840000.0,0.3928,0.3456,22,23351.0,7.212063,addition,0.4127562,Q4 2018,INFORMATION TECHNOLOGY,"","",156.0222
Cognex corp,CGNX,"",1167817.0,57375000.0,0.2933,0.292,23,0.0,0.0,,0.6842945,Q4 2018,INFORMATION TECHNOLOGY,"","",39.74
Ipg photonics corp,IPGP,"",392900.0,53277000.0,0.2723,0.2723,24,54081.0,15.96162,addition,0.7385338,Q4 2018,INFORMATION TECHNOLOGY,"","",133.7373
Verisign inc.,VRSN,"",272873.0,51472000.0,0.2631,0.2974,25,0.0,0.0,,0.2305255,Q4 2018,COMMUNICATIONS,"","",148.29
Msci inc,MSCI,"",200070.0,43565000.0,0.2227,0.2423,26,5300.0,2.721158,addition,0.2362102,Q4 2018,FINANCE,"","",163.4477
Smith (a.o.) corp.  class b,AOS,"",848563.0,40485000.0,0.2069,0.2085,27,0.0,0.0,,0.5161575,Q4 2018,INDUSTRIALS,"","",44.06
Paycom software inc,PAYC,"",170928.0,35808000.0,0.183,0.2019,28,0.0,0.0,,0.2925847,Q4 2018,INFORMATION TECHNOLOGY,"","",122.45
Marriott international inc/md,MAR,"",211302.0,26280000.0,0.1343,0.1292,29,34620.0,19.594526,addition,0.0641553,Q2 2016,CONSUMER DISCRETIONARY,"","",87.88
Church & dwight co.  inc.,CHD,"",202952.0,15270000.0,0.0781,,30,202952.0,,new,0.0821335,Q3 2019,CONSUMER STAPLES,"","",75.24
Mercadolibre inc,MELI,"",23644.0,13033000.0,0.0666,0.0754,31,0.0,0.0,,0.0475639,Q4 2018,COMMUNICATIONS,"","",365.38
3m co. (minnesota mining & manufacturing),MMM,"",0.0,0.0,,3.1881,"",-3529691.0,-100.0,soldall,0.0000000,Q4 2012,INDUSTRIALS,"","",163.28
Cdk global inc,CDK,"",0.0,0.0,,0.2863,"",-1111332.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,"","",48.14
