Stock,History,Sector,Shares Held or Principal Amt,Market Value,% of Portfolio,Previous % of Portfolio,Rank,Change in Shares,% Change,% Ownership,Qtr 1st Owned,Est. Avg Price,Qtr End Price,Recent Price,Source,Source Date,Date Reported
MSFT,History,INFORMATION TECHNOLOGY,"8,648,822","2,730,865,547",12.41%,12.88%,1,"-363,769",-4.04%,0.12%,Q1 2015,74.6287,315.75,,,,
SYK,History,HEALTH CARE,"5,518,803","1,508,123,296",6.85%,7.06%,2,"7,158",0.13%,1.45%,Q4 2012,127.3178,273.27,,,,
META,History,COMMUNICATIONS,"5,006,145","1,502,894,790",6.83%,6.81%,3,"-646,992",-11.44%,0.18%,Q1 2018,185.8698,300.21,,,,
PM,History,CONSUMER STAPLES,"15,064,536","1,394,674,743",6.34%,6.47%,4,"-720,380",-4.56%,0.97%,Q4 2012,88.8682,92.58,,,,
ADP,History,INFORMATION TECHNOLOGY,"5,520,512","1,328,124,777",6.03%,5.10%,5,"-5,856",-0.11%,1.31%,Q4 2012,97.8438,240.58,,,,
V,History,FINANCE,"5,756,599","1,324,075,336",6.02%,5.74%,6,"-4,684",-0.08%,0.30%,Q4 2012,98.0586,230.01,,,,
IDXX,History,HEALTH CARE,"2,964,554","1,296,310,528",5.89%,6.24%,7,"3,003",0.10%,3.52%,Q1 2015,83.669,437.27,,,,
MKC,History,CONSUMER STAPLES,"15,312,665","1,158,249,981",5.26%,5.66%,8,"-154,442",-1.00%,5.71%,Q4 2018,75.7446,75.64,,,,
PEP,History,CONSUMER STAPLES,"6,639,272","1,124,958,248",5.11%,5.16%,9,"-5,695",-0.09%,0.48%,Q4 2012,109.497,169.44,,,,
WAT,History,HEALTH CARE,"3,806,494","1,043,778,720",4.74%,4.26%,10,"-2,979",-0.08%,6.24%,Q1 2015,168.4716,274.21,,,,
GOOGL,History,COMMUNICATIONS,"7,588,728","993,060,946",4.51%,3.82%,11,"-26,908",-0.35%,0.06%,Q4 2021,143.2319,130.86,,,,
