Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Tesla inc,TSLA,"",58856065.0,12710674000.0,9.6858,6.856,1,-1526015.0,-2.527265,reduction,6.3163254,Q1 2013,CONSUMER DISCRETIONARY,"","",41.89
Amazon.com inc.,AMZN,"",4119285.0,11364365000.0,8.6599,9.0816,2,-179934.0,-4.185272,reduction,0.8223937,Q4 2004,CONSUMER DISCRETIONARY,"","",167.67
Alibaba group holding ltd adr,BABA,"",40757011.0,8791287000.0,6.6991,10.7768,3,-10389759.0,-20.313617,reduction,1.5069163,Q3 2014,COMMUNICATIONS,"","",98.55
Illumina inc,ILMN,"",17110115.0,6336731000.0,4.8287,5.2136,4,-508963.0,-2.888704,reduction,11.6395340,Q1 2011,HEALTH CARE,"","",113.43
Spotify technology sa,SPOT,"",22096060.0,5704982000.0,4.3473,2.8521,5,418645.0,1.93125,addition,11.7949023,Q2 2018,COMMUNICATIONS,"","",161.0951
Shopify inc,SHOP,"",5810601.0,5515423000.0,4.2029,2.7211,6,-213361.0,-3.541872,reduction,5.3691913,Q3 2017,COMMUNICATIONS,"","",175.37
Mercadolibre inc,MELI,"",4800797.0,4732482000.0,3.6063,2.464,7,145874.0,3.133758,addition,9.6576169,Q2 2010,COMMUNICATIONS,"","",131.2001
Alphabet inc. class c,GOOG,"",2517976.0,3559435000.0,2.7124,3.1925,8,-16094.0,-0.635105,reduction,0.3702015,Q2 2014,COMMUNICATIONS,"","",633.28
Netflix inc,NFLX,"",7713485.0,3509945000.0,2.6747,3.2596,9,-298815.0,-3.729453,reduction,1.7490283,Q1 2015,COMMUNICATIONS,"","",92.96
Meta platforms  inc.,FB,"",14603577.0,3316034000.0,2.5269,2.7637,10,-689504.0,-4.508601,reduction,0.5126192,Q2 2012,COMMUNICATIONS,"","",44.11
Tal education group american depositary adr,TAL,"",45604752.0,3118453000.0,2.3763,2.709,11,-1343075.0,-2.860782,reduction,7.5958900,Q1 2016,CONSUMER DISCRETIONARY,"","",33.08
Pinduoduo inc,PDD,"",25783127.0,2213224000.0,1.6865,1.0639,12,-1472111.0,-5.401204,reduction,2.1528525,Q3 2018,CONSUMER DISCRETIONARY,"","",33.32
Ferrari n.v.,RACE,"",12452188.0,2123725000.0,1.6183,2.2427,13,-875764.0,-6.570882,reduction,5.0191247,Q1 2016,CONSUMER DISCRETIONARY,"","",45.42
Nvidia corp.,NVDA,"",21903900.0,2080378000.0,1.5853,2.1303,14,-7933828.0,-26.58992,reduction,0.8904024,Q1 2016,INFORMATION TECHNOLOGY,"","",86.3
Dexcom inc,DXCM,"",4541984.0,1841319000.0,1.4031,1.4092,15,-288568.0,-5.97381,reduction,4.7439725,Q4 2012,HEALTH CARE,"","",86.32
Mastercard inc,MA,"",5916543.0,1749522000.0,1.3332,1.5366,16,45102.0,0.768159,addition,0.5910273,Q2 2011,FINANCE,"","",54.989
Zoom video communications inc,ZM,"",6668266.0,1690673000.0,1.2883,1.135,17,-501272.0,-6.991692,reduction,2.3637701,Q2 2019,INFORMATION TECHNOLOGY,"","",120.16
Workday inc,WDAY,"",8612391.0,1613617000.0,1.2296,0.9955,18,1556531.0,22.060117,addition,3.6648472,Q4 2012,COMMUNICATIONS,"","",113.0687
Moodys corp,MCO,"",5645191.0,1550903000.0,1.1818,1.2906,19,12712.0,0.225691,addition,3.0075605,Q4 2001,FINANCE,"","",63.357
Microsoft corp.,MSFT,"",7161344.0,1457404000.0,1.1106,1.2148,20,51417.0,0.723172,addition,0.0946310,Q1 2001,INFORMATION TECHNOLOGY,"","",121.8704
Taiwan semiconductor manufacturing co ltd adr,TSM,"",23843822.0,1353614000.0,1.0315,1.2979,21,-1223574.0,-4.881137,reduction,0.4597662,Q1 2016,INFORMATION TECHNOLOGY,"","",26.38
Alnylam pharmaceuticals inc,ALNY,"",8648678.0,1280956000.0,0.9761,0.992,22,236909.0,2.816399,addition,7.4576996,Q3 2010,HEALTH CARE,"","",84.6571
Atlassian corp plc,TEAM,"",7102003.0,1280278000.0,0.9756,1.1266,23,-474011.0,-6.256733,reduction,2.8937343,Q2 2016,INFORMATION TECHNOLOGY,"","",31.44
Wayfair inc class a,W,"",6090849.0,1203612000.0,0.9172,0.3571,24,-76238.0,-1.236208,reduction,8.3651942,Q3 2015,CONSUMER DISCRETIONARY,"","",82.2
Intuitive surgical inc,ISRG,"",6104442.0,1159497000.0,0.8836,1.1622,25,-394152.0,-6.065189,reduction,1.7387727,Q3 2009,HEALTH CARE,"","",54.75
The trade desk inc class a,TTD,"",28091080.0,1141903000.0,0.8702,0.5779,26,453760.0,1.641838,addition,6.0990171,Q3 2018,COMMUNICATIONS,"","",186.1675
Teladoc health inc,TDOC,"",5966431.0,1138633000.0,0.8677,0.9697,27,192429.0,3.33268,addition,7.3074924,Q1 2017,HEALTH CARE,"","",74.236
Anthem inc,ANTM,"",4096304.0,1077245000.0,0.8209,1.0078,28,-774.0,-0.018892,reduction,1.6287073,Q4 2014,HEALTH CARE,"","",91.96
Marketaxess holdings inc,MKTX,"",2011815.0,1007758000.0,0.7679,0.759,29,-94787.0,-4.499521,reduction,5.2981909,Q1 2012,FINANCE,"","",152.73
Chegg inc,CHGG,"",14672396.0,986866000.0,0.752,0.5591,30,250816.0,1.739171,addition,11.8026671,Q4 2017,CONSUMER DISCRETIONARY,"","",30.922
Peloton interactive inc,PTON,"",17014074.0,982903000.0,0.749,0.5024,31,-451385.0,-2.584444,reduction,6.0071108,Q3 2019,CONSUMER DISCRETIONARY,"","",26.72
