Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",50057277.0,4274891000.0,29.0815,23.545,1,0.0,0.0,,30.9530528,Q3 2004,HEALTH CARE,"","",32.06
Incyte corporation,INCY,"",31976557.0,2373620000.0,16.1474,18.4631,2,364.0,0.001138,addition,14.8679765,Q4 2001,HEALTH CARE,"","",71.71
Acadia pharmaceuticals inc,ACAD,"",40854586.0,1470357000.0,10.0026,7.1378,3,1562500.0,3.976628,addition,28.2750266,Q4 2010,HEALTH CARE,"","",14.7737
Beigene ltd adr,BGNE,"",11777285.0,1442246000.0,9.8114,9.921,4,0.0,0.0,,24.8047283,Q1 2016,HEALTH CARE,"","",117.58
Alexion pharmaceuticals inc.,ALXN1,"",8258068.0,808795000.0,5.5021,7.351,5,0.0,0.0,,3.6828560,Q2 2015,HEALTH CARE,"","",166.85
Amarin corp. adr,AMRN,"",41544288.0,629811000.0,4.2845,5.4746,6,0.0,0.0,,11.6302142,Q1 2015,HEALTH CARE,"","",8.92
Genomic health inc,GHDX,"",9244665.0,626973000.0,4.2652,3.6611,7,-16257.0,-0.175544,reduction,24.7912711,Q4 2005,HEALTH CARE,"","",22.88
Biomarin pharmaceutical inc,BMRN,"",7589294.0,511518000.0,3.4798,4.4177,8,0.0,0.0,,4.2289613,Q2 2012,HEALTH CARE,"","",84.32
Ascendis pharma a/s adr,ASND,"",3390270.0,326551000.0,2.2215,2.6531,9,0.0,0.0,,8.0452539,Q1 2015,HEALTH CARE,"","",44.21
Invitae corp,NVTA,"",8792678.0,169435000.0,1.1526,0.6233,10,4890257.0,125.313414,addition,9.2379470,Q1 2015,HEALTH CARE,"","",17.1041
Kodiak sciences inc,KOD,"",9145116.0,131507000.0,0.8946,0.7272,11,1.0,0.000011,addition,24.7633794,Q4 2018,HEALTH CARE,"","",7.1
Neurocrine biosciences inc.,NBIX,"",1415283.0,127531000.0,0.8676,0.8121,12,0.0,0.0,,1.5454062,Q1 2014,HEALTH CARE,"","",65.88
Argenx se ads adr,ARGX,"",1019557.0,116189000.0,0.7904,0.981,13,0.0,0.0,,2.6753004,Q2 2017,HEALTH CARE,"","",59.75
Heron therapeutics inc,HRTX,"",6018104.0,111335000.0,0.7574,0.7603,14,0.0,0.0,,7.5395941,Q1 2014,HEALTH CARE,"","",19.93
Mirati therapeutics inc,MRTX,"",1307220.0,101846000.0,0.6928,1.7594,15,-1206242.0,-47.991257,reduction,3.3262595,Q3 2013,HEALTH CARE,"","",18.61
Madrigal pharmaceuticals inc,MDGL,"",1169278.0,100815000.0,0.6858,0.8329,16,0.0,0.0,,7.5779520,Q2 2016,HEALTH CARE,"","",191.94
Myokardia inc,MYOK1,"",1517237.0,79124000.0,0.5383,0.3463,17,500931.0,49.289387,addition,3.2897593,Q3 2016,HEALTH CARE,"","",49.5711
Spark therapeutics inc,ONCE,"",751927.0,72922000.0,0.4961,0.5232,18,0.0,0.0,,1.9535646,Q1 2015,HEALTH CARE,"","",76.99
Tricida inc,TCDA,"",1969905.0,60811000.0,0.4137,0.5283,19,0.0,0.0,,3.9884693,Q2 2018,HEALTH CARE,"","",31.61
Rhythm pharmaceuticals inc,RYTM,"",2708200.0,58470000.0,0.3978,0.4049,20,0.0,0.0,,7.8453071,Q4 2017,HEALTH CARE,"","",29.6
Igm biosciences inc,IGMS,"",3144000.0,55806000.0,0.3796,,21,3144000.0,,new,No Data,Q3 2019,HEALTH CARE,"","",17.75
Ra pharmaceuticals inc,RARX1,"",2345496.0,55471000.0,0.3774,0.3682,22,543801.0,30.182745,addition,4.9882943,Q4 2016,HEALTH CARE,"","",24.1877
Cerus corp.,CERS,"",10749937.0,55416000.0,0.377,0.4106,23,0.0,0.0,,7.6610155,Q2 2012,HEALTH CARE,"","",4.27
Dbv technologies s.a. adr,DBVT,"",5509560.0,47382000.0,0.3223,0.3078,24,0.0,0.0,,9.1338859,Q4 2014,HEALTH CARE,"","",32.87
Principia biopharma inc,PRNB1,"",1654029.0,46710000.0,0.3178,0.4033,25,-133778.0,-7.482799,reduction,6.8489814,Q3 2018,HEALTH CARE,"","",29.22
Atreca inc,BCEL,"",3532760.0,43241000.0,0.2942,0.4523,26,0.0,0.0,,12.6395707,Q2 2019,HEALTH CARE,"","",18.84
Gw pharmaceuticals plc adr,GWPH,"",370845.0,42658000.0,0.2902,0.4345,27,0.0,0.0,,1.2005342,Q3 2017,HEALTH CARE,"","",132.99
Zymeworks inc,ZYME,"",1708472.0,42370000.0,0.2882,0.2554,28,0.0,0.0,,4.3461511,Q2 2018,HEALTH CARE,"","",14.76
Audentes therapeutics inc,BOLD,"",1506438.0,42316000.0,0.2879,0.3876,29,0.0,0.0,,3.3152245,Q1 2018,HEALTH CARE,"","",31.63
Neurocrine biosciences inc.,NBIX,PRN,30770000.0,42113000.0,0.2865,0.2755,30,0.0,0.0,,N/A,Q2 2018,HEALTH CARE,"","",
Insmed inc,INSM,"",2229760.0,39333000.0,0.2676,0.4284,31,-232456.0,-9.440926,reduction,2.4994507,Q4 2012,HEALTH CARE,"","",22.19
Biocryst pharmaceutical inc.,BCRX,"",12725472.0,36458000.0,0.248,0.3705,32,-1657201.0,-11.522205,reduction,11.5225208,Q4 2004,HEALTH CARE,"","",8.83
Adaptive biotechnologies corp,ADPT,"",1165411.0,36011000.0,0.245,0.3825,33,0.0,0.0,,0.9376547,Q2 2019,HEALTH CARE,"","",48.3
Krystal biotech inc,KRYS,"",1034674.0,35929000.0,0.2444,0.2832,34,0.0,0.0,,5.9807746,Q3 2017,HEALTH CARE,"","",24.29
Neoleukin therapeutics ord shs,NLTX,"",11305679.0,32221000.0,0.2192,,35,11305679.0,,new,N/A,Q3 2019, ,"","",
