Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",47288259.0,8029546000.0,35.2612,32.7883,1,0.0,0.0,,25.9919141,Q3 2004,HEALTH CARE,"","",32.11
Beigene ltd adr,BGNE,"",11668897.0,4235810000.0,18.6013,17.5875,2,0.0,0.0,,12.5421068,Q1 2016,HEALTH CARE,"","",136.93
Incyte corporation,INCY,"",32022125.0,2202482000.0,9.672,11.8314,3,393.0,0.001227,addition,14.5004578,Q4 2001,HEALTH CARE,"","",71.74
Kodiak sciences inc,KOD,"",14681304.0,1409112000.0,6.188,5.7744,4,543423.0,3.843737,addition,28.5214699,Q4 2018,HEALTH CARE,"","",39.0676
Ascendis pharma a/s adr,ASND,"",4541604.0,723886000.0,3.1789,2.0453,5,1001334.0,28.284114,addition,8.0523480,Q1 2015,HEALTH CARE,"","",73.2453
Acadia pharmaceuticals inc,ACAD,"",41910704.0,696137000.0,3.057,4.4893,6,0.0,0.0,,26.0892973,Q4 2010,HEALTH CARE,"","",15.46
Biomarin pharmaceutical inc,BMRN,"",7620494.0,588988000.0,2.5865,2.7811,7,31200.0,0.411105,addition,4.1562041,Q2 2012,HEALTH CARE,"","",84.2912
Argenx se ads adr,ARGX,"",1119557.0,338106000.0,1.4848,1.4803,8,0.0,0.0,,2.1764327,Q2 2017,HEALTH CARE,"","",79.01
Prelude therapeutics inc.,PRLD,"",10123824.0,316370000.0,1.3893,1.2729,9,0.0,0.0,,21.4972710,Q3 2020,HEALTH CARE,"","",30.14
Invitae corp,NVTA,"",9873488.0,280703000.0,1.2327,1.5182,10,-375087.0,-3.659894,reduction,4.5428836,Q1 2015,HEALTH CARE,"","",25.48
Mirati therapeutics inc,MRTX,"",1409784.0,249405000.0,1.0952,1.0001,11,0.0,0.0,,2.7309121,Q3 2013,HEALTH CARE,"","",22.85
Abcellera biologics inc.,ABCL,"",10450180.0,209422000.0,0.9197,1.0097,12,0.0,0.0,,3.7495638,Q4 2020,HEALTH CARE,"","",40.24
Igm biosciences inc,IGMS,"",3156102.0,207545000.0,0.9114,1.1532,13,0.0,0.0,,12.3136211,Q3 2019,HEALTH CARE,"","",17.97
Biocryst pharmaceutical inc.,BCRX,"",12710818.0,182654000.0,0.8021,0.8826,14,0.0,0.0,,7.1061794,Q4 2004,HEALTH CARE,"","",8.0
Kymera therapeutics  inc.,KYMR,"",2384742.0,140080000.0,0.6152,0.4173,15,425531.0,21.719509,addition,4.6723169,Q3 2020,HEALTH CARE,"","",37.0261
Pacific biosciences of california  inc.,PACB,"",5444963.0,139119000.0,0.6109,0.4918,16,2242991.0,70.0503,addition,2.7334456,Q3 2020,HEALTH CARE,"","",16.3292
Madrigal pharmaceuticals inc,MDGL,"",1499213.0,119622000.0,0.5253,0.6414,17,0.0,0.0,,9.0313780,Q2 2016,HEALTH CARE,"","",164.39
Legend biotech corp ads,LEGN,"",2364003.0,119524000.0,0.5249,0.3001,18,699469.0,42.021911,addition,1.6335684,Q2 2020,HEALTH CARE,"","",43.9343
Amarin corp. adr,AMRN,"",21856032.0,111466000.0,0.4895,0.5089,19,-4597390.0,-17.379188,reduction,5.5289398,Q1 2015,HEALTH CARE,"","",8.92
Immunocore holdings plc,IMCR,"",2520730.0,93443000.0,0.4103,0.4323,20,0.0,0.0,,5.7569199,Q1 2021,HEALTH CARE,"","",42.57
Heron therapeutics inc,HRTX,"",8131678.0,86928000.0,0.3817,0.5543,21,0.0,0.0,,7.9793138,Q1 2014,HEALTH CARE,"","",18.77
Cerus corp.,CERS,"",13713195.0,83513000.0,0.3667,0.3559,22,0.0,0.0,,7.9901249,Q2 2012,HEALTH CARE,"","",4.35
Global blood therapeutics inc,GBT,"",3217441.0,81980000.0,0.36,0.4948,23,0.0,0.0,,5.1551589,Q1 2020,HEALTH CARE,"","",44.81
Allakos inc,ALLK,"",703050.0,74432000.0,0.3269,0.2636,24,0.0,0.0,,1.3020298,Q3 2019,HEALTH CARE,"","",62.02
Nurix therapeutics  inc.,NRIX,"",2454082.0,73524000.0,0.3229,0.2859,25,0.0,0.0,,5.5238705,Q3 2020,HEALTH CARE,"","",33.87
Dbv technologies s.a. adr,DBVT,"",14614264.0,71610000.0,0.3145,0.3504,26,0.0,0.0,,13.2828721,Q4 2014,HEALTH CARE,"","",19.06
Instil bio inc,TIL,"",3893700.0,69600000.0,0.3056,0.3304,27,0.0,0.0,,3.0239541,Q1 2021,HEALTH CARE,"","",25.08
Verve therapeutics inc,VERV,"",1416530.0,66577000.0,0.2924,0.3748,28,0.0,0.0,,2.9516085,Q2 2021,HEALTH CARE,"","",4.7
Verastem inc,VSTM,"",21491630.0,66194000.0,0.2907,0.3842,29,0.0,0.0,,11.8897078,Q4 2020,HEALTH CARE,"","",2.64
Horizon therapeutics plc,HZNP,"",599110.0,65627000.0,0.2882,0.2464,30,0.0,0.0,,0.2652180,Q1 2020,HEALTH CARE,"","",63.26
Neurocrine biosciences inc.,NBIX,"",676975.0,64929000.0,0.2851,0.2893,31,0.0,0.0,,0.7160272,Q1 2014,HEALTH CARE,"","",65.88
Insmed inc,INSM,"",2156001.0,59376000.0,0.2607,0.2695,32,0.0,0.0,,1.8707708,Q4 2012,HEALTH CARE,"","",21.13
Immatics n.v.,4A3:FWB,"",4423731.0,57509000.0,0.2525,0.2184,33,140793.0,3.2873,addition,N/A,Q3 2020,HEALTH CARE,"","",
Apellis pharmaceuticals inc note 3.500% 9/1,DEBT-APEL,PRN,46754000.0,57262000.0,0.2515,0.1221,34,31754000.0,211.693333,addition,N/A,Q2 2021, ,"","",
Adaptimmune therapeutics plc adr,ADAP,"",9830877.0,50826000.0,0.2232,0.1839,35,0.0,0.0,,6.2982732,Q1 2020,HEALTH CARE,"","",5.77
Rhythm pharmaceuticals inc,RYTM,"",3863239.0,50454000.0,0.2216,0.3322,36,0.0,0.0,,7.6946594,Q4 2017,HEALTH CARE,"","",26.09
Zymeworks inc,ZYME,"",1708472.0,49614000.0,0.2179,0.2603,37,0.0,0.0,,3.6831845,Q2 2018,HEALTH CARE,"","",14.76
Travere therapeutics inc,TVTX,"",2039772.0,49464000.0,0.2172,0.012,38,1852857.0,991.283204,addition,3.3594645,Q1 2021,MATERIALS,"","",24.316
