Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Invitae corp,NVTA,"",12203669.0,411630000.0,10.449,13.8879,1,0.0,0.0,,5.6150215,Q3 2018,HEALTH CARE,"","",30.33
Biolife solutions inc,BLFS,"",7440107.0,331159000.0,8.4063,7.9772,2,0.0,0.0,,18.4205862,Q2 2018,HEALTH CARE,"","",22.64
Fate therapeutics inc,FATE,"",3400000.0,295086000.0,7.4906,8.3491,3,0.0,0.0,,3.5720084,Q2 2017,HEALTH CARE,"","",17.66
Exact sciences corp,EXAS,"",2360186.0,293395000.0,7.4477,9.2633,4,0.0,0.0,,1.3726100,Q4 2020,HEALTH CARE,"","",132.23
Verve therapeutics inc,VERV,"",3038167.0,183050000.0,4.6466,,5,3038167.0,,new,6.3305962,Q2 2021,HEALTH CARE,"","",4.7002
Pacific biosciences of california  inc.,PACB,"",5000000.0,174850000.0,4.4385,4.9604,6,0.0,0.0,,2.5125813,Q3 2020,HEALTH CARE,"","",11.48
Alnylam pharmaceuticals inc,ALNY,"",1000000.0,169520000.0,4.3032,3.7004,7,120000.0,13.636364,addition,0.8414131,Q4 2015,HEALTH CARE,"","",114.168
Blueprint medicines corp,BPMC,"",1550000.0,136338000.0,3.4609,4.4885,8,0.0,0.0,,2.6462239,Q4 2015,HEALTH CARE,"","",61.58
Twist bioscience corp,TWST,"",1000000.0,133250000.0,3.3825,3.6889,9,0.0,0.0,,2.0287253,Q2 2019,HEALTH CARE,"","",30.11
Denali therapeutics inc,DNLI,"",1610000.0,126288000.0,3.2058,2.738,10,0.0,0.0,,1.3235770,Q4 2018,HEALTH CARE,"","",25.27
Relay therapeutics  inc.,RLAY,"",3375058.0,123493000.0,3.1348,3.475,11,0.0,0.0,,3.6533576,Q3 2020,HEALTH CARE,"","",42.59
Agios pharmaceuticals inc,AGIO,"",2165000.0,119313000.0,3.0287,3.3298,12,0.0,0.0,,3.6725124,Q4 2015,HEALTH CARE,"","",41.52
Caredx inc,CDNA,"",1193335.0,109214000.0,2.7723,2.42,13,0.0,0.0,,2.2675267,Q2 2018,HEALTH CARE,"","",20.79
Beam therapeutics inc.,BEAM,"",818820.0,105390000.0,2.6753,1.9519,14,0.0,0.0,,1.2340793,Q4 2020,HEALTH CARE,"","",80.94
Codexis inc,CDXS,"",4330000.0,98118000.0,2.4907,2.9519,15,0.0,0.0,,6.6985626,Q1 2017,MATERIALS,"","",14.4
Century therapeutics inc,IPSC,"",3206380.0,94075000.0,2.3881,,16,3206380.0,,new,5.8484321,Q2 2021,HEALTH CARE,"","",
Singular genomics systems inc,OMIC,"",2692870.0,74000000.0,1.8785,,17,2692870.0,,new,3.7633029,Q2 2021,HEALTH CARE,"","",27.48
Revolution medicines  inc.,RVMD,"",2305000.0,73161000.0,1.8572,2.5204,18,460465.0,24.963744,addition,3.1326004,Q1 2020,HEALTH CARE,"","",27.8029
Dermtech inc,DMTK,"",1745000.0,72540000.0,1.8414,2.6396,19,0.0,0.0,,5.8932122,Q1 2020,FINANCE,"","",
Sarepta therapeutics inc,SRPT,"",885000.0,68800000.0,1.7465,1.2209,20,335000.0,60.909091,addition,1.1084023,Q3 2018,HEALTH CARE,"","",87.2858
Adaptive biotechnologies corp,ADPT,"",1440000.0,58838000.0,1.4936,1.3789,21,290000.0,25.217391,addition,1.0229754,Q2 2019,HEALTH CARE,"","",40.1333
Beigene ltd adr,BGNE,"",150000.0,51479000.0,1.3068,1.555,22,0.0,0.0,,0.1617956,Q2 2020,HEALTH CARE,"","",188.4
Amyris inc.,AMRS,"",3000000.0,49110000.0,1.2466,,23,3000000.0,,new,1.0067918,Q2 2021,MATERIALS,"","",16.37
Global blood therapeutics inc,GBT,"",1310000.0,45876000.0,1.1645,1.0923,24,410000.0,45.555556,addition,2.0989532,Q4 2015,HEALTH CARE,"","",38.9154
Constellation pharmaceuticals inc,CNST,"",1341000.0,45326000.0,1.1506,1.2539,25,-459000.0,-25.5,reduction,2.7987241,Q3 2018,HEALTH CARE,"","",16.51
Generation bio co.,GBIO,"",1611214.0,43342000.0,1.1002,1.3657,26,0.0,0.0,,2.8376144,Q2 2020,HEALTH CARE,"","",21.0
Crispr therapeutics ag,CRSP,"",266430.0,43132000.0,1.0949,0.9669,27,0.0,0.0,,0.3496402,Q1 2020,HEALTH CARE,"","",42.41
Alector inc,ALEC,"",1650000.0,34370000.0,0.8725,0.9897,28,0.0,0.0,,2.0401748,Q1 2019,HEALTH CARE,"","",14.99
Zai lab ltd,ZLAB,"",190000.0,33628000.0,0.8536,0.7551,29,0.0,0.0,,0.1991432,Q1 2020,HEALTH CARE,"","",51.48
Magenta therapeutics inc,MGTA,"",3346034.0,32724000.0,0.8307,1.1799,30,0.0,0.0,,5.7131463,Q2 2018,HEALTH CARE,"","",11.97
23andme holding co,ME,"",2741457.0,32048000.0,0.8135,,31,2741457.0,,new,2.9582203,Q2 2021,HEALTH CARE,"","",2.4604
Allogene therapeutics inc,ALLO,"",1225000.0,31948000.0,0.811,1.3667,32,-75000.0,-5.769231,reduction,0.8615632,Q1 2020,HEALTH CARE,"","",30.52
4d molecular therapeutics  inc.,FDMT,"",1115555.0,26863000.0,0.6819,1.286,33,120201.0,12.076206,addition,4.1334833,Q4 2020,HEALTH CARE,"","",39.9531
Neogenomics  inc.,NEO,"",488889.0,22083000.0,0.5606,,34,488889.0,,new,0.3980652,Q2 2021,HEALTH CARE,"","",45.17
Monte rosa therapeutics inc,GLUE,"",960883.0,21812000.0,0.5537,,35,960883.0,,new,2.0716758,Q2 2021,HEALTH CARE,"","",22.7
Syndax pharmaceuticals inc,SNDX,"",1200000.0,20604000.0,0.523,0.6659,36,200000.0,20.0,addition,2.4677338,Q4 2020,HEALTH CARE,"","",21.4533
Recursion pharmaceuticals inc,RXRX,"",548156.0,20008000.0,0.5079,,37,548156.0,,new,0.3256616,Q2 2021,HEALTH CARE,"","",36.5
908 devices inc.,MASS,"",406502.0,15752000.0,0.3999,0.5872,38,0.0,0.0,,1.4702173,Q4 2020,HEALTH CARE,"","",56.95
Orchard therapeutics plc,ORTX,"",3215434.0,14116000.0,0.3583,0.6953,39,0.0,0.0,,2.5647378,Q2 2019,HEALTH CARE,"","",7.26
Kronos bio  inc.,KRON,"",583436.0,13973000.0,0.3547,0.5086,40,0.0,0.0,,1.0371423,Q4 2020,HEALTH CARE,"","",29.87
Fulcrum therapeutics inc,FULC,"",1154476.0,12099000.0,0.3071,0.4355,41,-86700.0,-6.985311,reduction,3.5295983,Q3 2019,HEALTH CARE,"","",11.19
Oric pharmaceuticals  inc.,ORIC,"",601515.0,10641000.0,0.2701,0.4389,42,0.0,0.0,,1.5298840,Q2 2020,HEALTH CARE,"","",33.8
Decibel therapeutics inc,DBTX,"",1171421.0,10074000.0,0.2557,0.3879,43,25000.0,2.1807,addition,4.7048168,Q1 2021,HEALTH CARE,"","",11.3011
Social cap hedosophia holdings corp iii,CLOV,"",726511.0,9677000.0,0.2456,0.1636,44,0.0,0.0,,0.3080075,Q1 2021,FINANCE,"","",7.56
Berkeley lights  inc.,BLI,"",200000.0,8962000.0,0.2275,0.2992,45,0.0,0.0,,0.2980600,Q3 2020,HEALTH CARE,"","",76.36
Alpha teknova inc,TKNO,"",300000.0,7119000.0,0.1807,,46,300000.0,,new,1.1489007,Q2 2021,HEALTH CARE,"","",23.73
Sangamo therapeutics inc,SGMO,"",550000.0,6584000.0,0.1671,0.2053,47,0.0,0.0,,0.3784307,Q1 2017,HEALTH CARE,"","",10.02
Turning point therapeutics inc,TPTX,"",75000.0,5852000.0,0.1486,0.2113,48,0.0,0.0,,0.1517974,Q2 2019,HEALTH CARE,"","",40.08
Nautilus biotechnology inc,NAUT,"",500000.0,5050000.0,0.1282,,49,500000.0,,new,N/A,Q2 2021,HEALTH CARE,"","",
Seer  inc.,SEER,"",150000.0,4917000.0,0.1248,0.2235,50,0.0,0.0,,0.2642979,Q4 2020,HEALTH CARE,"","",56.14
Stoke therapeutics inc,STOK,"",120000.0,4039000.0,0.1025,0.1388,51,0.0,0.0,,0.3265387,Q2 2019,HEALTH CARE,"","",26.51
Foghorn therapeutics inc.,FHTX,"",216216.0,2307000.0,0.0586,0.0849,52,0.0,0.0,,0.5853661,Q4 2020,HEALTH CARE,"","",20.27
Zymergen inc,ZY,"",30000.0,1200000.0,0.0305,,53,30000.0,,new,0.0299029,Q2 2021, ,"","",40.01
Sana biotechnology inc,SANA,"",60000.0,1180000.0,0.03,0.0598,54,0.0,0.0,,0.0319334,Q1 2021,HEALTH CARE,"","",33.47
Taysha gene therapies  inc.,TSHA,"",0.0,0.0,,0.496,"",-820440.0,-100.0,soldall,0.0000000,Q3 2020,HEALTH CARE,"","",22.4
Avalanche biotechnologies inc,ADVM,"",0.0,0.0,,0.6495,"",-2211622.0,-100.0,soldall,0.0000000,Q1 2020,HEALTH CARE,"","",12.41
Codiak biosciences  inc.,CDAK,"",0.0,0.0,,0.0344,"",-76688.0,-100.0,soldall,0.0000000,Q4 2020,HEALTH CARE,"","",32.3
Burning rock biotech ltd. ads,BNR,"",0.0,0.0,,0.6792,"",-847150.0,-100.0,soldall,0.0000000,Q2 2020,HEALTH CARE,"","",26.82
Dyne therapeutics  inc.,DYN,"",0.0,0.0,,0.2821,"",-610000.0,-100.0,soldall,0.0000000,Q3 2020,HEALTH CARE,"","",18.36
