Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",3076596.0,743921000.0,9.5844,10.751,1,-200000.0,-6.103896,reduction,1.0390395,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Uber technologies inc,UBER,"",11320595.0,567388000.0,7.31,8.8309,2,0.0,0.0,,0.6083378,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Procore technologies inc,PCOR,"",5221180.0,495751000.0,6.3871,,3,5221180.0,,new,4.0745903,Q2 2021,INFORMATION TECHNOLOGY,"","",94.95
Doordash  inc.,DASH,"",2584746.0,460938000.0,5.9386,6.9393,4,-1113109.0,-30.101478,reduction,0.8136832,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Square inc,SQ,"",1777689.0,433401000.0,5.5838,5.7761,5,0.0,0.0,,0.4473342,Q1 2020,FINANCE,"","",56.12
Dynatrace inc,DT,"",7239914.0,422956000.0,5.4492,5.94,6,-1364500.0,-15.85814,reduction,2.5466977,Q3 2019,INFORMATION TECHNOLOGY,"","",25.23
Peloton interactive inc,PTON,"",3404260.0,422196000.0,5.4394,2.1136,7,2090740.0,159.170778,addition,1.2667280,Q3 2019,CONSUMER DISCRETIONARY,"","",119.5673
Uipath inc,PATH,"",5518732.0,374887000.0,4.8299,,8,5518732.0,,new,1.2943278,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Jamf holding corp.,JAMF,"",9498527.0,318866000.0,4.1082,2.8544,9,3851236.0,68.196167,addition,8.0574617,Q3 2020,INFORMATION TECHNOLOGY,"","",33.79
Twilio inc,TWLO,"",777393.0,306417000.0,3.9478,3.791,10,0.0,0.0,,0.4656963,Q3 2017,INFORMATION TECHNOLOGY,"","",71.91
Datadog inc,DDOG,"",2756241.0,286870000.0,3.6959,5.3365,11,-1718241.0,-38.400892,reduction,1.1497041,Q3 2019,INFORMATION TECHNOLOGY,"","",34.38
Cargurus inc,CARG,"",9283746.0,243513000.0,3.1373,3.166,12,0.0,0.0,,9.2346998,Q1 2020,CONSUMER DISCRETIONARY,"","",24.02
Alibaba group holding ltd adr,BABA,"",802216.0,181927000.0,2.3439,2.6029,13,0.0,0.0,,0.0295130,Q4 2014,COMMUNICATIONS,"","",164.54
Zoominfo technologies inc.,ZI,"",3366769.0,175644000.0,2.2629,2.356,14,0.0,0.0,,1.8518483,Q2 2020,COMMUNICATIONS,"","",50.43
