Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Nu holdings ltd,NU,"",155035176.0,1454230000.0,16.6908,,1,155035176.0,,new,N/A,Q4 2021,INFORMATION TECHNOLOGY,"","",9.38
Jamf holding corp.,JAMF,"",20173285.0,766787000.0,8.8007,10.2315,2,0.0,0.0,,16.9459215,Q3 2020,INFORMATION TECHNOLOGY,"","",36.29
Rivian automotive inc,RIVN,"",5208074.0,540025000.0,6.1981,,3,5208074.0,,new,0.5835427,Q4 2021,CONSUMER DISCRETIONARY,"","",103.69
Datadog inc,DDOG,"",2732160.0,486625000.0,5.5852,5.0849,4,0.0,0.0,,1.0622833,Q3 2019,INFORMATION TECHNOLOGY,"","",34.38
Uber technologies inc,UBER,"",11320595.0,474673000.0,5.448,6.6777,5,0.0,0.0,,0.6083378,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Snowflake  inc.,SNOW,"",1378322.0,466907000.0,5.3589,8.974,6,-875315.0,-38.840106,reduction,0.4499909,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Ccc intelligent solutions holdings inc,CCCS,"",32583324.0,371124000.0,4.2596,4.3827,7,912608.0,2.881552,addition,5.3972992,Q3 2021,FINANCE,"","",10.5346
Cargurus inc,CARG,"",9283746.0,312305000.0,3.5845,3.8394,8,0.0,0.0,,9.1299869,Q1 2020,CONSUMER DISCRETIONARY,"","",24.02
Dynatrace inc,DT,"",4794193.0,289330000.0,3.3208,4.8556,9,-402026.0,-7.736895,reduction,1.6817528,Q3 2019,INFORMATION TECHNOLOGY,"","",25.23
Square inc,SQ,"",1777689.0,287115000.0,3.2953,5.6138,10,0.0,0.0,,0.4453409,Q1 2020,FINANCE,"","",56.12
Clearwater analytics holdings inc,CWAN,"",11828717.0,271824000.0,3.1198,1.0116,11,8828717.0,294.290567,addition,24.9729654,Q3 2021,INFORMATION TECHNOLOGY,"","",23.647
Procore technologies inc,PCOR,"",3095122.0,247517000.0,2.8409,3.6592,12,-15593.0,-0.501267,reduction,2.3444692,Q2 2021,INFORMATION TECHNOLOGY,"","",94.95
Doordash  inc.,DASH,"",1489210.0,221743000.0,2.545,4.1021,13,-23335.0,-1.542764,reduction,0.4688063,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Twilio inc,TWLO,"",777393.0,204719000.0,2.3496,3.2657,14,0.0,0.0,,0.4615016,Q3 2017,INFORMATION TECHNOLOGY,"","",71.91
Floor & decor holdings inc,FND,"",1413326.0,183747000.0,2.1089,2.2478,15,0.0,0.0,,1.3384838,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Peloton interactive inc,PTON,"",4832260.0,172802000.0,1.9833,3.9018,16,1428000.0,41.947442,addition,1.7624952,Q3 2019,CONSUMER DISCRETIONARY,"","",94.803
Endeavor group holdings  inc.,EDR,"",4166667.0,145375000.0,1.6685,1.5729,17,0.0,0.0,,1.5934751,Q2 2021,COMMUNICATIONS,"","",27.71
Enfusion inc,ENFN,"",6422221.0,134481000.0,1.5435,,18,6422221.0,,new,9.7924657,Q4 2021,INFORMATION TECHNOLOGY,"","",20.94
Cs disco inc,LAW,"",3426535.0,122499000.0,1.406,0.5736,19,2517885.0,277.101744,addition,5.9462861,Q3 2021,INFORMATION TECHNOLOGY,"","",38.9825
Meta platforms  inc.,FB,"",339374.0,114148000.0,1.3101,1.5165,20,0.0,0.0,,0.0143421,Q2 2016,COMMUNICATIONS,"","",158.83
Airbnb  inc.,ABNB,"",660000.0,109883000.0,1.2612,1.4578,21,0.0,0.0,,0.1902982,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Samsara inc,IOT,"",3847799.0,108162000.0,1.2414,,22,3847799.0,,new,N/A,Q4 2021,INFORMATION TECHNOLOGY,"","",28.11
Zoominfo technologies inc.,ZI,"",1683384.0,108073000.0,1.2404,2.7125,23,-1683385.0,-50.000015,reduction,0.4301370,Q2 2020,COMMUNICATIONS,"","",50.43
Cvent holding corp,CVT,"",12552000.0,102550000.0,1.177,0.0985,24,11800000.0,1569.148936,addition,2.6089033,Q3 2021,FINANCE,"","",8.2766
Roblox corp. class a,RBLX,"",957992.0,98826000.0,1.1343,0.953,25,0.0,0.0,,0.1855696,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Datto holding corp.,MSP,"",3706333.0,97662000.0,1.1209,1.1663,26,0.0,0.0,,2.2727994,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Ncino inc.,NCNO,"",1599650.0,87757000.0,1.0072,0.2572,27,1324650.0,481.690909,addition,1.6533948,Q3 2020,FINANCE,"","",59.1269
Glbl-e online ltd,GLBE,"",1234852.0,78277000.0,0.8984,1.1674,28,0.0,0.0,,0.8478735,Q2 2021,INFORMATION TECHNOLOGY,"","",57.08
Bumble inc,BMBL,"",2000000.0,67720000.0,0.7773,1.3161,29,0.0,0.0,,1.5474896,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Engagesmart inc,ESMT,"",2773598.0,66899000.0,0.7678,0.9418,30,673598.0,32.076095,addition,1.7153637,Q3 2021,INFORMATION TECHNOLOGY,"","",31.646
Robinhood markets inc,HOOD,"",3684577.0,65438000.0,0.7511,4.2903,31,-4058881.0,-52.416905,reduction,0.5050474,Q3 2021,FINANCE,"","",42.08
Goodrx holdings  inc.,GDRX,"",1300000.0,42484000.0,0.4876,0.7021,32,0.0,0.0,,1.6109442,Q3 2020,HEALTH CARE,"","",55.6
Health assurance acq corp cl a,HAAC,"",4000000.0,39080000.0,0.4485,0.5151,33,0.0,0.0,,7.6190476,Q2 2021,FINANCE,"","",10.01
Squarespace inc,SQSP,"",1284622.0,37896000.0,0.4349,0.6536,34,0.0,0.0,,1.4196375,Q2 2021,INFORMATION TECHNOLOGY,"","",59.41
Playtika holding corp,PLTK,"",2062500.0,35661000.0,0.4093,1.5007,35,-2062500.0,-50.0,reduction,0.5034980,Q1 2021,INFORMATION TECHNOLOGY,"","",27.21
Uipath inc,PATH,"",748971.0,32303000.0,0.3708,0.5188,36,0.0,0.0,,0.1691537,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Arco platform ltd,ARCE,"",1361179.0,28435000.0,0.3264,,37,1361179.0,,new,4.5091988,Q4 2021,INFORMATION TECHNOLOGY,"","",20.89
Sana biotechnology inc,SANA,"",1500000.0,23220000.0,0.2665,0.4448,38,0.0,0.0,,0.7943529,Q1 2021,HEALTH CARE,"","",33.47
Gitlab inc.,GTLB,"",250000.0,21750000.0,0.2496,,39,250000.0,,new,1.9841270,Q4 2021,INFORMATION TECHNOLOGY,"","",87.0
Grab holdings limited,GRAB,"",3010000.0,21461000.0,0.2463,0.0686,40,2500000.0,490.196078,addition,0.0762163,Q2 2021,FINANCE,"","",7.9043
Oscar health  inc.,OSCR,"",2543841.0,19969000.0,0.2292,0.5825,41,0.0,0.0,,1.4586244,Q1 2021,FINANCE,"","",26.88
Braze inc,BRZE,"",250000.0,19290000.0,0.2214,,42,250000.0,,new,2.5143180,Q4 2021,COMMUNICATIONS,"","",77.16
Nextdoor holdings inc,KIND,"",2000000.0,15780000.0,0.1811,,43,2000000.0,,new,2.5331314,Q4 2021,CONSUMER DISCRETIONARY,"","",7.89
Olo inc,OLO,"",750000.0,15608000.0,0.1791,0.2966,44,0.0,0.0,,1.3139749,Q1 2021,INFORMATION TECHNOLOGY,"","",26.39
Duolingo inc,DUOL,"",125000.0,13264000.0,0.1522,0.2738,45,0.0,0.0,,0.7912976,Q3 2021,INFORMATION TECHNOLOGY,"","",166.36
On holding ag,ONON,"",300000.0,11343000.0,0.1302,,46,300000.0,,new,No Data,Q4 2021,CONSUMER DISCRETIONARY,"","",37.81
Hashicorp inc,HCP,"",120000.0,10925000.0,0.1254,,47,120000.0,,new,N/A,Q4 2021,INFORMATION TECHNOLOGY,"","",91.04
