Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Paypal holdings inc,PYPL,"",12289470.0,3582135000.0,9.9268,9.5035,1,-15280.0,-0.12418,reduction,1.0458837,Q3 2015,COMMUNICATIONS,"","",40.85
Microsoft corp.,MSFT,"",12035021.0,3260287000.0,9.0349,9.0353,2,-14272.0,-0.118447,reduction,0.1601490,Q1 2015,INFORMATION TECHNOLOGY,"","",53.33
Idexx laboratories inc.,IDXX,"",4242462.0,2679327000.0,7.4249,6.5683,3,21850.0,0.517697,addition,4.9866771,Q1 2015,HEALTH CARE,"","",86.2928
Intuit  inc.,INTU,"",4582899.0,2246400000.0,6.2252,5.5765,4,5639.0,0.123196,addition,1.6771248,Q2 2017,INFORMATION TECHNOLOGY,"","",168.2766
Meta platforms  inc.,FB,"",6440136.0,2239300000.0,6.2055,6.0267,5,6488.0,0.100845,addition,0.2701612,Q1 2018,COMMUNICATIONS,"","",163.5158
Estee lauder companies inc.,EL,"",6830510.0,2172649000.0,6.0208,6.2968,6,23440.0,0.344348,addition,2.9455204,Q2 2016,CONSUMER STAPLES,"","",118.3976
Philip morris international inc,PM,"",19353620.0,1918137000.0,5.3155,5.4721,7,-34952.0,-0.180271,reduction,1.2417812,Q4 2012,CONSUMER STAPLES,"","",85.7
Stryker corp.,SYK,"",7014123.0,1821778000.0,5.0485,5.4279,8,7637.0,0.108999,addition,1.8600351,Q4 2012,HEALTH CARE,"","",121.8603
Mccormick & co. non-voting shares,MKC,"",17804657.0,1572507000.0,4.3577,4.8831,9,584488.0,3.394206,addition,7.1448746,Q4 2018,CONSUMER STAPLES,"","",86.1922
Visa inc,V,"",6536340.0,1528327000.0,4.2353,4.3719,10,44008.0,0.677846,addition,0.3863528,Q4 2012,FINANCE,"","",90.8988
Waters corporation,WAT,"",4408039.0,1523462000.0,4.2218,3.9709,11,14495.0,0.329916,addition,7.1834987,Q1 2015,HEALTH CARE,"","",162.8131
Pepsico inc. (loft  inc.),PEP,"",10087220.0,1494623000.0,4.1419,4.5136,12,54158.0,0.539795,addition,0.7298394,Q4 2012,CONSUMER STAPLES,"","",109.4291
Automatic data processing inc,ADP,"",7096900.0,1409586000.0,3.9062,4.2641,13,-16705.0,-0.234832,reduction,1.6774347,Q4 2012,INFORMATION TECHNOLOGY,"","",98.71
Nike inc.,NKE,"",8755854.0,1352692000.0,3.7486,3.3506,14,828386.0,10.449566,addition,0.6850751,Q1 2020,CONSUMER DISCRETIONARY,"","",101.7057
Starbucks corp.,SBUX,"",10746285.0,1201542000.0,3.3297,3.7257,15,25856.0,0.241184,addition,0.9113973,Q1 2020,CONSUMER DISCRETIONARY,"","",75.1983
Johnson & johnson co.,JNJ,"",7155706.0,1178831000.0,3.2668,3.4712,16,514862.0,7.75296,addition,0.2718235,Q4 2012,HEALTH CARE,"","",120.3886
Becton  dickinson and co.,BDX,"",4328550.0,1052660000.0,2.9171,3.3523,17,-6321.0,-0.145817,reduction,1.5072068,Q4 2012,HEALTH CARE,"","",170.81
Brown-forman corp. class b,BF.B,"",12595990.0,943943000.0,2.6158,2.4637,18,1364294.0,12.146821,addition,4.0672773,Q3 2019,CONSUMER STAPLES,"","",64.9798
Church & dwight co.  inc.,CHD,"",9224122.0,786080000.0,2.1784,1.7289,19,3000761.0,48.217691,addition,3.7566187,Q4 2020,CONSUMER STAPLES,"","",86.5829
Sabre corp,SABR,"",15581696.0,194460000.0,0.5389,0.7033,20,650072.0,4.353659,addition,4.8775108,Q4 2018,CONSUMER DISCRETIONARY,"","",12.6525
Fortinet inc,FTNT,"",752030.0,179126000.0,0.4964,0.4387,21,4122.0,0.551137,addition,0.4604636,Q3 2020,INFORMATION TECHNOLOGY,"","",140.4984
Equifax inc.,EFX,"",679315.0,162703000.0,0.4509,0.3892,22,3723.0,0.551072,addition,0.5575592,Q4 2018,INDUSTRIALS,"","",115.3343
Ansys  inc.,ANSS,"",404278.0,140309000.0,0.3888,0.3873,23,45670.0,12.735354,addition,0.4633425,Q4 2018,INFORMATION TECHNOLOGY,"","",191.3236
Verisk analytics inc,VRSK,"",789708.0,137978000.0,0.3824,0.3933,24,89892.0,12.845091,addition,0.4894364,Q4 2018,INDUSTRIALS,"","",132.3699
Cognex corp,CGNX,"",1620130.0,136172000.0,0.3774,0.4253,25,8879.0,0.551062,addition,0.9168445,Q4 2018,INFORMATION TECHNOLOGY,"","",41.8824
Verisign inc.,VRSN,"",588541.0,134005000.0,0.3714,0.37,26,3226.0,0.551156,addition,0.5225901,Q4 2018,COMMUNICATIONS,"","",175.7662
Ipg photonics corp,IPGP,"",633458.0,133514000.0,0.37,0.4226,27,3471.0,0.550964,addition,1.1841011,Q4 2018,INFORMATION TECHNOLOGY,"","",135.1864
Smith (a.o.) corp.  class b,AOS,"",1768126.0,127411000.0,0.3531,0.3781,28,9690.0,0.551058,addition,1.3274460,Q4 2018,INDUSTRIALS,"","",47.4954
Msci inc,MSCI,"",209762.0,111820000.0,0.3099,0.2782,29,1149.0,0.550781,addition,0.2544349,Q4 2018,FINANCE,"","",171.9789
Qualys  inc.,QLYS,"",1066674.0,107403000.0,0.2976,0.3536,30,5608.0,0.528525,addition,2.7389290,Q2 2020,INFORMATION TECHNOLOGY,"","",105.037
Masimo corp,MASI,"",433438.0,105087000.0,0.2912,0.3149,31,2375.0,0.550964,addition,0.7872546,Q4 2018,HEALTH CARE,"","",115.3602
Wingstop inc,WING,"",560949.0,88422000.0,0.245,0.181,32,113394.0,25.336327,addition,1.8858292,Q1 2021,CONSUMER DISCRETIONARY,"","",133.3274
Paycom software inc,PAYC,"",217122.0,78917000.0,0.2187,0.2541,33,1190.0,0.551099,addition,0.3613016,Q4 2018,INFORMATION TECHNOLOGY,"","",161.3141
Rollins  inc.,ROL,"",2240687.0,76631000.0,0.2124,0.2017,34,398260.0,21.616053,addition,0.4553508,Q1 2021,INDUSTRIALS,"","",34.3809
Zoetis  inc.,ZTS,"",220555.0,41103000.0,0.1139,0.1063,35,8348.0,3.933895,addition,0.0465361,Q4 2020,HEALTH CARE,"","",162.9701
Marriott international inc/md,MAR,"",297432.0,40605000.0,0.1125,0.1395,36,1251.0,0.422377,addition,0.0913331,Q2 2016,CONSUMER DISCRETIONARY,"","",93.1631
Procter & gamble co. (oh) (1905),PG,"",300204.0,40507000.0,0.1123,0.0364,37,215641.0,255.006327,addition,0.0122621,Q4 2020,CONSUMER STAPLES,"","",135.5413
Mercadolibre inc,MELI,"",24225.0,37737000.0,0.1046,0.1134,38,0.0,0.0,,0.0487310,Q4 2018,COMMUNICATIONS,"","",431.61
Taiwan semiconductor manufacturing co ltd adr,TSM,"",129633.0,15577000.0,0.0432,0.0444,39,11652.0,9.876167,addition,0.0024996,Q4 2020,INFORMATION TECHNOLOGY,"","",110.0395
Xp inc.,XP,"",253367.0,11034000.0,0.0306,0.0304,40,0.0,0.0,,0.0670700,Q1 2020,FINANCE,"","",19.29
