Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Springworks therapeutics inc,SWTX,"",6044266.0,498108000.0,5.0381,4.2555,1,-142041.0,-2.296055,reduction,12.3031198,Q3 2019,HEALTH CARE,"","",21.68
Bristol-myers squibb co,BMY,"",4515400.0,301719000.0,3.0517,2.6653,2,0.0,0.0,,0.2032029,Q2 2007,HEALTH CARE,"","",61.45
Edgewise therapeutics inc,EWTX,"",13944680.0,297440000.0,3.0085,4.2375,3,0.0,0.0,,28.3071768,Q1 2021,HEALTH CARE,"","",32.5
Boston scientific inc.,BSX,"",6920600.0,295925000.0,2.9931,2.501,4,0.0,0.0,,0.4860475,Q2 2020,HEALTH CARE,"","",35.52
Merck & co,MRK,"",3732400.0,290269000.0,2.9359,2.6904,5,-179155.2,-4.580153,reduction,0.1474456,Q1 2016,HEALTH CARE,"","",63.65
Prelude therapeutics inc.,PRLD,"",10039691.0,287436000.0,2.9073,4.0675,6,0.0,0.0,,21.3800602,Q3 2020,HEALTH CARE,"","",30.13
Horizon therapeutics plc,HZNP,"",2922155.0,273631000.0,2.7676,2.706,7,-222200.0,-7.066632,reduction,1.2935992,Q4 2019,HEALTH CARE,"","",42.13
Silverback therapeutics  inc.,SBTX,"",8740887.0,270006000.0,2.731,3.5658,8,0.0,0.0,,24.9479621,Q4 2020,HEALTH CARE,"","",46.34
Pmv pharmaceuticals  inc.,PMVP,"",7330423.0,250407000.0,2.5327,2.2543,9,0.0,0.0,,16.2777392,Q3 2020,HEALTH CARE,"","",35.5
Natera inc,NTRA,"",2057800.0,233622000.0,2.363,2.0848,10,-138100.0,-6.288993,reduction,2.1942125,Q3 2015,HEALTH CARE,"","",28.02
Vertex pharmaceuticals  inc.,VRTX,"",1065400.0,214817000.0,2.1728,2.2823,11,-70500.0,-6.206532,reduction,0.4106721,Q4 2012,HEALTH CARE,"","",148.46
Mirati therapeutics inc,MRTX,"",1264200.0,204206000.0,2.0654,1.956,12,43000.0,3.521127,addition,2.4488993,Q3 2019,HEALTH CARE,"","",112.4289
Turning point therapeutics inc,TPTX,"",2361327.0,184231000.0,1.8634,2.0884,13,0.0,0.0,,4.7792435,Q2 2019,HEALTH CARE,"","",40.5
Iovance biotherapeutics inc,IOVA,"",6645100.0,172906000.0,1.7489,1.9671,14,0.0,0.0,,4.2862764,Q1 2015,HEALTH CARE,"","",11.68
Arcutis biotherapeutics  inc.,ARQT,"",6073850.0,165755000.0,1.6765,1.643,15,0.0,0.0,,12.0892391,Q1 2020,HEALTH CARE,"","",29.42
Prelude therapeutics - non voting shares,PRLD-NV,"",5680186.0,162624000.0,1.6449,2.3013,16,0.0,0.0,,N/A,Q1 2021, ,"","",
Unitedhealth group inc.,UNH,"",389700.0,156051000.0,1.5784,1.402,17,-13300.0,-3.300248,reduction,0.0413292,Q4 2020,HEALTH CARE,"","",351.35
