Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Iovance biotherapeutics inc,IOVA,"",11670057.0,349343000.0,9.0985,5.1775,1,2253855.0,23.935924,addition,9.2001181,Q1 2014,HEALTH CARE,"","",13.7381
Global blood therapeutics inc,GBT,"",6065726.0,309897000.0,8.0712,9.2621,2,200000.0,3.409638,addition,9.9717630,Q3 2015,HEALTH CARE,"","",32.8519
Neurocrine biosciences inc.,NBIX,"",3063263.0,265126000.0,6.9051,7.7136,3,-549291.0,-15.20506,reduction,3.3016631,Q2 2010,HEALTH CARE,"","",39.93
Mirati therapeutics inc,MRTX,"",3319450.0,255167000.0,6.6457,8.1998,4,116044.0,3.622519,addition,7.6304233,Q4 2017,HEALTH CARE,"","",87.8522
Amicus therapeutics inc,FOLD,"",25182364.0,232685000.0,6.0602,4.8626,5,50000.0,0.198947,addition,9.7783554,Q1 2014,HEALTH CARE,"","",6.6751
Bridgebio pharma inc,BBIO,"",6706268.0,194481000.0,5.0652,2.8262,6,0.0,0.0,,5.5255718,Q2 2019,HEALTH CARE,"","",26.97
Kodiak sciences inc,KOD,"",3663557.0,174752000.0,4.5514,5.2361,7,0.0,0.0,,8.2475342,Q4 2018,HEALTH CARE,"","",16.45
Zymeworks inc,ZYME,"",3560999.0,126092000.0,3.284,2.17,8,1157973.0,48.188118,addition,9.0589554,Q2 2017,HEALTH CARE,"","",24.6797
Nevro corp,NVRO,"",1092068.0,107449000.0,2.7985,1.7836,9,328182.0,42.96217,addition,3.2415703,Q1 2019,HEALTH CARE,"","",74.7985
Springworks therapeutics inc,SWTX,"",3484358.0,94078000.0,2.4502,2.5518,10,146836.0,4.399552,addition,8.1028870,Q3 2019,HEALTH CARE,"","",22.4789
Athenex inc,ATNX,"",11532467.0,89261000.0,2.3248,3.4981,11,0.0,0.0,,14.1244708,Q1 2018,HEALTH CARE,"","",16.47
Meiragtx holdings plc,MGTX,"",6433277.0,86463000.0,2.2519,2.5584,12,0.0,0.0,,17.4625525,Q2 2018,HEALTH CARE,"","",12.92
Zogenix inc,ZGNX,"",3452921.0,85390000.0,2.224,3.8409,13,-256231.0,-6.908075,reduction,6.2393890,Q3 2016,HEALTH CARE,"","",20.86
Kadmon holdings inc,KDMN,"",15711334.0,65830000.0,1.7145,1.317,14,1075000.0,7.344735,addition,9.8299806,Q3 2016,HEALTH CARE,"","",4.4602
Myokardia inc,MYOK1,"",1314209.0,61611000.0,1.6046,1.7467,15,107798.0,8.935429,addition,2.8182249,Q4 2015,HEALTH CARE,"","",36.7823
Frequency therapeutics inc,FREQ,"",3034296.0,54040000.0,1.4075,0.9895,16,0.0,0.0,,9.8050194,Q4 2019,HEALTH CARE,"","",17.53
