Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",51650366.0,4355675000.0,10.0203,11.6324,1,0.0,0.0,,3.8560693,Q4 2014,CONSUMER DISCRETIONARY,"","",29.77
Microsoft corp.,MSFT,"",13722734.0,3235409000.0,7.4431,6.7768,2,1831000.0,15.39725,addition,0.1819457,Q4 2016,INFORMATION TECHNOLOGY,"","",113.3494
Roblox corp. class a,RBLX,"",40428863.0,2621003000.0,6.0297,,3,40428863.0,,new,8.1023013,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Sea ltd adr,SE,"",9505500.0,2121913000.0,4.8815,4.7055,4,279000.0,3.023899,addition,14.4120992,Q1 2018,INFORMATION TECHNOLOGY,"","",37.6032
Amazon.com inc.,AMZN,"",613095.0,1896965000.0,4.364,5.1161,5,0.0,0.0,,0.1217510,Q2 2015,CONSUMER DISCRETIONARY,"","",913.03
Pinduoduo inc,PDD,"",14053066.0,1881424000.0,4.3283,6.3972,6,0.0,0.0,,1.6002211,Q3 2018,CONSUMER DISCRETIONARY,"","",57.85
Apollo glbl management llc,APO,"",34913500.0,1641284000.0,3.7758,4.256,7,1000000.0,2.948678,addition,15.0511273,Q1 2017,FINANCE,"","",25.7567
Meta platforms  inc.,FB,"",5560137.0,1637627000.0,3.7674,4.428,8,-766663.0,-12.117706,reduction,0.2311476,Q4 2016,COMMUNICATIONS,"","",165.55
Carvana co,CVNA,"",6012907.0,1577787000.0,3.6297,3.6904,9,0.0,0.0,,7.6762339,Q1 2019,CONSUMER DISCRETIONARY,"","",60.86
Crowdstrike holdings inc,CRWD,"",7537000.0,1375578000.0,3.1645,4.0905,10,0.0,0.0,,3.8602325,Q2 2019,INFORMATION TECHNOLOGY,"","",111.48
Uber technologies inc,UBER,"",20821712.0,1134992000.0,2.6111,3.6171,11,-6859687.0,-24.780854,reduction,1.1203472,Q2 2019,CONSUMER DISCRETIONARY,"","",42.27
Servicenow inc,NOW,"",2156000.0,1078237000.0,2.4805,2.3171,12,513000.0,31.223372,addition,1.0994391,Q3 2017,INFORMATION TECHNOLOGY,"","",403.9
Docusign inc,DOCU,"",5151000.0,1042820000.0,2.399,1.0098,13,3378000.0,190.524535,addition,2.7610876,Q2 2018,INFORMATION TECHNOLOGY,"","",199.421
Transdigm group inc,TDG,"",1757245.0,1033119000.0,2.3767,2.7863,14,0.0,0.0,,3.2131647,Q4 2016,INDUSTRIALS,"","",269.66
Workday inc,WDAY,"",4127450.0,1025382000.0,2.3589,2.5339,15,0.0,0.0,,2.2431793,Q3 2019,COMMUNICATIONS,"","",167.77
Alibaba group holding ltd adr,BABA,"",4478062.0,1015311000.0,2.3357,2.6702,16,0.0,0.0,,0.1655086,Q3 2016,COMMUNICATIONS,"","",159.66
Ringcentral inc,RNG,"",3326370.0,990859000.0,2.2795,3.2298,17,0.0,0.0,,4.1438945,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",114.26
