Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Uber technologies inc,UBER,"",29411000.0,1072913000.0,18.1162,19.0094,1,500000.0,1.729446,addition,1.6675095,Q2 2019,CONSUMER DISCRETIONARY,"","",30.8966
Meta platforms  inc.,FB,"",3753400.0,983015000.0,16.5983,18.0305,2,0.0,0.0,,0.1561335,Q1 2018,COMMUNICATIONS,"","",141.61
Salesforce.com inc.,CRM,"",2966723.0,745597000.0,12.5894,12.4988,3,-187100.0,-5.932483,reduction,0.3260135,Q4 2016,INFORMATION TECHNOLOGY,"","",145.89
Pinduoduo inc,PDD,"",8690000.0,644364000.0,10.8801,15.781,4,0.0,0.0,,0.7256020,Q3 2018,CONSUMER DISCRETIONARY,"","",25.71
Expedia group inc,EXPE,"",5319216.0,487719000.0,8.2352,9.25,5,0.0,0.0,,3.9129727,Q4 2013,CONSUMER DISCRETIONARY,"","",97.29
Unity software inc.,U,"",3796544.0,331362000.0,5.5951,,6,3796544.0,,new,1.4415427,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Microsoft corp.,MSFT,"",1315135.0,276612000.0,4.6706,4.7236,7,218000.0,19.869934,addition,0.0173948,Q1 2018,INFORMATION TECHNOLOGY,"","",164.5804
Booking holdings inc. (priceline),BKNG,"",136402.0,233340000.0,3.94,4.5949,8,0.0,0.0,,0.3330541,Q4 2011,CONSUMER DISCRETIONARY,"","",1483.12
United airlines holdings inc,UAL,"",4803279.0,166914000.0,2.8184,3.5169,9,0.0,0.0,,1.6506625,Q4 2011,TRANSPORTS,"","",54.5
Crowdstrike holdings inc,CRWD,"",970000.0,133200000.0,2.2491,1.8459,10,100000.0,11.494253,addition,0.5260012,Q2 2019,INFORMATION TECHNOLOGY,"","",98.2238
Snowflake  inc.,SNOW,"",420000.0,105420000.0,1.78,,11,420000.0,,new,1.1599419,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Mongodb inc,MDB,"",452000.0,104643000.0,1.7669,2.1643,12,0.0,0.0,,0.7678065,Q4 2017,INFORMATION TECHNOLOGY,"","",133.81
Farfetch ltd,FTCH,"",3779409.0,95090000.0,1.6056,1.3808,13,0.0,0.0,,1.2724521,Q3 2019,CONSUMER DISCRETIONARY,"","",9.87
Alibaba group holding ltd adr,BABA,"",294350.0,86533000.0,1.4611,1.3432,14,0.0,0.0,,0.0108791,Q2 2017,COMMUNICATIONS,"","",163.02
Amazon.com inc.,AMZN,"",25045.0,78860000.0,1.3316,0.7497,15,12200.0,94.978591,addition,0.0049915,Q4 2016,CONSUMER DISCRETIONARY,"","",2940.6764
Okta inc,OKTA,"",275000.0,58809000.0,0.993,1.059,16,25000.0,10.0,addition,0.2292423,Q2 2017,INFORMATION TECHNOLOGY,"","",57.7955
Shopify inc,SHOP,"",49000.0,50126000.0,0.8464,,17,49000.0,,new,0.0445276,Q3 2020,COMMUNICATIONS,"","",1022.97
Dynatrace inc,DT,"",1100000.0,45122000.0,0.7619,0.9448,18,0.0,0.0,,0.3899375,Q3 2019,INFORMATION TECHNOLOGY,"","",20.65
Dragoneer growth opportunities corp,DGNR.UN1,"",3500000.0,42875000.0,0.7239,,19,3500000.0,,new,N/A,Q3 2020,FINANCE,"","",12.25
Vroom  inc.,VRM,"",757266.0,39211000.0,0.6621,0.8817,20,-42015.0,-5.256599,reduction,0.5814329,Q2 2020,CONSUMER DISCRETIONARY,"","",52.14
Zoom video communications inc,ZM,"",80000.0,37609000.0,0.635,0.4291,21,0.0,0.0,,0.0410768,Q2 2020,INFORMATION TECHNOLOGY,"","",253.54
Sea ltd adr,SE,"",223000.0,34351000.0,0.58,0.5059,22,0.0,0.0,,0.0457213,Q2 2020,INFORMATION TECHNOLOGY,"","",107.24
Datadog inc,DDOG,"",336123.0,34338000.0,0.5798,0.5518,23,36123.0,12.041,addition,0.1615597,Q3 2019,INFORMATION TECHNOLOGY,"","",42.7443
Angi homeservices inc,ANGI,"",890000.0,9875000.0,0.1667,0.2288,24,0.0,0.0,,1.1419302,Q3 2019,COMMUNICATIONS,"","",7.74
Ranpak holdings corp,PACK,"",1000000.0,9520000.0,0.1607,0.1574,25,0.0,0.0,,N/A,Q2 2019, ,"","",
Trivago n.v. class a adr,TRVG,"",5290428.0,8200000.0,0.1385,0.2205,26,0.0,0.0,,1.4974297,Q3 2017,COMMUNICATIONS,"","",6.2
Stitch fix inc,SFIX,"",250000.0,6783000.0,0.1145,0.1319,27,0.0,0.0,,0.4119311,Q2 2020,CONSUMER DISCRETIONARY,"","",24.94
