Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",21037333.0,6362321000.0,50.9689,47.103,1,-3887255.0,-15.596065,reduction,6.9914699,Q3 2020,INFORMATION TECHNOLOGY,"","",244.24
Meta platforms  inc.,FB,"",3753400.0,1273866000.0,10.205,10.2001,2,0.0,0.0,,0.1574537,Q1 2018,COMMUNICATIONS,"","",141.61
Uber technologies inc,UBER,"",24500000.0,1097600000.0,8.7929,9.5971,3,0.0,0.0,,1.3165630,Q2 2019,CONSUMER DISCRETIONARY,"","",30.9
Microsoft corp.,MSFT,"",1763135.0,497063000.0,3.982,3.733,4,0.0,0.0,,0.0234619,Q1 2018,INFORMATION TECHNOLOGY,"","",180.98
Peloton interactive inc,PTON,"",5650000.0,491833000.0,3.9401,5.0403,5,450000.0,8.653846,addition,2.0809806,Q1 2021,CONSUMER DISCRETIONARY,"","",119.336
Opendoor technologies  inc.,OPEN,"",13400000.0,275102000.0,2.2039,,6,13400000.0,,new,2.2161905,Q3 2021,CONSUMER DISCRETIONARY,"","",20.53
Shopify inc,SHOP,"",200000.0,271156000.0,2.1722,2.2837,7,0.0,0.0,,0.1760983,Q3 2020,COMMUNICATIONS,"","",1265.55
Unity software inc.,U,"",2098175.0,264895000.0,2.1221,1.8011,8,0.0,0.0,,0.7426679,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Zoom video communications inc,ZM,"",950000.0,248425000.0,1.9901,2.7224,9,50000.0,5.555556,addition,0.3946092,Q2 2020,INFORMATION TECHNOLOGY,"","",328.3937
Crowdstrike holdings inc,CRWD,"",970000.0,238407000.0,1.9099,1.9052,10,0.0,0.0,,0.4712524,Q2 2019,INFORMATION TECHNOLOGY,"","",98.22
Roblox corp. class a,RBLX,"",2850000.0,215318000.0,1.7249,1.9535,11,72223.0,2.600029,addition,0.5520644,Q1 2021,INFORMATION TECHNOLOGY,"","",65.1017
