Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Moderna inc,MRNA,"",45883213.0,10781638000.0,5.2543,3.3215,1,545449.0,1.203079,addition,11.3671825,Q4 2018,HEALTH CARE,"","",108.6202
Tesla inc,TSLA,"",15848146.0,10771985000.0,5.2496,6.0597,2,-367914.0,-2.268825,reduction,1.6007983,Q1 2013,CONSUMER DISCRETIONARY,"","",41.89
Illumina inc,ILMN,"",21188849.0,10026775000.0,4.8864,4.6054,3,-244486.0,-1.140681,reduction,14.4436599,Q1 2011,HEALTH CARE,"","",164.48
Amazon.com inc.,AMZN,"",2514202.0,8649258000.0,4.2151,5.1023,4,-433354.0,-14.702146,reduction,0.4964457,Q4 2004,CONSUMER DISCRETIONARY,"","",167.67
Shopify inc,SHOP,"",5751564.0,8402920000.0,4.0951,3.6328,5,-116776.0,-1.989932,reduction,5.0762402,Q3 2017,COMMUNICATIONS,"","",210.49
Mercadolibre inc,MELI,"",4602623.0,7169921000.0,3.4942,3.8204,6,-35909.0,-0.774146,reduction,9.2586406,Q2 2010,COMMUNICATIONS,"","",143.05
Alibaba group holding ltd adr,BABA,"",25732092.0,5835524000.0,2.8439,3.3859,7,-960900.0,-3.599821,reduction,0.9466665,Q3 2014,COMMUNICATIONS,"","",106.53
Spotify technology sa,SPOT,"",20691692.0,5702423000.0,2.779,3.1524,8,-336814.0,-1.601702,reduction,11.5436807,Q2 2018,COMMUNICATIONS,"","",162.28
Nio inc,NIO,"",90914259.0,4836639000.0,2.3571,2.0068,9,-1105502.0,-1.201375,reduction,6.6764078,Q3 2018,CONSUMER DISCRETIONARY,"","",8.04
Netflix inc,NFLX,"",8131206.0,4294985000.0,2.0931,2.3896,10,-56675.0,-0.692182,reduction,1.8404930,Q1 2015,COMMUNICATIONS,"","",135.28
Nvidia corp.,NVDA,"",21163688.0,4233267000.0,2.063,1.6166,11,-483900.0,-2.235353,reduction,0.8492652,Q1 2016,INFORMATION TECHNOLOGY,"","",151.77
The trade desk inc class a,TTD,"",52534783.0,4064091000.0,1.9806,1.5056,12,11239123.0,27.216233,addition,12.1014613,Q3 2018,COMMUNICATIONS,"","",72.5595
Pinduoduo inc,PDD,"",27453175.0,3487102000.0,1.6994,2.0124,13,585975.0,2.181005,addition,2.1904907,Q3 2018,CONSUMER DISCRETIONARY,"","",48.5318
Cloudflare inc,NET,"",30267184.0,3203479000.0,1.5612,1.1791,14,271966.0,0.906698,addition,11.4894152,Q2 2020,INFORMATION TECHNOLOGY,"","",41.9196
Wayfair inc class a,W,"",10108486.0,3191349000.0,1.5553,1.5028,15,1574228.0,18.445986,addition,13.0707709,Q3 2015,CONSUMER DISCRETIONARY,"","",169.998
Zoom video communications inc,ZM,"",8054141.0,3117193000.0,1.5191,1.4561,16,-46519.0,-0.574262,reduction,3.4014978,Q2 2019,INFORMATION TECHNOLOGY,"","",165.58
Meta platforms  inc.,FB,"",7997834.0,2780927000.0,1.3552,1.3461,17,-171430.0,-2.098475,reduction,0.3355060,Q2 2012,COMMUNICATIONS,"","",44.11
Sea ltd adr,SE,"",9812943.0,2694635000.0,1.3132,1.1994,18,209239.0,2.178732,addition,2.6708219,Q4 2017,INFORMATION TECHNOLOGY,"","",64.4976
Peloton interactive inc,PTON,"",20256004.0,2512150000.0,1.2243,1.0159,19,4106539.0,25.428328,addition,7.5372759,Q3 2019,CONSUMER DISCRETIONARY,"","",48.3912
Workday inc,WDAY,"",10037462.0,2396344000.0,1.1678,1.4223,20,-195443.0,-1.909946,reduction,5.3108265,Q4 2012,COMMUNICATIONS,"","",139.84
Carvana co,CVNA,"",7806561.0,2356175000.0,1.1483,0.9156,21,1569995.0,25.17403,addition,9.2383095,Q3 2020,CONSUMER DISCRETIONARY,"","",241.3043
Twilio inc,TWLO,"",5824990.0,2295978000.0,1.1189,0.9055,22,1075413.0,22.64229,addition,3.4894529,Q2 2020,INFORMATION TECHNOLOGY,"","",292.686
Dexcom inc,DXCM,"",5216621.0,2227498000.0,1.0855,1.0717,23,-113617.0,-2.131556,reduction,5.3919176,Q4 2012,HEALTH CARE,"","",150.0
Ferrari n.v.,RACE,"",10255549.0,2116197000.0,1.0313,1.4211,24,-1862336.0,-15.36849,reduction,5.5511048,Q1 2016,CONSUMER DISCRETIONARY,"","",49.82
Novocure ltd,NVCR,"",9301081.0,2063165000.0,1.0055,0.6555,25,437149.0,4.931773,addition,8.9737309,Q4 2017,HEALTH CARE,"","",57.7896
Moodys corp,MCO,"",5525511.0,2002280000.0,0.9758,0.8997,26,140319.0,2.605645,addition,2.9675140,Q4 2001,FINANCE,"","",70.9533
Microsoft corp.,MSFT,"",7017051.0,1900919000.0,0.9264,0.8993,27,199314.0,2.923463,addition,0.0933753,Q1 2001,INFORMATION TECHNOLOGY,"","",126.1031
Roku inc,ROKU,"",3800996.0,1745607000.0,0.8507,0.6578,28,191988.0,5.319689,addition,3.2653332,Q1 2019,INFORMATION TECHNOLOGY,"","",171.4121
Alnylam pharmaceuticals inc,ALNY,"",10224859.0,1733319000.0,0.8447,0.7958,29,149896.0,1.487807,addition,8.6033298,Q3 2010,HEALTH CARE,"","",93.6291
Alphabet inc. class c,GOOG,"",682222.0,1709867000.0,0.8333,1.516,30,-627675.0,-47.91789,reduction,0.2130822,Q2 2014,COMMUNICATIONS,"","",633.28
Mastercard inc,MA,"",4253315.0,1552843000.0,0.7568,1.2091,31,-1816412.0,-29.925761,reduction,0.4345310,Q2 2011,FINANCE,"","",66.46
Chegg inc,CHGG,"",18600221.0,1545863000.0,0.7534,0.8593,32,670026.0,3.736858,addition,12.8563068,Q4 2017,CONSUMER DISCRETIONARY,"","",41.63
