Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",47270759.0,6564018000.0,28.4584,31.1893,1,1335.0,0.002824,addition,26.0927351,Q3 2004,HEALTH CARE,"","",32.063
Beigene ltd adr,BGNE,"",11668897.0,4061710000.0,17.6096,11.3591,2,0.0,0.0,,12.7432150,Q1 2016,HEALTH CARE,"","",136.93
Incyte corporation,INCY,"",32001387.0,2600753000.0,11.2756,10.4859,3,1646.0,0.005144,addition,14.5564401,Q4 2001,HEALTH CARE,"","",71.7305
Kodiak sciences inc,KOD,"",13879952.0,1573848000.0,6.8234,7.6821,4,0.0,0.0,,27.1291915,Q4 2018,HEALTH CARE,"","",35.84
Acadia pharmaceuticals inc,ACAD,"",41910704.0,1081296000.0,4.688,8.4398,5,6118.0,0.0146,addition,26.1864208,Q4 2010,HEALTH CARE,"","",15.4615
Alexion pharmaceuticals inc.,ALXN,"",3993312.0,610617000.0,2.6473,5.1567,6,-4767482.0,-54.418378,reduction,1.8163971,Q2 2015,HEALTH CARE,"","",162.43
Invitae corp,NVTA,"",15749182.0,601776000.0,2.609,2.465,7,100000.0,0.639011,addition,8.0085368,Q1 2015,HEALTH CARE,"","",25.4813
Biomarin pharmaceutical inc,BMRN,"",7589294.0,573068000.0,2.4845,2.5072,8,0.0,0.0,,4.1738477,Q2 2012,HEALTH CARE,"","",84.32
Ascendis pharma a/s adr,ASND,"",3540270.0,456270000.0,1.9782,2.2244,9,0.0,0.0,,6.5865015,Q1 2015,HEALTH CARE,"","",48.88
Prelude therapeutics inc.,PRLD,"",10123824.0,438665000.0,1.9018,2.7275,10,5188.0,0.051272,addition,21.7315383,Q3 2020,HEALTH CARE,"","",30.1368
Abcellera biologics inc.,ABCL,"",10450180.0,354888000.0,1.5386,1.5842,11,0.0,0.0,,3.9293467,Q4 2020,HEALTH CARE,"","",40.24
Argenx se ads adr,ARGX,"",1119557.0,308315000.0,1.3367,1.1296,12,100000.0,9.808181,addition,2.1979819,Q2 2017,HEALTH CARE,"","",79.0112
Igm biosciences inc,IGMS,"",3156102.0,242041000.0,1.0494,1.0461,13,11210.0,0.356451,addition,13.0044575,Q3 2019,HEALTH CARE,"","",17.9693
Mirati therapeutics inc,MRTX,"",1409784.0,241496000.0,1.047,1.1666,14,0.0,0.0,,2.7842646,Q3 2013,HEALTH CARE,"","",22.85
Madrigal pharmaceuticals inc,MDGL,"",1499213.0,175363000.0,0.7603,0.6279,15,0.0,0.0,,9.3556502,Q2 2016,HEALTH CARE,"","",164.39
Amarin corp. adr,AMRN,"",26453422.0,164276000.0,0.7122,0.5157,16,-1538339.0,-5.495685,reduction,6.7236823,Q1 2015,HEALTH CARE,"","",8.92
Global blood therapeutics inc,GBT,"",3217441.0,131111000.0,0.5684,0.1502,17,2297066.0,249.579356,addition,5.1763249,Q1 2020,HEALTH CARE,"","",44.8063
Biocryst pharmaceutical inc.,BCRX,"",12710818.0,129269000.0,0.5604,0.3563,18,15000.0,0.118149,addition,7.1601492,Q4 2004,HEALTH CARE,"","",8.0026
Immunocore holdings plc,IMCR,"",2520730.0,107307000.0,0.4652,,19,2520730.0,,new,5.7569199,Q1 2021, ,"","",42.57
Pacific biosciences of california  inc.,PACB,"",3201972.0,106658000.0,0.4624,0.3129,20,0.0,0.0,,1.6581706,Q3 2020,HEALTH CARE,"","",9.87
Instil bio inc,TIL,"",3893700.0,97654000.0,0.4234,,21,3893700.0,,new,No Data,Q1 2021, ,"","",25.08
Talis biomedical corp,TLIS,"",7574835.0,97337000.0,0.422,,22,7574835.0,,new,No Data,Q1 2021, ,"","",12.85
Heron therapeutics inc,HRTX,"",5994704.0,97174000.0,0.4213,0.478,23,0.0,0.0,,6.5980818,Q1 2014,HEALTH CARE,"","",19.93
Cerus corp.,CERS,"",13713195.0,82416000.0,0.3573,0.3575,24,0.0,0.0,,8.1519365,Q2 2012,HEALTH CARE,"","",4.35
Allakos inc,ALLK,"",703050.0,80696000.0,0.3499,0.3767,25,-11200.0,-1.568078,reduction,1.3235772,Q3 2019,HEALTH CARE,"","",62.02
Dbv technologies s.a. adr,DBVT,"",14614264.0,77894000.0,0.3377,0.1442,26,0.0,0.0,,13.3010059,Q4 2014,HEALTH CARE,"","",19.06
Nurix therapeutics  inc.,NRIX,"",2454082.0,76297000.0,0.3308,0.2216,27,665161.0,37.182246,addition,5.5377059,Q3 2020,HEALTH CARE,"","",33.8746
Kymera therapeutics  inc.,KYMR,"",1959211.0,76135000.0,0.3301,0.4576,28,0.0,0.0,,4.3721180,Q3 2020,HEALTH CARE,"","",32.31
Rhythm pharmaceuticals inc,RYTM,"",3479873.0,74017000.0,0.3209,0.2593,29,1165000.0,50.326735,addition,6.9346199,Q4 2017,HEALTH CARE,"","",26.8113
Insmed inc,INSM,"",2156001.0,73433000.0,0.3184,0.2704,30,0.0,0.0,,2.0923243,Q4 2012,HEALTH CARE,"","",21.13
Apellis pharmaceuticals inc,APLS,"",1674004.0,71832000.0,0.3114,0.1932,31,777453.0,86.715982,addition,2.0827327,Q2 2018,HEALTH CARE,"","",33.6232
Neurocrine biosciences inc.,NBIX,"",676975.0,65836000.0,0.2854,0.2445,32,0.0,0.0,,0.7206182,Q1 2014,HEALTH CARE,"","",65.88
Krystal biotech inc,KRYS,"",760412.0,58582000.0,0.254,0.158,33,61538.0,8.805307,addition,3.4260892,Q3 2017,HEALTH CARE,"","",28.5589
Forma therapeutics holdings  inc.,FMTX,"",2024876.0,56737000.0,0.246,0.2662,34,0.0,0.0,,4.9191220,Q2 2020,FINANCE,"","",45.04
Horizon therapeutics plc,HZNP,"",599110.0,55142000.0,0.2391,0.1651,35,0.0,0.0,,0.2673710,Q1 2020,HEALTH CARE,"","",63.26
Atreca inc,BCEL,"",3532760.0,54157000.0,0.2348,0.2149,36,0.0,0.0,,11.7306197,Q2 2019,HEALTH CARE,"","",18.84
Zymeworks inc,ZYME,"",1708472.0,53954000.0,0.2339,0.3042,37,0.0,0.0,,3.7008711,Q2 2018,HEALTH CARE,"","",14.76
Adaptimmune therapeutics plc adr,ADAP,"",9830877.0,52202000.0,0.2263,0.1996,38,0.0,0.0,,6.3368617,Q1 2020,HEALTH CARE,"","",5.77
Kiniksa pharmaceuticals ltd,KNSA,"",2799577.0,51820000.0,0.2247,0.1864,39,0.0,0.0,,8.7699051,Q2 2018,HEALTH CARE,"","",17.35
Ultragenyx pharmaceutical inc,RARE,"",444444.0,50604000.0,0.2194,0.2318,40,0.0,0.0,,0.6638522,Q4 2020,HEALTH CARE,"","",138.43
Neoleukin therapeutics ord shs,NLTX,"",3821740.0,47046000.0,0.204,0.203,41,0.0,0.0,,N/A,Q3 2019, ,"","",
Immatics n.v.,4A3:FWB,"",3992756.0,44759000.0,0.1941,0.0734,42,2187731.0,121.202255,addition,N/A,Q3 2020, ,"","",
Design therapeutics inc,DSGN,"",1436636.0,42955000.0,0.1862,,43,1436636.0,,new,No Data,Q1 2021, ,"","",29.9
Achilles therapeutics plc,ACHL,"",2591366.0,42887000.0,0.1859,,44,2591366.0,,new,No Data,Q1 2021, ,"","",16.55
Merus bv,MRUS,"",2037469.0,42563000.0,0.1845,0.1346,45,0.0,0.0,,5.3439040,Q2 2016,HEALTH CARE,"","",10.77
Verastem inc,VSTM,"",17019294.0,42038000.0,0.1823,0.0814,46,6875255.0,67.776307,addition,9.9142067,Q4 2020,HEALTH CARE,"","",2.2673
Bioatla  inc.,BCAB,"",825000.0,41943000.0,0.1818,0.1057,47,0.0,0.0,,2.5643767,Q4 2020,HEALTH CARE,"","",34.01
Altimmune inc,ALT,"",2758518.0,38978000.0,0.169,0.0801,48,874067.0,46.383111,addition,7.4252761,Q2 2020,HEALTH CARE,"","",11.8688
Fulgent genetics inc,FLGT,"",401016.0,38746000.0,0.168,0.0973,49,-94557.0,-19.080337,reduction,1.3888291,Q3 2016,HEALTH CARE,"","",12.09
Protagonist therapeutics inc,PTGX,"",1436192.0,37197000.0,0.1613,0.1091,50,0.0,0.0,,3.2783553,Q1 2019,HEALTH CARE,"","",11.55
Aligos therapeutics  inc.,ALGS,"",1610000.0,36611000.0,0.1587,0.1677,51,0.0,0.0,,4.2209327,Q4 2020,HEALTH CARE,"","",27.65
Axsome therapeutics inc,AXSM,"",628414.0,35581000.0,0.1543,0.239,52,-150420.0,-19.313487,reduction,1.6800147,Q1 2019,HEALTH CARE,"","",30.04
Adc therapeutics sa,ADCT,"",1418107.0,34616000.0,0.1501,0.171,53,0.0,0.0,,1.8483818,Q2 2020,HEALTH CARE,"","",46.81
Chemocentryx  inc.,CCXI,"",656710.0,33650000.0,0.1459,0.1532,54,0.0,0.0,,0.9433690,Q1 2012,HEALTH CARE,"","",35.58
