Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",47288259.0,7465870000.0,32.7883,28.4584,1,17500.0,0.037021,addition,25.9919141,Q3 2004,HEALTH CARE,"","",32.1066
Beigene ltd adr,BGNE,"",11668897.0,4004649000.0,17.5875,17.6096,2,0.0,0.0,,12.5865062,Q1 2016,HEALTH CARE,"","",136.93
Incyte corporation,INCY,"",32021732.0,2693988000.0,11.8314,11.2756,3,20345.0,0.063575,addition,14.5002798,Q4 2001,HEALTH CARE,"","",71.7379
Kodiak sciences inc,KOD,"",14137881.0,1314823000.0,5.7744,6.8234,4,257929.0,1.858285,addition,27.4780516,Q4 2018,HEALTH CARE,"","",36.8828
Acadia pharmaceuticals inc,ACAD,"",41910704.0,1022202000.0,4.4893,4.688,5,0.0,0.0,,26.0892973,Q4 2010,HEALTH CARE,"","",15.46
Biomarin pharmaceutical inc,BMRN,"",7589294.0,633251000.0,2.7811,2.4845,6,0.0,0.0,,4.1391877,Q2 2012,HEALTH CARE,"","",84.32
Ascendis pharma a/s adr,ASND,"",3540270.0,465723000.0,2.0453,1.9782,7,0.0,0.0,,6.5768360,Q1 2015,HEALTH CARE,"","",48.88
Invitae corp,NVTA,"",10248575.0,345684000.0,1.5182,2.609,8,-5500607.0,-34.926303,reduction,4.7154646,Q1 2015,HEALTH CARE,"","",25.48
Argenx se ads adr,ARGX,"",1119557.0,337065000.0,1.4803,1.3367,9,0.0,0.0,,2.1764327,Q2 2017,HEALTH CARE,"","",79.01
Prelude therapeutics inc.,PRLD,"",10123824.0,289845000.0,1.2729,1.9018,10,0.0,0.0,,21.5592259,Q3 2020,HEALTH CARE,"","",30.14
Igm biosciences inc,IGMS,"",3156102.0,262588000.0,1.1532,1.0494,11,0.0,0.0,,12.3136211,Q3 2019,HEALTH CARE,"","",17.97
Abcellera biologics inc.,ABCL,"",10450180.0,229904000.0,1.0097,1.5386,12,0.0,0.0,,3.8572098,Q4 2020,HEALTH CARE,"","",40.24
Mirati therapeutics inc,MRTX,"",1409784.0,227722000.0,1.0001,1.047,13,0.0,0.0,,2.7309121,Q3 2013,HEALTH CARE,"","",22.85
Biocryst pharmaceutical inc.,BCRX,"",12710818.0,200958000.0,0.8826,0.5604,14,0.0,0.0,,7.1061794,Q4 2004,HEALTH CARE,"","",8.0
Madrigal pharmaceuticals inc,MDGL,"",1499213.0,146038000.0,0.6414,0.7603,15,0.0,0.0,,9.0313780,Q2 2016,HEALTH CARE,"","",164.39
Apellis pharmaceuticals inc,APLS,"",2271917.0,143585000.0,0.6306,0.3114,16,597913.0,35.717537,addition,2.6113003,Q2 2018,HEALTH CARE,"","",41.4047
Heron therapeutics inc,HRTX,"",8131678.0,126204000.0,0.5543,0.4213,17,2136974.0,35.647698,addition,7.9793138,Q1 2014,HEALTH CARE,"","",18.7711
Amarin corp. adr,AMRN,"",26453422.0,115866000.0,0.5089,0.7122,18,0.0,0.0,,6.6919456,Q1 2015,HEALTH CARE,"","",8.92
