Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",50057277.0,5719544000.0,30.4072,29.0815,1,0.0,0.0,,30.9530528,Q3 2004,HEALTH CARE,"","",32.06
Incyte corporation,INCY,"",31976873.0,2792221000.0,14.8445,16.1474,2,316.0,0.000988,addition,14.8681234,Q4 2001,HEALTH CARE,"","",71.7102
Beigene ltd adr,BGNE,"",11777285.0,1952203000.0,10.3786,9.8114,3,0.0,0.0,,24.8047283,Q1 2016,HEALTH CARE,"","",117.58
Acadia pharmaceuticals inc,ACAD,"",40854586.0,1747759000.0,9.2917,10.0026,4,0.0,0.0,,28.2750266,Q4 2010,HEALTH CARE,"","",14.77
Alexion pharmaceuticals inc.,ALXN1,"",8258068.0,893110000.0,4.7481,5.5021,5,0.0,0.0,,3.6828560,Q2 2015,HEALTH CARE,"","",166.85
Kodiak sciences inc,KOD,"",11047289.0,794852000.0,4.2257,0.8946,6,1902173.0,20.799878,addition,29.9141321,Q4 2018,HEALTH CARE,"","",18.2662
Amarin corp. adr,AMRN,"",34496685.0,739609000.0,3.932,4.2845,7,-7047603.0,-16.964072,reduction,9.6572562,Q1 2015,HEALTH CARE,"","",8.92
Biomarin pharmaceutical inc,BMRN,"",7589294.0,641675000.0,3.4114,3.4798,8,0.0,0.0,,4.2289613,Q2 2012,HEALTH CARE,"","",84.32
Ascendis pharma a/s adr,ASND,"",3390270.0,471654000.0,2.5075,2.2215,9,0.0,0.0,,8.0452539,Q1 2015,HEALTH CARE,"","",44.21
Exact sciences corp,EXAS,"",2585791.0,239134000.0,1.2713,,10,2585791.0,,new,1.9969040,Q4 2019,HEALTH CARE,"","",92.48
Mirati therapeutics inc,MRTX,"",1307220.0,168448000.0,0.8955,0.6928,11,0.0,0.0,,3.3262595,Q3 2013,HEALTH CARE,"","",18.61
Argenx se ads adr,ARGX,"",1019557.0,163659000.0,0.8701,0.7904,12,0.0,0.0,,2.6753004,Q2 2017,HEALTH CARE,"","",59.75
Dbv technologies s.a. adr,DBVT,"",14614264.0,156373000.0,0.8313,0.3223,13,9104704.0,165.252833,addition,24.2278912,Q4 2014,HEALTH CARE,"","",19.0581
Invitae corp,NVTA,"",9097165.0,146737000.0,0.7801,1.1526,14,304487.0,3.462961,addition,9.5578535,Q1 2015,HEALTH CARE,"","",17.0675
Heron therapeutics inc,HRTX,"",6018104.0,141425000.0,0.7519,0.7574,15,0.0,0.0,,7.5395941,Q1 2014,HEALTH CARE,"","",19.93
Neurocrine biosciences inc.,NBIX,"",1254243.0,134819000.0,0.7167,0.8676,16,-161040.0,-11.378643,reduction,1.3695599,Q1 2014,HEALTH CARE,"","",65.88
Myokardia inc,MYOK1,"",1774234.0,129315000.0,0.6875,0.5383,17,256997.0,16.938488,addition,3.8469948,Q3 2016,HEALTH CARE,"","",52.9472
Igm biosciences inc,IGMS,"",3144000.0,119975000.0,0.6378,0.3796,18,0.0,0.0,,10.8826584,Q3 2019,HEALTH CARE,"","",17.75
Madrigal pharmaceuticals inc,MDGL,"",1169278.0,106533000.0,0.5664,0.6858,19,0.0,0.0,,7.5779520,Q2 2016,HEALTH CARE,"","",191.94
