Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Invitae corp,NVTA,"",12203669.0,466302000.0,13.8879,15.2331,1,-94369.0,-0.76735,reduction,6.2056259,Q3 2018,HEALTH CARE,"","",30.33
Exact sciences corp,EXAS,"",2360186.0,311025000.0,9.2633,5.8294,2,875037.0,58.919139,addition,1.3957903,Q4 2020,HEALTH CARE,"","",132.2268
Fate therapeutics inc,FATE,"",3400000.0,280330000.0,8.3491,8.2164,3,350000.0,11.47541,addition,3.8971147,Q2 2017,HEALTH CARE,"","",17.6554
Biolife solutions inc,BLFS,"",7440107.0,267844000.0,7.9772,8.7925,4,0.0,0.0,,22.7276607,Q2 2018,HEALTH CARE,"","",22.64
Pacific biosciences of california  inc.,PACB,"",5000000.0,166550000.0,4.9604,3.8425,5,0.0,0.0,,2.5892959,Q3 2020,HEALTH CARE,"","",11.48
Blueprint medicines corp,BPMC,"",1550000.0,150707000.0,4.4885,5.15,6,0.0,0.0,,2.6743670,Q4 2015,HEALTH CARE,"","",61.58
Alnylam pharmaceuticals inc,ALNY,"",880000.0,124247000.0,3.7004,3.0034,7,100000.0,12.820513,addition,0.7521238,Q4 2015,HEALTH CARE,"","",106.6218
Twist bioscience corp,TWST,"",1000000.0,123860000.0,3.6889,4.1858,8,0.0,0.0,,2.0556458,Q2 2019,HEALTH CARE,"","",30.11
Relay therapeutics  inc.,RLAY,"",3375058.0,116676000.0,3.475,4.6897,9,-433836.0,-11.390078,reduction,3.7334724,Q3 2020,HEALTH CARE,"","",42.59
Agios pharmaceuticals inc,AGIO,"",2165000.0,111801000.0,3.3298,3.0488,10,-210000.0,-8.842105,reduction,3.1105727,Q4 2015,HEALTH CARE,"","",41.52
Codexis inc,CDXS,"",4330000.0,99114000.0,2.9519,2.8004,11,0.0,0.0,,6.7235277,Q1 2017,MATERIALS,"","",14.4
Denali therapeutics inc,DNLI,"",1610000.0,91931000.0,2.738,3.2507,12,300000.0,22.900763,addition,1.3307535,Q4 2018,HEALTH CARE,"","",25.2694
Dermtech inc,DMTK,"",1745000.0,88629000.0,2.6396,1.3167,13,375000.0,27.372263,addition,6.0683689,Q1 2020,FINANCE,"","",
Revolution medicines  inc.,RVMD,"",1844535.0,84627000.0,2.5204,1.9171,14,210000.0,12.847691,addition,2.5135656,Q1 2020,HEALTH CARE,"","",26.8189
Caredx inc,CDNA,"",1193335.0,81254000.0,2.42,2.5614,15,0.0,0.0,,2.3027281,Q2 2018,HEALTH CARE,"","",20.79
Beam therapeutics inc.,BEAM,"",818820.0,65538000.0,1.9519,1.1126,16,358820.0,78.004348,addition,1.3118861,Q4 2020,HEALTH CARE,"","",80.9389
Beigene ltd adr,BGNE,"",150000.0,52212000.0,1.555,1.1483,17,0.0,0.0,,0.1638100,Q2 2020,HEALTH CARE,"","",188.4
Adaptive biotechnologies corp,ADPT,"",1150000.0,46299000.0,1.3789,1.2492,18,436875.0,61.262051,addition,0.8408128,Q2 2019,HEALTH CARE,"","",39.9499
Allogene therapeutics inc,ALLO,"",1300000.0,45890000.0,1.3667,0.7066,19,355000.0,37.566138,addition,0.9242945,Q1 2020,HEALTH CARE,"","",30.5168
Generation bio co.,GBIO,"",1611214.0,45855000.0,1.3657,1.3533,20,0.0,0.0,,2.8553753,Q2 2020,HEALTH CARE,"","",21.0
4d molecular therapeutics  inc.,FDMT,"",995354.0,43178000.0,1.286,0.9585,21,214799.0,27.518753,addition,4.6090529,Q4 2020,HEALTH CARE,"","",41.8665
Constellation pharmaceuticals inc,CNST,"",1800000.0,42102000.0,1.2539,1.523,22,15000.0,0.840336,addition,3.7834583,Q3 2018,HEALTH CARE,"","",16.5078
Sarepta therapeutics inc,SRPT,"",550000.0,40992000.0,1.2209,2.677,23,20000.0,3.773585,addition,0.6925152,Q3 2018,HEALTH CARE,"","",93.0993
