Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Doordash  inc.,DASH,"",9258184.0,1214027000.0,6.6557,4.6728,1,507479.0,5.799293,addition,2.9144947,Q4 2020,CONSUMER DISCRETIONARY,"","",142.1131
Snowflake  inc.,SNOW,"",5242776.0,1202063000.0,6.5901,4.2821,2,1174865.0,28.881286,addition,10.3407811,Q3 2020,INFORMATION TECHNOLOGY,"","",246.2724
Walt disney co. (the),DIS,"",6082125.0,1122274000.0,6.1527,7.4934,3,-4974143.0,-44.989349,reduction,0.3350546,Q3 2019,COMMUNICATIONS,"","",121.98
Tesla inc,TSLA,"",1625925.0,1086004000.0,5.9539,5.677,4,-524664.0,-24.396293,reduction,0.1693930,Q1 2020,CONSUMER DISCRETIONARY,"","",396.68
Sunrun inc,RUN,"",17013861.0,1028999000.0,5.6413,4.8514,5,-1679104.0,-8.982545,reduction,8.3984364,Q3 2020,ENERGY,"","",72.78
Square inc,SQ,"",3880031.0,880960000.0,4.8297,4.9948,6,-2255010.0,-36.756234,reduction,0.9953219,Q2 2019,FINANCE,"","",107.38
Amazon.com inc.,AMZN,"",265455.0,821339000.0,4.5029,2.548,7,56321.0,26.93058,addition,0.0527152,Q4 2009,CONSUMER DISCRETIONARY,"","",1478.1416
Uber technologies inc,UBER,"",13349119.0,727660000.0,3.9893,4.038,8,-7816943.0,-36.931494,reduction,0.7182718,Q2 2019,CONSUMER DISCRETIONARY,"","",43.13
Sea ltd adr,SE,"",3205370.0,715535000.0,3.9228,2.3416,9,60533.0,1.924837,addition,4.8599348,Q2 2019,INFORMATION TECHNOLOGY,"","",37.917
Paypal holdings inc,PYPL,"",2936119.0,713008000.0,3.909,5.9981,10,-3910393.0,-57.115112,reduction,0.2506984,Q1 2016,COMMUNICATIONS,"","",114.91
Zillow group inc class c,Z,"",4975368.0,645006000.0,3.5362,2.6374,11,-456424.0,-8.402825,reduction,2.8705077,Q3 2020,COMMUNICATIONS,"","",113.87
Meta platforms  inc.,FB,"",2132571.0,628106000.0,3.4435,2.2124,12,-32632.0,-1.50711,reduction,0.0886559,Q3 2013,COMMUNICATIONS,"","",130.08
