Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",3878970.0,1091542000.0,16.3352,21.8999,1,-5000.0,-0.128734,reduction,7.6508284,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Uber technologies inc,UBER,"",14030005.0,715530000.0,10.7081,14.7069,2,-3916305.0,-21.822341,reduction,0.7954563,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Doordash  inc.,DASH,"",4365720.0,623207000.0,9.3265,,3,4365720.0,,new,1.5246466,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Airbnb  inc.,ABNB,"",3223630.0,473229000.0,7.082,,4,3223630.0,,new,0.5405157,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Datadog inc,DDOG,"",4432248.0,436310000.0,6.5295,10.2582,5,-37639.0,-0.842057,reduction,2.1303888,Q3 2019,INFORMATION TECHNOLOGY,"","",33.91
Square inc,SQ,"",1777689.0,386896000.0,5.79,6.4913,6,0.0,0.0,,0.4631739,Q1 2020,FINANCE,"","",56.12
Dynatrace inc,DT,"",8588555.0,371627000.0,5.5615,6.6932,7,1325000.0,18.241756,addition,3.0445449,Q3 2019,INFORMATION TECHNOLOGY,"","",25.1884
Cargurus inc,CARG,"",8567746.0,271855000.0,4.0684,3.0666,8,2256625.0,35.756326,addition,9.0990695,Q1 2020,CONSUMER DISCRETIONARY,"","",24.0398
Twilio inc,TWLO,"",752883.0,254851000.0,3.8139,4.179,9,0.0,0.0,,0.5026453,Q3 2017,INFORMATION TECHNOLOGY,"","",63.16
Duck creek technologies  inc.,DCT,"",4440120.0,192257000.0,2.8772,4.5314,10,0.0,0.0,,No Data,Q3 2020,INFORMATION TECHNOLOGY,"","",45.43
Alibaba group holding ltd adr,BABA,"",802216.0,186700000.0,2.794,4.0068,11,195500.0,32.222654,addition,0.0296498,Q4 2014,COMMUNICATIONS,"","",164.542
Jamf holding corp.,JAMF,"",5442957.0,162853000.0,2.4371,2.3719,12,2635579.0,93.880446,addition,4.6682039,Q3 2020,INFORMATION TECHNOLOGY,"","",33.8864
Zoominfo technologies inc.,ZI,"",3366769.0,162379000.0,2.43,3.2514,13,0.0,0.0,,4.8624273,Q2 2020,COMMUNICATIONS,"","",50.43
Unity software inc.,U,"",1000000.0,153470000.0,2.2967,1.9607,14,0.0,0.0,,0.3693076,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Floor & decor holdings inc,FND,"",1570362.0,145808000.0,2.1821,2.6387,15,0.0,0.0,,1.5100044,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Root  inc.,ROOT,"",9259259.0,145463000.0,2.1769,,16,9259259.0,,new,15.5765480,Q4 2020,FINANCE,"","",15.71
Smartsheet inc,SMAR,"",2046983.0,141835000.0,2.1226,,17,2046983.0,,new,1.6744523,Q4 2020,INFORMATION TECHNOLOGY,"","",69.29
Fubotv inc,FUBO,"",4295360.0,120270000.0,1.7999,,18,4295360.0,,new,6.3575791,Q4 2020,INFORMATION TECHNOLOGY,"","",
Datto holding corp.,MSP,"",3706333.0,100071000.0,1.4976,,19,3706333.0,,new,No Data,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Meta platforms  inc.,FB,"",339374.0,92703000.0,1.3873,1.9967,20,0.0,0.0,,0.0141172,Q2 2016,COMMUNICATIONS,"","",158.83
Agora  inc. ads,API,"",1997733.0,79030000.0,1.1827,1.9288,21,0.0,0.0,,2.0133469,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Ke holdings inc.,BEKE,"",1250000.0,76925000.0,1.1512,1.7213,22,0.0,0.0,,0.1060419,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
Goodrx holdings  inc.,GDRX,"",1300000.0,52442000.0,0.7848,1.6237,23,0.0,0.0,,2.8888849,Q3 2020,HEALTH CARE,"","",55.6
Xpeng inc.,XPEV,"",1200000.0,51396000.0,0.7692,0.541,24,0.0,0.0,,0.1682603,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Health assurance acquisition corp.,HAACU,"",4000000.0,44080000.0,0.6597,,25,4000000.0,,new,8.0000000,Q4 2020,FINANCE,"","",11.02
Altimeter growth corp.,AGCUU,"",2550000.0,33150000.0,0.4961,,26,2550000.0,,new,5.1000000,Q4 2020,FINANCE,"","",13.0
Ceridian hcm holding inc,CDAY,"",266475.0,28396000.0,0.425,1.6706,27,-633333.0,-70.385349,reduction,0.1828620,Q2 2018,INFORMATION TECHNOLOGY,"","",34.09
Contextlogic inc,WISH,"",1321730.0,24108000.0,0.3608,,28,1321730.0,,new,0.2764415,Q4 2020,INFORMATION TECHNOLOGY,"","",18.24
Oak street health  inc.,OSH,"",350019.0,21407000.0,0.3204,0.4202,29,0.0,0.0,,0.1453394,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Ncino  inc.,NCNO,"",275000.0,19913000.0,0.298,0.4922,30,0.0,0.0,,0.2979590,Q3 2020,FINANCE,"","",79.68
Peloton interactive inc,PTON,"",35716.0,5419000.0,0.0811,0.0575,31,9916.0,38.434109,addition,0.0139782,Q3 2019,CONSUMER DISCRETIONARY,"","",113.8103
Jfrog ltd.,FROG,"",70000.0,4398000.0,0.0658,0.1331,32,0.0,0.0,,No Data,Q3 2020,INFORMATION TECHNOLOGY,"","",84.65
Tencent music entertainment group,TME,"",147194.0,2832000.0,0.0424,0.1599,33,-334570.0,-69.446866,reduction,0.0087744,Q4 2018,INFORMATION TECHNOLOGY,"","",13.25
Sunlands online education group,STG,"",194358.08,2648000.0,0.0396,0.102,34,-20617.68,-9.5907,reduction,1.4441402,Q1 2018,CONSUMER DISCRETIONARY,"","",8.4
Crowdstrike holdings inc,CRWD,"",10000.0,2118000.0,0.0317,0.0308,35,0.0,0.0,,0.0053112,Q2 2020,INFORMATION TECHNOLOGY,"","",100.29
Pinterest inc,PINS,"",25000.0,1648000.0,0.0247,0.0466,36,-25000.0,-50.0,reduction,0.0048937,Q1 2020,COMMUNICATIONS,"","",15.44
Bill.com holdings  inc.,BILL,"",11800.0,1611000.0,0.0241,0.0266,37,0.0,0.0,,0.0145383,Q4 2019,INFORMATION TECHNOLOGY,"","",38.05
Lemonade  inc.,LMND,"",10000.0,1225000.0,0.0183,0.0112,38,0.0,0.0,,0.0176708,Q3 2020,FINANCE,"","",49.72
Xp inc.,XP,"",9948.0,395000.0,0.0059,0.0093,39,0.0,0.0,,0.0027595,Q4 2019,FINANCE,"","",38.52
Dragoneer growth opportunities corp,DGNR.UN1,"",10000.0,140000.0,0.0021,0.0028,40,0.0,0.0,,No Data,Q3 2020,FINANCE,"","",12.25
Greensky inc,GSKY,"",0.0,0.0,,1.4202,"",-14238605.0,-100.0,soldall,0.0000000,Q2 2018,INFORMATION TECHNOLOGY,"","",10.94
Servicenow inc,NOW,"",0.0,0.0,,1.5493,"",-142205.0,-100.0,soldall,0.0000000,Q1 2016,INFORMATION TECHNOLOGY,"","",116.33
