Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jamf holding corp.,JAMF,"",20173285.0,777075000.0,10.2315,4.1082,1,10674758.0,112.383299,addition,17.0018580,Q3 2020,INFORMATION TECHNOLOGY,"","",36.2929
Snowflake  inc.,SNOW,"",2253637.0,681567000.0,8.974,9.5844,2,-822959.0,-26.749011,reduction,0.7489654,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Uber technologies inc,UBER,"",11320595.0,507163000.0,6.6777,7.31,3,0.0,0.0,,0.6083378,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Square inc,SQ,"",1777689.0,426361000.0,5.6138,5.5838,4,0.0,0.0,,0.4473342,Q1 2020,FINANCE,"","",56.12
Datadog inc,DDOG,"",2732160.0,386191000.0,5.0849,3.6959,5,-24081.0,-0.87369,reduction,1.1396593,Q3 2019,INFORMATION TECHNOLOGY,"","",34.38
Dynatrace inc,DT,"",5196219.0,368776000.0,4.8556,5.4492,6,-2043695.0,-28.228167,reduction,1.8278117,Q3 2019,INFORMATION TECHNOLOGY,"","",25.23
Ccc intelligent solutions holdings inc,CCCS,"",31670716.0,332859000.0,4.3827,,7,31670716.0,,new,No Data,Q3 2021,FINANCE,"","",10.51
Robinhood markets inc,HOOD,"",7743458.0,325845000.0,4.2903,,8,7743458.0,,new,1.0676389,Q3 2021,INFORMATION TECHNOLOGY,"","",42.08
Doordash  inc.,DASH,"",1512545.0,311554000.0,4.1021,5.9386,9,-1072201.0,-41.481871,reduction,0.4761522,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Peloton interactive inc,PTON,"",3404260.0,296341000.0,3.9018,5.4394,10,0.0,0.0,,1.2538406,Q3 2019,CONSUMER DISCRETIONARY,"","",119.57
Cargurus inc,CARG,"",9283746.0,291602000.0,3.8394,3.1373,11,0.0,0.0,,9.2346998,Q1 2020,CONSUMER DISCRETIONARY,"","",24.02
Procore technologies inc,PCOR,"",3110715.0,277911000.0,3.6592,6.3871,12,-2110465.0,-40.421227,reduction,2.4275909,Q2 2021,INFORMATION TECHNOLOGY,"","",94.95
Twilio inc,TWLO,"",777393.0,248027000.0,3.2657,3.9478,13,0.0,0.0,,0.4656963,Q3 2017,INFORMATION TECHNOLOGY,"","",71.91
Zoominfo technologies inc.,ZI,"",3366769.0,206013000.0,2.7125,2.2629,14,0.0,0.0,,1.8518483,Q2 2020,COMMUNICATIONS,"","",50.43
Floor & decor holdings inc,FND,"",1413326.0,170716000.0,2.2478,1.9247,15,0.0,0.0,,1.3429634,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Endeavor group holdings  inc.,EDR,"",4166667.0,119458000.0,1.5729,1.4875,16,0.0,0.0,,1.5934751,Q2 2021,COMMUNICATIONS,"","",27.71
Meta platforms  inc.,FB,"",339374.0,115180000.0,1.5165,1.5203,17,0.0,0.0,,0.0142366,Q2 2016,COMMUNICATIONS,"","",158.83
Playtika holding corp,PLTK,"",4125000.0,113974000.0,1.5007,1.267,18,0.0,0.0,,1.0069960,Q1 2021,INFORMATION TECHNOLOGY,"","",27.21
Airbnb  inc.,ABNB,"",660000.0,110715000.0,1.4578,1.3022,19,0.0,0.0,,0.1961053,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Fubotv inc,FUBO,"",4295360.0,102917000.0,1.3551,1.777,20,0.0,0.0,,3.0320179,Q4 2020,INFORMATION TECHNOLOGY,"","",
Bumble inc,BMBL,"",2000000.0,99960000.0,1.3161,1.4842,21,0.0,0.0,,1.6694625,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Alibaba group holding ltd adr,BABA,"",606716.0,89824000.0,1.1827,2.3439,22,-195500.0,-24.369995,reduction,0.0223207,Q4 2014,COMMUNICATIONS,"","",164.54
Glbl-e online ltd,GLBE,"",1234852.0,88662000.0,1.1674,0.9081,23,0.0,0.0,,0.8478735,Q2 2021,INFORMATION TECHNOLOGY,"","",57.08
Datto holding corp.,MSP,"",3706333.0,88581000.0,1.1663,1.3294,24,0.0,0.0,,2.2839548,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Clearwater analytics holdings inc,CWAN,"",3000000.0,76830000.0,1.0116,,25,3000000.0,,new,N/A,Q3 2021,INFORMATION TECHNOLOGY,"","",25.61
Roblox corp. class a,RBLX,"",957992.0,72376000.0,0.953,1.1176,26,-6037.0,-0.626226,reduction,0.1855696,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Engagesmart inc,ESMT,"",2100000.0,71526000.0,0.9418,,27,2100000.0,,new,N/A,Q3 2021,INFORMATION TECHNOLOGY,"","",34.06
Goodrx holdings  inc.,GDRX,"",1300000.0,53326000.0,0.7021,0.6031,28,0.0,0.0,,1.7234649,Q3 2020,HEALTH CARE,"","",55.6
Squarespace inc,SQSP,"",1284622.0,49638000.0,0.6536,0.9833,29,0.0,0.0,,1.4249833,Q2 2021,INFORMATION TECHNOLOGY,"","",59.41
Root  inc.,ROOT,"",9259259.0,48796000.0,0.6425,1.2908,30,0.0,0.0,,10.6559166,Q4 2020,FINANCE,"","",15.71
Ccc intelligent solutions holdings inc,CCCS.WS,"",20802000.0,48261000.0,0.6354,,31,20802000.0,,new,N/A,Q3 2021, ,"","",
Oscar health  inc.,OSCR,"",2543841.0,44237000.0,0.5825,0.7046,32,0.0,0.0,,1.4742123,Q1 2021,FINANCE,"","",26.88
Cs disco inc,LAW,"",908650.0,43561000.0,0.5736,,33,908650.0,,new,1.5821481,Q3 2021,INFORMATION TECHNOLOGY,"","",47.94
Uipath inc,PATH,"",748971.0,39403000.0,0.5188,4.8299,34,-4769761.0,-86.428567,reduction,0.1737419,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Health assurance acq corp cl a,HAAC,"",4000000.0,39120000.0,0.5151,0.5159,35,0.0,0.0,,7.6190476,Q2 2021, ,"","",10.01
Qualtrics intl inc,XM,"",800000.0,34192000.0,0.4502,0.3942,36,0.0,0.0,,0.8747952,Q1 2021,INFORMATION TECHNOLOGY,"","",32.91
Sana biotechnology inc,SANA,"",1500000.0,33780000.0,0.4448,0.3799,37,0.0,0.0,,0.7983362,Q1 2021,HEALTH CARE,"","",33.47
Monday.com ltd,MNDY,"",100000.0,32620000.0,0.4295,0.2881,38,0.0,0.0,,0.2287063,Q2 2021,INFORMATION TECHNOLOGY,"","",5.45
Matterport inc,MTTR,"",1563500.0,29566000.0,0.3893,,39,1563500.0,,new,0.6461898,Q3 2021, ,"","",18.91
Agora  inc. ads,API,"",998866.0,28967000.0,0.3814,1.08,40,-998867.0,-50.000025,reduction,1.0316129,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Tuya inc ads,TUYA,"",2850000.0,25850000.0,0.3404,0.8996,41,0.0,0.0,,0.5091468,Q1 2021,INFORMATION TECHNOLOGY,"","",21.14
Olo inc,OLO,"",750000.0,22523000.0,0.2966,0.3613,42,0.0,0.0,,2.7133386,Q1 2021,INFORMATION TECHNOLOGY,"","",26.39
Jd.com inc adr,JD,"",300000.0,21672000.0,0.2853,,43,300000.0,,new,0.0223971,Q3 2021,CONSUMER DISCRETIONARY,"","",72.24
Agilon health inc,AGL,"",800000.0,20968000.0,0.2761,0.4182,44,0.0,0.0,,0.2046651,Q2 2021,HEALTH CARE,"","",40.57
Duolingo inc,DUOL,"",125000.0,20795000.0,0.2738,,45,125000.0,,new,0.9750489,Q3 2021,INFORMATION TECHNOLOGY,"","",166.36
Futu holdings ltd,FUTU,"",225000.0,20480000.0,0.2697,,46,225000.0,,new,0.2651632,Q3 2021,INFORMATION TECHNOLOGY,"","",91.02
Ncino  inc.,NCNO,"",275000.0,19533000.0,0.2572,0.2123,47,0.0,0.0,,0.2858750,Q3 2020,FINANCE,"","",79.68
Hippo holdings inc,HIPO,"",3329237.0,15581000.0,0.2052,,48,3329237.0,,new,0.5955293,Q3 2021,FINANCE,"","",4.68
Oak street health  inc.,OSH,"",350019.0,14886000.0,0.196,0.2641,49,0.0,0.0,,0.1453212,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Lyell immunopharma inc,LYEL,"",1000000.0,14800000.0,0.1949,0.2092,50,0.0,0.0,,0.4177141,Q2 2021,HEALTH CARE,"","",
Poshmark inc,POSH,"",550000.0,13068000.0,0.1721,0.3383,51,0.0,0.0,,1.3652181,Q1 2021,CONSUMER DISCRETIONARY,"","",40.6
Marqeta inc,MQ,"",500000.0,11060000.0,0.1456,0.1808,52,0.0,0.0,,0.5920625,Q2 2021,INFORMATION TECHNOLOGY,"","",13.32
Definitive healthcare corp,DH,"",250000.0,10708000.0,0.141,,53,250000.0,,new,N/A,Q3 2021, ,"","",42.83
Cvent holding corp,CVT,"",752000.0,7482000.0,0.0985,,54,752000.0,,new,2.6523702,Q3 2021,FINANCE,"","",9.95
