Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",11954858.0,2432933000.0,10.6161,10.6267,1,-18063.0,-0.150865,reduction,0.1579731,Q1 2015,INFORMATION TECHNOLOGY,"","",51.3
Paypal holdings inc,PYPL,"",12388814.0,2158503000.0,9.4186,6.685,2,-18280.0,-0.147335,reduction,1.0558950,Q3 2015,COMMUNICATIONS,"","",40.85
Meta platforms  inc.,FB,"",6443510.0,1463128000.0,6.3844,6.0396,3,9649.0,0.149972,addition,0.2261820,Q1 2018,COMMUNICATIONS,"","",163.026
Idexx laboratories inc.,IDXX,"",4240711.0,1400113000.0,6.1094,5.7874,4,-4516.0,-0.106378,reduction,4.9858646,Q1 2015,HEALTH CARE,"","",83.47
Intuit  inc.,INTU,"",4590217.0,1359576000.0,5.9325,5.7699,5,132621.0,2.975169,addition,1.7602460,Q2 2017,INFORMATION TECHNOLOGY,"","",167.7318
Philip morris international inc,PM,"",19375855.0,1357472000.0,5.9233,6.9897,6,2352902.0,13.821938,addition,1.2442055,Q4 2012,CONSUMER STAPLES,"","",85.7687
Mccormick & co. non-voting shares,MKC,"",15087156.0,1353393000.0,5.9055,5.6616,7,838746.0,5.886594,addition,5.6623808,Q4 2018,CONSUMER STAPLES,"","",149.7745
Estee lauder companies inc.,EL,"",6758574.0,1275208000.0,5.5644,6.0428,8,19912.0,0.295489,addition,1.8773888,Q2 2016,CONSUMER STAPLES,"","",116.5731
Visa inc,V,"",6150855.0,1188161000.0,5.1845,5.53,9,52218.0,0.856224,addition,0.2890622,Q4 2012,FINANCE,"","",82.567
Pepsico inc. (loft  inc.),PEP,"",8787703.0,1162262000.0,5.0715,5.4039,10,792638.0,9.914091,addition,0.6346594,Q4 2012,CONSUMER STAPLES,"","",104.1198
Stryker corp.,SYK,"",6204547.0,1117997000.0,4.8784,5.5575,11,273222.0,4.606424,addition,1.6518773,Q4 2012,HEALTH CARE,"","",106.2844
Becton  dickinson and co.,BDX,"",4242057.0,1014997000.0,4.4289,4.9277,12,431265.0,11.316939,addition,1.4634416,Q4 2012,HEALTH CARE,"","",169.2896
Automatic data processing inc,ADP,"",6481152.0,964979000.0,4.2107,4.8267,13,206319.0,3.28804,addition,1.5073659,Q4 2012,INFORMATION TECHNOLOGY,"","",93.5787
Johnson & johnson co.,JNJ,"",6405491.0,900804000.0,3.9307,3.9701,14,1025710.0,19.066018,addition,0.2432936,Q4 2012,HEALTH CARE,"","",115.0811
Nike inc.,NKE,"",7244034.0,710278000.0,3.0993,1.08,15,4924683.0,212.330217,addition,0.4643943,Q1 2020,CONSUMER DISCRETIONARY,"","",93.1481
Waters corporation,WAT,"",3893805.0,702442000.0,3.0651,4.8718,16,-861245.0,-18.112218,reduction,6.2878383,Q1 2015,HEALTH CARE,"","",156.21
Brown-forman corp. class b,BF.B,"",9864841.0,627996000.0,2.7403,3.0755,17,20210.0,0.20529,addition,2.0625304,Q3 2019,CONSUMER STAPLES,"","",62.8117
Starbucks corp.,SBUX,"",8336710.0,613498000.0,2.677,0.9803,18,5686925.0,214.618356,addition,0.7131488,Q1 2020,CONSUMER DISCRETIONARY,"","",71.0949
Verisk analytics inc,VRSK,"",607423.0,103383000.0,0.4511,0.4693,19,9117.0,1.523802,addition,0.3740614,Q4 2018,INDUSTRIALS,"","",119.3154
Equifax inc.,EFX,"",576779.0,99137000.0,0.4326,0.3819,20,8657.0,1.523792,addition,0.4748815,Q4 2018,INDUSTRIALS,"","",101.3054
Masimo corp,MASI,"",428897.0,97784000.0,0.4267,0.4743,21,-46956.0,-9.867753,reduction,0.7805493,Q4 2018,HEALTH CARE,"","",114.05
Ansys  inc.,ANSS,"",335033.0,97739000.0,0.4265,0.4317,22,5048.0,1.529767,addition,0.3905303,Q4 2018,INFORMATION TECHNOLOGY,"","",158.0648
Cognex corp,CGNX,"",1602593.0,95707000.0,0.4176,0.3585,23,93594.0,6.20239,addition,0.9261012,Q4 2018,INFORMATION TECHNOLOGY,"","",41.4342
Ipg photonics corp,IPGP,"",574773.0,92188000.0,0.4023,0.3514,24,8626.0,1.523633,addition,1.0792448,Q4 2018,INFORMATION TECHNOLOGY,"","",131.1062
Verisign inc.,VRSN,"",360694.0,74602000.0,0.3255,0.3601,25,5413.0,1.523583,addition,0.3140465,Q4 2018,COMMUNICATIONS,"","",156.4378
Sabre corp,SABR,"",9185260.0,74033000.0,0.323,0.2653,26,1234759.0,15.530581,addition,3.3337516,Q4 2018,CONSUMER DISCRETIONARY,"","",13.2361
Smith (a.o.) corp.  class b,AOS,"",1487541.0,70093000.0,0.3059,0.3118,27,22326.0,1.523735,addition,0.9215731,Q4 2018,INDUSTRIALS,"","",43.6922
Msci inc,MSCI,"",207490.0,69264000.0,0.3022,0.3324,28,3114.0,1.523662,addition,0.2480834,Q4 2018,FINANCE,"","",168.6073
Qualys  inc.,QLYS,"",623812.0,64889000.0,0.2831,,29,623812.0,,new,1.6012020,Q2 2020,INFORMATION TECHNOLOGY,"","",104.02
Paycom software inc,PAYC,"",195926.0,60684000.0,0.2648,0.1985,30,21320.0,12.210348,addition,0.3347279,Q4 2018,INFORMATION TECHNOLOGY,"","",144.3264
Check point software technologies ltd,CHKP,"",541290.0,58151000.0,0.2537,0.4903,31,-325147.0,-37.526906,reduction,0.3860839,Q4 2018,INFORMATION TECHNOLOGY,"","",106.76
