Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Coinbase global inc,COIN,"",4320858.0,1106917000.0,5.8203,4.832,1,-438117.0,-9.206121,reduction,2.7832784,Q2 2021,INFORMATION TECHNOLOGY,"","",246.06
Tesla inc,TSLA,"",959719.0,1082728000.0,5.6931,5.7458,2,-755932.0,-44.060942,reduction,0.0955643,Q1 2018,CONSUMER DISCRETIONARY,"","",293.66
Square inc,SQ,"",5334494.0,868456000.0,4.5664,5.1131,3,414057.0,8.415045,addition,1.3363802,Q4 2016,FINANCE,"","",100.6882
Shopify inc,SHOP,"",610114.0,846838000.0,4.4527,3.7405,4,-33709.0,-5.235756,reduction,0.5370375,Q3 2020,COMMUNICATIONS,"","",1187.11
Roku inc,ROKU,"",3595840.0,815968000.0,4.2904,3.3142,5,1131757.0,45.930149,addition,3.0548968,Q3 2019,INFORMATION TECHNOLOGY,"","",181.9039
Teladoc health inc,TDOC,"",8755058.0,809843000.0,4.2582,4.0069,6,1349776.0,18.227206,addition,5.4689491,Q4 2018,HEALTH CARE,"","",161.3133
Twilio inc,TWLO,"",2984512.0,792537000.0,4.1672,3.1018,7,689360.0,30.035483,addition,1.7717641,Q1 2019,INFORMATION TECHNOLOGY,"","",292.2629
Unity software inc.,U,"",5080334.0,734108000.0,3.86,3.5305,8,-1416526.0,-21.80324,reduction,1.7762748,Q4 2020,INFORMATION TECHNOLOGY,"","",119.0
Uipath inc,PATH,"",16513378.0,718662000.0,3.7788,3.1773,9,2419307.0,17.165424,addition,3.7295156,Q2 2021,INFORMATION TECHNOLOGY,"","",56.8115
Zoom video communications inc,ZM,"",3668279.0,675037000.0,3.5494,2.7419,10,1312035.0,55.683325,addition,1.5143173,Q3 2020,INFORMATION TECHNOLOGY,"","",274.7804
Twitter inc,TWTR,"",10297193.0,448546000.0,2.3585,2.0549,11,2400339.0,30.396143,addition,1.2877771,Q1 2018,COMMUNICATIONS,"","",60.9813
Spotify technology sa,SPOT,"",1890539.0,443520000.0,2.3321,1.9923,12,-169395.0,-8.223322,reduction,1.0547121,Q2 2018,COMMUNICATIONS,"","",268.95
Exact sciences corp,EXAS,"",5418800.0,412750000.0,2.1703,1.6422,13,1218384.0,29.00627,addition,3.1446362,Q3 2020,HEALTH CARE,"","",111.3167
