Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Prelude therapeutics inc.,PRLD,"",15594877.0,1115813000.0,9.7638,5.9058,1,0.0,0.0,,35.6834566,Q3 2020,HEALTH CARE,"","",30.13
Springworks therapeutics inc,SWTX,"",7406307.0,537105000.0,4.6999,4.4375,2,0.0,0.0,,15.1870803,Q3 2019,HEALTH CARE,"","",21.68
Pmv pharmaceuticals  inc.,PMVP,"",7330423.0,450894000.0,3.9455,3.2708,3,0.0,0.0,,16.3721451,Q3 2020,HEALTH CARE,"","",35.5
Silverback therapeutics  inc.,SBTX,"",8740887.0,405053000.0,3.5444,,4,8740887.0,,new,25.1234770,Q4 2020,HEALTH CARE,"","",46.34
Abcellera biologics inc.,ABCL,"",8400768.0,338047000.0,2.958,,5,8400768.0,,new,No Data,Q4 2020,HEALTH CARE,"","",40.24
Turning point therapeutics inc,TPTX,"",2745327.0,334518000.0,2.9272,3.0144,6,0.0,0.0,,5.6989569,Q2 2019,HEALTH CARE,"","",40.5
Prevail therapeutics inc,PRVL,"",13822463.0,318884000.0,2.7904,1.7686,7,0.0,0.0,,40.3598741,Q2 2019,HEALTH CARE,"","",13.2
Iovance biotherapeutics inc,IOVA,"",6645100.0,308333000.0,2.698,2.7495,8,0.0,0.0,,4.5301116,Q1 2015,HEALTH CARE,"","",11.68
Mirati therapeutics inc,MRTX,"",1145300.0,251554000.0,2.2012,2.7487,9,-171700.0,-13.037206,reduction,2.2777951,Q3 2019,HEALTH CARE,"","",106.68
Boston scientific inc.,BSX,"",6523000.0,234502000.0,2.052,2.3279,10,1675700.0,34.56976,addition,0.4605918,Q2 2020,HEALTH CARE,"","",35.3258
Bristol-myers squibb co,BMY,"",3549100.0,220151000.0,1.9264,2.6894,11,0.0,0.0,,0.1570571,Q2 2007,HEALTH CARE,"","",60.99
Horizon therapeutics plc,HZNP,"",3008755.0,220090000.0,1.9259,2.9376,12,0.0,0.0,,1.3632159,Q4 2019,HEALTH CARE,"","",39.88
Merck & co,MRK,"",2786946.4,217531000.0,1.9035,2.6994,13,73569.6,2.711367,addition,0.1051092,Q1 2016,HEALTH CARE,"","",63.9539
Natera inc,NTRA,"",2110700.0,210057000.0,1.8381,1.9165,14,0.0,0.0,,2.4724172,Q3 2015,HEALTH CARE,"","",25.05
Vertex pharmaceuticals  inc.,VRTX,"",834100.0,197131000.0,1.725,2.2782,15,168000.0,25.221438,addition,0.3207609,Q4 2012,HEALTH CARE,"","",124.4263
Passage bio  inc.,PASG,"",6962899.0,178041000.0,1.5579,1.1473,16,0.0,0.0,,15.2914190,Q1 2020,HEALTH CARE,"","",15.75
Arcutis biotherapeutics  inc.,ARQT,"",6073850.0,170857000.0,1.4951,1.7212,17,1400000.0,29.953892,addition,13.9198405,Q1 2020,HEALTH CARE,"","",29.4151
Acutus medical  inc.,AFIB,"",5477958.0,157820000.0,1.381,2.0518,18,0.0,0.0,,19.6722749,Q3 2020,HEALTH CARE,"","",29.8
Kinnate biopharma inc.,KNTE,"",3847929.0,153071000.0,1.3394,,19,3847929.0,,new,8.8810893,Q4 2020,HEALTH CARE,"","",39.78
Unitedhealth group inc.,UNH,"",390300.0,136870000.0,1.1977,,20,390300.0,,new,0.0411353,Q4 2020,HEALTH CARE,"","",350.68
Pfizer  inc.,PFE,"",3616600.0,133127000.0,1.1649,,21,3616600.0,,new,0.0650655,Q4 2020,HEALTH CARE,"","",36.81
Graybug vision  inc.,GRAY,"",4475847.0,129889000.0,1.1366,0.715,22,0.0,0.0,,No Data,Q3 2020,HEALTH CARE,"","",12.71
Biogen inc,BIIB,"",529400.0,129629000.0,1.1343,2.5526,23,-186500.0,-26.051124,reduction,0.3440307,Q3 2010,HEALTH CARE,"","",295.28
Neurocrine biosciences inc.,NBIX,"",1301715.0,124769000.0,1.0918,1.5733,24,0.0,0.0,,1.3932643,Q1 2012,HEALTH CARE,"","",87.13
Centene corp,CNC,"",1993700.0,119682000.0,1.0473,0.9793,25,658000.0,49.262559,addition,0.3438613,Q1 2020,HEALTH CARE,"","",59.6146
Keros therapeutics  inc.,KROS,"",1679417.0,118466000.0,1.0366,0.8141,26,0.0,0.0,,7.2456276,Q2 2020,HEALTH CARE,"","",37.51
Repare therapeutics inc.,RPTX,"",3426325.0,117523000.0,1.0284,1.3251,27,0.0,0.0,,9.3195261,Q2 2020,HEALTH CARE,"","",31.02
Humana  inc.,HUM,"",286100.0,117378000.0,1.0271,1.4581,28,5800.0,2.069212,addition,0.2161832,Q2 2018,HEALTH CARE,"","",317.0293
Theravance biopharma inc,TBPH,"",6219110.0,110514000.0,0.967,1.1557,29,0.0,0.0,,9.7201969,Q1 2020,HEALTH CARE,"","",17.41
Nanostring technologies inc,NSTG,"",1626900.0,108807000.0,0.9521,0.6647,30,443800.0,37.511622,addition,3.6920184,Q1 2020,HEALTH CARE,"","",35.7335
Dexcom inc,DXCM,"",279100.0,103189000.0,0.9029,1.173,31,52700.0,23.277385,addition,0.2906456,Q4 2018,HEALTH CARE,"","",214.6875
Anthem inc,ANTM,"",310500.0,99698000.0,0.8724,,32,310500.0,,new,0.1248471,Q4 2020,HEALTH CARE,"","",321.09
Oric pharmaceuticals  inc.,ORIC,"",2921967.0,98909000.0,0.8655,0.9185,33,0.0,0.0,,8.2093899,Q2 2020,HEALTH CARE,"","",33.73
Burning rock biotech ltd. ads,BNR,"",4161675.0,96135000.0,0.8412,1.4961,34,-584400.0,-12.313333,reduction,4.0091457,Q2 2020,HEALTH CARE,"","",27.01
Agios pharmaceuticals inc,AGIO,"",2207321.0,95643000.0,0.8369,0.971,35,0.0,0.0,,3.1870154,Q1 2020,HEALTH CARE,"","",35.99
