Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mirati therapeutics inc,MRTX,"",3185898.0,514618000.0,6.6779,7.5266,1,-288607.0,-8.306421,reduction,6.1714470,Q4 2017,HEALTH CARE,"","",111.13
Bridgebio pharma inc,BBIO,"",7756928.0,472862000.0,6.136,6.0425,2,0.0,0.0,,5.1793854,Q2 2019,HEALTH CARE,"","",31.66
Springworks therapeutics inc,SWTX,"",4849912.0,399681000.0,5.1864,4.5121,3,0.0,0.0,,9.8720090,Q3 2019,HEALTH CARE,"","",36.87
Travere therapeutics inc,TVTX,PRN,45000000.0,384422000.0,4.9884,6.0036,4,0.0,0.0,,N/A,Q1 2020,MATERIALS,"","",
Iovance biotherapeutics inc,IOVA,"",10959772.0,285173000.0,3.7005,3.4639,5,2307987.0,26.676426,addition,7.0693612,Q1 2014,HEALTH CARE,"","",16.4523
Amicus therapeutics inc,FOLD,"",23121329.0,222890000.0,2.8923,2.8563,6,260000.0,1.137292,addition,8.6741218,Q1 2014,HEALTH CARE,"","",6.7133
Collegium pharmaceutical inc note 2.625% 2/1,PRN-COLL,PRN,17500000.0,189723000.0,2.4619,2.3971,7,0.0,0.0,,N/A,Q2 2020, ,"","",
Horizon therapeutics plc,HZNP,"",1985002.0,185875000.0,2.412,2.386,8,-65000.0,-3.170729,reduction,0.8787340,Q4 2020,HEALTH CARE,"","",73.15
Vbi vaccines inc,VBIV,"",55042465.0,184392000.0,2.3927,2.1647,9,0.0,0.0,,21.5002624,Q1 2015,MATERIALS,"","",32.87
Landos biopharma inc,LABP,"",14869915.0,171747000.0,2.2287,1.7826,10,0.0,0.0,,37.0658159,Q1 2021,HEALTH CARE,"","",9.63
Invitae corp,NVTA,"",4818801.0,162538000.0,2.1092,2.5903,11,-541872.0,-10.108283,reduction,2.2171751,Q4 2020,HEALTH CARE,"","",41.81
Nevro corp note 2.750% 4/0,DEBT-NEVR,PRN,9000000.0,156276000.0,2.0279,1.7113,12,0.0,0.0,,N/A,Q2 2020, ,"","",
Zymeworks inc,ZYME,"",4305600.0,149361000.0,1.9382,1.7296,13,-25268.0,-0.58344,reduction,9.2821652,Q2 2017,HEALTH CARE,"","",28.83
Global blood therapeutics inc,GBT,"",4152689.0,145427000.0,1.8871,2.6068,14,-905953.0,-17.909016,reduction,6.6536642,Q3 2015,HEALTH CARE,"","",32.85
Nevro corp,NVRO,"",818760.0,135742000.0,1.7614,1.4327,15,6606.0,0.813393,addition,2.3483223,Q1 2019,HEALTH CARE,"","",90.6313
Rocket pharmaceuticals inc,RCKT,"",2751603.0,121868000.0,1.5814,1.6091,16,-116168.0,-4.050812,reduction,4.3253531,Q4 2018,HEALTH CARE,"","",29.9
Outset medical  inc.,OM,"",2387535.0,119329000.0,1.5485,1.6422,17,0.0,0.0,,5.1551938,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Cerevel therapeutics holdings  inc.,CERE,"",4643095.0,118956000.0,1.5436,0.8062,18,0.0,0.0,,3.2050124,Q1 2021,FINANCE,"","",13.73
Aldeyra therapeutics inc,ALDX,"",9903879.0,112211000.0,1.4561,1.3076,19,1200000.0,13.786956,addition,17.1157767,Q1 2015,HEALTH CARE,"","",8.7023
United therapeutics corp,UTHR,"",616802.0,110660000.0,1.436,0.3702,20,441802.0,252.458286,addition,1.3739832,Q1 2021,HEALTH CARE,"","",175.9656
Meiragtx holdings plc,MGTX,"",6948277.0,107698000.0,1.3975,1.1808,21,15000.0,0.216348,addition,15.6793299,Q2 2018,HEALTH CARE,"","",13.0852
Nautilus biotechnology inc,NAUT,"",8911151.0,90002000.0,1.1679,,22,8911151.0,,new,N/A,Q2 2021,HEALTH CARE,"","",
C4 therapeutics  inc.,CCCC,"",2258566.0,85464000.0,1.109,1.4775,23,-900000.0,-28.493943,reduction,4.6612325,Q4 2020,HEALTH CARE,"","",33.13
Singular genomics systems inc,OMIC,"",3082870.0,84717000.0,1.0993,,24,3082870.0,,new,4.3083304,Q2 2021,HEALTH CARE,"","",27.48
Albireo pharma inc,ALBO,"",2360139.0,83030000.0,1.0774,1.0521,25,0.0,0.0,,12.2567541,Q2 2017,HEALTH CARE,"","",25.26
Prometheus biosciences inc,RXDX,"",3314032.0,81393000.0,1.0562,0.7,26,0.0,0.0,,8.5268183,Q1 2021,HEALTH CARE,"","",18.26
Neurocrine biosciences inc.,NBIX,"",811832.0,79007000.0,1.0252,1.1583,27,-130000.0,-13.802886,reduction,0.8586636,Q2 2010,HEALTH CARE,"","",50.25
Rapt therapeutics  inc.,RAPT,"",2475660.0,78701000.0,1.0213,0.6955,28,-1821.0,-0.073502,reduction,8.3953784,Q4 2020,HEALTH CARE,"","",20.64
Crinetics pharmaceuticals inc,CRNX,"",3963517.0,74712000.0,0.9695,0.6526,29,304136.0,8.311132,addition,10.2778549,Q3 2018,HEALTH CARE,"","",24.8882
Relay therapeutics  inc.,RLAY,"",2018097.0,73842000.0,0.9582,0.8822,30,0.0,0.0,,2.1845047,Q3 2020,HEALTH CARE,"","",42.59
Beam therapeutics inc.,BEAM,"",537635.0,69199000.0,0.898,0.4784,31,0.0,0.0,,0.8102931,Q1 2021,HEALTH CARE,"","",80.04
Zymergen inc,ZY,"",1633332.0,65349000.0,0.848,,32,1633332.0,,new,1.6280446,Q2 2021, ,"","",40.01
Coherus biosciences inc,CHRS,"",4697612.0,64968000.0,0.843,0.8679,33,0.0,0.0,,6.1422629,Q2 2020,HEALTH CARE,"","",18.05
Athenex inc,ATNX,"",13532467.0,62520000.0,0.8113,0.725,34,0.0,0.0,,12.3801544,Q1 2018,HEALTH CARE,"","",15.82
Establishment labs holdings inc,ESTA,"",700408.0,61174000.0,0.7938,0.7807,35,-286879.0,-29.057306,reduction,2.9504090,Q3 2018,HEALTH CARE,"","",34.92
Kadmon holdings inc,KDMN,"",15711334.0,60803000.0,0.789,0.7729,36,0.0,0.0,,9.1159274,Q3 2016,HEALTH CARE,"","",4.46
Kronos bio  inc.,KRON,"",2528052.0,60547000.0,0.7857,1.0075,37,-252045.0,-9.066051,reduction,4.4939801,Q4 2020,HEALTH CARE,"","",29.87
Quotient ltd,QTNT,"",16200818.0,58971000.0,0.7652,0.7539,38,0.0,0.0,,15.9473940,Q2 2014,HEALTH CARE,"","",7.28
Macrogenics inc,MGNX,"",2148060.0,57697000.0,0.7487,0.8652,39,0.0,0.0,,3.5152272,Q2 2020,HEALTH CARE,"","",29.54
Medtronic plc,MDT,"",450000.0,55858000.0,0.7248,,40,450000.0,,new,0.0334845,Q2 2021,HEALTH CARE,"","",124.13
Morphic holding inc,MORF,"",938140.0,53840000.0,0.6986,0.7507,41,0.0,0.0,,2.5736960,Q2 2019,HEALTH CARE,"","",40.72
