Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",51650366.0,4540067000.0,11.6324,11.2816,1,0.0,0.0,,3.3325461,Q4 2014,CONSUMER DISCRETIONARY,"","",29.77
Microsoft corp.,MSFT,"",11891734.0,2644959000.0,6.7768,6.7563,2,478000.0,4.187937,addition,0.1572878,Q4 2016,INFORMATION TECHNOLOGY,"","",94.4973
Pinduoduo inc,PDD,"",14053066.0,2496808000.0,6.3972,2.9744,3,-200000.0,-1.403207,reduction,1.1459484,Q3 2018,CONSUMER DISCRETIONARY,"","",57.85
Amazon.com inc.,AMZN,"",613095.0,1996808000.0,5.1161,5.3595,4,8295.0,1.371528,addition,0.1221910,Q2 2015,CONSUMER DISCRETIONARY,"","",913.0273
Sea ltd adr,SE,"",9226500.0,1836535000.0,4.7055,3.6239,5,867265.0,10.374933,addition,1.8022920,Q1 2018,INFORMATION TECHNOLOGY,"","",31.9921
Meta platforms  inc.,FB,"",6326800.0,1728229000.0,4.428,6.4498,6,-2423700.0,-27.697846,reduction,0.2631814,Q4 2016,COMMUNICATIONS,"","",165.55
Apollo glbl management llc,APO,"",33913500.0,1661083000.0,4.256,4.2711,7,0.0,0.0,,14.8213091,Q1 2017,FINANCE,"","",25.13
Crowdstrike holdings inc,CRWD,"",7537000.0,1596487000.0,4.0905,2.9128,8,0.0,0.0,,4.0030809,Q2 2019,INFORMATION TECHNOLOGY,"","",111.48
Carvana co,CVNA,"",6012907.0,1440332000.0,3.6904,3.7747,9,0.0,0.0,,8.5194312,Q1 2019,CONSUMER DISCRETIONARY,"","",60.86
Uber technologies inc,UBER,"",27681399.0,1411751000.0,3.6171,1.5953,10,12142683.0,78.1447,addition,1.5694466,Q2 2019,CONSUMER DISCRETIONARY,"","",42.2711
Ringcentral inc,RNG,"",3326370.0,1260594000.0,3.2298,2.5708,11,0.0,0.0,,4.1931980,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",114.26
Peloton interactive inc,PTON,"",7857758.0,1192179000.0,3.0546,2.1723,12,80100.0,1.029873,addition,3.0752891,Q1 2020,CONSUMER DISCRETIONARY,"","",55.303
Transdigm group inc,TDG,"",1757245.0,1087471000.0,2.7863,2.3497,13,0.0,0.0,,3.2281005,Q4 2016,INDUSTRIALS,"","",269.66
Alibaba group holding ltd adr,BABA,"",4478062.0,1042179000.0,2.6702,3.705,14,0.0,0.0,,0.1655086,Q3 2016,COMMUNICATIONS,"","",159.66
Spotify technology sa,SPOT,"",3184013.0,1001882000.0,2.567,2.1747,15,-1576.0,-0.049473,reduction,1.6794543,Q2 2018,COMMUNICATIONS,"","",180.86
Workday inc,WDAY,"",4127450.0,988978000.0,2.5339,2.2431,16,422679.0,11.409045,addition,2.2930278,Q3 2019,COMMUNICATIONS,"","",167.7666
Servicenow inc,NOW,"",1643000.0,904356000.0,2.3171,2.0323,17,154100.0,10.349923,addition,0.8421322,Q3 2017,INFORMATION TECHNOLOGY,"","",373.8644
Elastic nv,ESTC,"",4019843.0,587420000.0,1.5051,1.2206,18,0.0,0.0,,4.5991703,Q4 2018,INFORMATION TECHNOLOGY,"","",65.62
Atlassian corp plc,TEAM,"",2465400.0,576583000.0,1.4773,1.4132,19,-296841.0,-10.746383,reduction,1.8654230,Q4 2015,INFORMATION TECHNOLOGY,"","",132.09
Netflix inc,NFLX,"",1056290.0,571168000.0,1.4634,2.1827,20,-494710.0,-31.896196,reduction,0.2390905,Q1 2017,COMMUNICATIONS,"","",248.52
Sunrun inc,RUN,"",8073257.0,560123000.0,1.4351,6.4579,21,-21700000.0,-72.884199,reduction,4.0870951,Q1 2018,ENERGY,"","",13.57
Salesforce.com inc.,CRM,"",2288700.0,509304000.0,1.3049,1.6188,22,0.0,0.0,,0.2493859,Q4 2017,INFORMATION TECHNOLOGY,"","",156.91
Snowflake  inc.,SNOW,"",1753597.0,493462000.0,1.2643,0.883,23,503597.0,40.28776,addition,3.4587712,Q3 2020,INFORMATION TECHNOLOGY,"","",259.7303
Zoom video communications inc,ZM,"",1444973.0,487418000.0,1.2488,2.4057,24,-373327.0,-20.53165,reduction,0.7271563,Q2 2019,INFORMATION TECHNOLOGY,"","",164.41
Datadog inc,DDOG,"",4757000.0,468279000.0,1.1998,1.3677,25,0.0,0.0,,2.2864830,Q3 2019,INFORMATION TECHNOLOGY,"","",47.32
Tal education group american depositary adr,TAL,"",5762873.0,412103000.0,1.0559,1.2333,26,0.0,0.0,,0.9598594,Q4 2015,CONSUMER DISCRETIONARY,"","",6.01
Gds holdings ltd adr,GDS,"",4360516.0,408319000.0,1.0462,1.3198,27,-1370143.0,-23.908995,reduction,2.3331069,Q2 2019,COMMUNICATIONS,"","",37.57
Docusign inc,DOCU,"",1773000.0,394138000.0,1.0098,0.1817,28,1473000.0,491.0,addition,0.9503802,Q2 2018,INFORMATION TECHNOLOGY,"","",193.6452
New oriental education & tech group inc adr,EDU,"",18435000.0,342541000.0,0.8776,0.901,29,-2980000.0,-13.91548,reduction,1.0915428,Q4 2016,CONSUMER DISCRETIONARY,"","",75.29
8x8 inc,EGHT,"",9000000.0,310230000.0,0.7949,0.2166,30,4050000.0,81.818182,addition,8.4648968,Q1 2019,INFORMATION TECHNOLOGY,"","",26.5775
Mastercard inc,MA,"",724000.0,258425000.0,0.6621,0.6891,31,0.0,0.0,,0.0732445,Q4 2007,FINANCE,"","",131.38
Doordash  inc.,DASH,"",1596000.0,227829000.0,0.5837,,32,1596000.0,,new,0.5573734,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Coupa software inc,COUP,"",665000.0,225375000.0,0.5774,,33,665000.0,,new,0.9213564,Q4 2020,INFORMATION TECHNOLOGY,"","",338.91
Shopify inc,SHOP,"",193816.0,219390000.0,0.5621,0.2519,34,106315.0,121.501469,addition,0.1749194,Q2 2015,COMMUNICATIONS,"","",725.5464
Paypal holdings inc,PYPL,"",896001.0,209843000.0,0.5377,1.1922,35,-1254000.0,-58.325554,reduction,0.0764707,Q4 2019,COMMUNICATIONS,"","",108.17
Fleetcor technologies inc,FLT,"",647662.0,176702000.0,0.4527,0.868,36,-647663.0,-50.000039,reduction,0.7765580,Q4 2012,INFORMATION TECHNOLOGY,"","",151.05
1life healthcare inc.,ONEM,"",3930000.0,171545000.0,0.4395,,37,3930000.0,,new,2.9546060,Q4 2020,INFORMATION TECHNOLOGY,"","",43.65
Gsx techedu inc,GOTU,"",3020769.0,156204000.0,0.4002,0.7661,38,0.0,0.0,,1.2668883,Q3 2020,INFORMATION TECHNOLOGY,"","",90.11
Sumo logic  inc.,SUMO,"",5391187.0,154080000.0,0.3948,0.3308,39,0.0,0.0,,5.2690263,Q3 2020,INFORMATION TECHNOLOGY,"","",21.8
Ke holdings inc.,BEKE,"",2500000.0,153850000.0,0.3942,0.4313,40,0.0,0.0,,0.2120838,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
C3ai  inc.,AI,"",1000000.0,138750000.0,0.3555,,41,1000000.0,,new,1.0828604,Q4 2020,INFORMATION TECHNOLOGY,"","",138.75
Despegar.com corp,DESP,"",9256550.0,118576000.0,0.3038,0.1657,42,0.0,0.0,,13.2338518,Q3 2017,COMMUNICATIONS,"","",32.0
Phoenix tree holdings ltd. ads,DNK1,"",36436075.0,106029000.0,0.2717,0.4215,43,0.0,0.0,,11.4795447,Q1 2020,REAL ESTATE,"","",4.34
Zendesk inc,ZEN,"",714000.0,102188000.0,0.2618,0.2068,44,0.0,0.0,,0.6119475,Q3 2018,INFORMATION TECHNOLOGY,"","",69.61
Yatsen holding ltd ads,YSG,"",5714000.0,97138000.0,0.2489,,45,5714000.0,,new,0.8586271,Q4 2020,CONSUMER DISCRETIONARY,"","",17.0
Airbnb  inc.,ABNB,"",650000.0,95420000.0,0.2445,,46,650000.0,,new,0.1089874,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Anaplan inc,PLAN,"",1280867.0,92030000.0,0.2358,1.1978,47,-5520036.0,-81.166222,reduction,0.9027054,Q3 2019,INFORMATION TECHNOLOGY,"","",36.44
Square inc,SQ,"",408500.0,88906000.0,0.2278,,48,408500.0,,new,0.1064340,Q4 2020,FINANCE,"","",217.64
Bigcommerce holdings  inc.,BIGC,"",1350000.0,86603000.0,0.2219,0.3165,49,0.0,0.0,,2.1511824,Q3 2020,INFORMATION TECHNOLOGY,"","",83.3
Goodrx holdings  inc.,GDRX,"",2145000.0,86529000.0,0.2217,0.2191,50,745000.0,53.214286,addition,4.7666601,Q3 2020,HEALTH CARE,"","",50.2999
Intuit  inc.,INTU,"",221287.0,84056000.0,0.2154,,51,221287.0,,new,0.0807482,Q4 2020,INFORMATION TECHNOLOGY,"","",379.85
Adobe systems  inc.,ADBE,"",167500.0,83770000.0,0.2146,0.2333,52,-1500.0,-0.887574,reduction,0.0349163,Q2 2018,INFORMATION TECHNOLOGY,"","",250.25
Jamf holding corp.,JAMF,"",2778778.0,83141000.0,0.213,0.2941,53,0.0,0.0,,2.3832454,Q3 2020,INFORMATION TECHNOLOGY,"","",37.61
Asana  inc.,ASAN,"",2419454.0,71495000.0,0.1832,0.0751,54,1493252.0,161.223146,addition,3.0130462,Q3 2020,INFORMATION TECHNOLOGY,"","",29.2629
Agora  inc. ads,API,"",1726123.0,68285000.0,0.175,0.0085,55,1656123.0,2365.89,addition,1.7396140,Q2 2020,INFORMATION TECHNOLOGY,"","",39.747
Stoneco ltd,STNE,"",765783.0,64265000.0,0.1647,0.114,56,0.0,0.0,,0.3390693,Q4 2018,FINANCE,"","",18.44
Jfrog ltd.,FROG,"",1000000.0,62830000.0,0.161,0.2382,57,0.0,0.0,,No Data,Q3 2020,INFORMATION TECHNOLOGY,"","",84.65
Chindata group holdings ltd ads,CD,"",1850000.0,44326000.0,0.1136,0.0845,58,0.0,0.0,,0.5149908,Q3 2020,INFORMATION TECHNOLOGY,"","",16.23
Datto holding corp.,MSP,"",1500000.0,40500000.0,0.1038,,59,1500000.0,,new,No Data,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Academy sports and outdoors  inc.,ASO,"",1750000.0,36278000.0,0.093,,60,1750000.0,,new,No Data,Q4 2020,CONSUMER DISCRETIONARY,"","",20.73
Visa inc,V,"",163000.0,35653000.0,0.0913,0.0917,61,0.0,0.0,,0.0096127,Q3 2016,FINANCE,"","",80.48
Ozon holdings plc,OZON,"",750000.0,31058000.0,0.0796,,62,750000.0,,new,No Data,Q4 2020,CONSUMER DISCRETIONARY,"","",41.41
Mongodb inc,MDB,"",82000.0,29441000.0,0.0754,1.2453,63,-1829300.0,-95.709726,reduction,0.1360627,Q4 2017,INFORMATION TECHNOLOGY,"","",132.5
Xpeng inc.,XPEV,"",650000.0,27840000.0,0.0713,0.0367,64,0.0,0.0,,0.0911410,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Twilio inc,TWLO,"",74701.0,25286000.0,0.0648,1.3153,65,-1816799.0,-96.050701,reduction,0.0498724,Q3 2018,INFORMATION TECHNOLOGY,"","",115.88
