Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",17001796.0,5759358000.0,54.7654,50.9689,1,-4035537.0,-19.182741,reduction,5.5507006,Q3 2020,INFORMATION TECHNOLOGY,"","",244.24
Meta platforms  inc.,FB,"",2350000.0,790423000.0,7.5161,10.205,2,-1403400.0,-37.3901,reduction,0.0993121,Q1 2018,COMMUNICATIONS,"","",141.61
Microsoft corp.,MSFT,"",1763135.0,592978000.0,5.6386,3.982,3,0.0,0.0,,0.0234835,Q1 2018,INFORMATION TECHNOLOGY,"","",180.98
Grab holdings limited,GRAB,"",75018565.0,534882000.0,5.0862,0.0008,4,75008565.0,750085.65,addition,1.8995479,Q3 2021,FINANCE,"","",7.1304
Uber technologies inc,UBER,"",11500000.0,482195000.0,4.5852,8.7929,5,-13000000.0,-53.061224,reduction,0.6179785,Q2 2019,CONSUMER DISCRETIONARY,"","",30.9
Unity software inc.,U,"",2098175.0,300018000.0,2.8529,2.1221,6,0.0,0.0,,0.7336005,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Roblox corp. class a,RBLX,"",2850000.0,294006000.0,2.7957,1.7249,7,0.0,0.0,,0.5520644,Q1 2021,INFORMATION TECHNOLOGY,"","",65.1
Sea ltd adr,SE,"",1250000.0,279638000.0,2.6591,0.766,8,950000.0,316.666667,addition,0.3125164,Q2 2020,INFORMATION TECHNOLOGY,"","",210.8892
Shopify inc,SHOP,"",200000.0,275478000.0,2.6195,2.1722,9,0.0,0.0,,0.1760450,Q3 2020,COMMUNICATIONS,"","",1265.55
Confluent inc,CFLT,"",2950000.0,224908000.0,2.1386,0.8243,10,1225000.0,71.014493,addition,4.2422217,Q2 2021,INFORMATION TECHNOLOGY,"","",59.4344
Opendoor technologies  inc.,OPEN,"",13750000.0,200888000.0,1.9102,2.2039,11,350000.0,2.61194,addition,2.2444849,Q3 2021,CONSUMER DISCRETIONARY,"","",20.3793
Crowdstrike holdings inc,CRWD,"",970000.0,198608000.0,1.8886,1.9099,12,0.0,0.0,,0.4658820,Q2 2019,INFORMATION TECHNOLOGY,"","",98.22
Mongodb inc,MDB,"",250000.0,132338000.0,1.2584,,13,250000.0,,new,0.3745144,Q4 2021,INFORMATION TECHNOLOGY,"","",529.35
Uipath inc,PATH,"",3004806.0,129597000.0,1.2323,1.2664,14,16.0,0.000532,addition,0.6786298,Q2 2021,INFORMATION TECHNOLOGY,"","",67.9299
Okta inc,OKTA,"",525000.0,117689000.0,1.1191,0.9982,15,0.0,0.0,,0.3534647,Q2 2017,INFORMATION TECHNOLOGY,"","",142.19
