Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Uber technologies inc,UBER,"",31152028.0,869765000.0,26.0981,14.0182,1,10058744.0,47.686951,addition,1.8035139,Q2 2019,CONSUMER DISCRETIONARY,"","",30.7977
Meta platforms  inc.,FB,"",3753400.0,626067000.0,18.7857,17.2153,2,0.0,0.0,,0.1316621,Q1 2018,COMMUNICATIONS,"","",141.61
Salesforce.com inc.,CRM,"",3153823.0,454087000.0,13.6253,15.0243,3,-980080.0,-23.708345,reduction,0.3523825,Q4 2016,INFORMATION TECHNOLOGY,"","",145.89
United airlines holdings inc,UAL,"",10791309.0,340466000.0,10.216,23.252,4,-1020774.0,-8.641778,reduction,4.3644125,Q4 2011,TRANSPORTS,"","",54.5
Pinduoduo inc,PDD,"",8690000.0,313101000.0,9.3949,7.3443,5,0.0,0.0,,0.7256020,Q3 2018,CONSUMER DISCRETIONARY,"","",25.71
Expedia group inc,EXPE,"",3912476.0,220155000.0,6.606,8.814,6,265103.0,7.268327,addition,2.7751621,Q4 2013,CONSUMER DISCRETIONARY,"","",102.7143
Booking holdings inc. (priceline),BKNG,"",136402.0,183504000.0,5.5062,6.2599,7,0.0,0.0,,0.3332511,Q4 2011,CONSUMER DISCRETIONARY,"","",1483.12
Microsoft corp.,MSFT,"",525000.0,82798000.0,2.4844,1.8501,8,0.0,0.0,,0.0069024,Q1 2018,INFORMATION TECHNOLOGY,"","",103.15
Alibaba group holding ltd adr,BABA,"",294350.0,57245000.0,1.7177,1.3951,9,0.0,0.0,,0.0109721,Q2 2017,COMMUNICATIONS,"","",163.02
Mongodb inc,MDB,"",300000.0,40962000.0,1.2291,0.8823,10,0.0,0.0,,0.5211387,Q4 2017,INFORMATION TECHNOLOGY,"","",86.93
Okta inc,OKTA,"",250000.0,30565000.0,0.9171,0.6445,11,0.0,0.0,,0.2036256,Q2 2017,INFORMATION TECHNOLOGY,"","",42.19
Farfetch ltd,FTCH,"",3779409.0,29857000.0,0.8959,0.8741,12,0.0,0.0,,1.1119969,Q3 2019,CONSUMER DISCRETIONARY,"","",9.87
Dynatrace inc,DT,"",1100000.0,26224000.0,0.7869,0.5654,13,100000.0,10.0,addition,0.3917346,Q3 2019,INFORMATION TECHNOLOGY,"","",20.6491
Datadog inc,DDOG,"",300000.0,10794000.0,0.3239,0.1266,14,150000.0,100.0,addition,0.1003738,Q3 2019,INFORMATION TECHNOLOGY,"","",35.59
Crowdstrike holdings inc,CRWD,"",150000.0,8352000.0,0.2506,0.1672,15,0.0,0.0,,0.0703522,Q2 2019,INFORMATION TECHNOLOGY,"","",62.23
Servicenow inc,NOW,"",28991.0,8308000.0,0.2493,,16,28991.0,,new,0.0152745,Q1 2020,INFORMATION TECHNOLOGY,"","",286.58
Trivago n.v. class a adr,TRVG,"",5290428.0,7724000.0,0.2318,0.3057,17,69400.0,1.32924,addition,1.5008107,Q3 2017,COMMUNICATIONS,"","",6.197
Ranpak holdings corp,PACK,"",1000000.0,6260000.0,0.1878,0.1821,18,0.0,0.0,,N/A,Q2 2019, ,"","",
Angi homeservices inc,ANGI,"",890000.0,4673000.0,0.1402,0.1684,19,0.0,0.0,,0.1775965,Q3 2019,COMMUNICATIONS,"","",7.74
Peloton interactive inc,PTON,"",120000.0,3186000.0,0.0956,,20,120000.0,,new,0.0427551,Q3 2019,CONSUMER DISCRETIONARY,"","",26.55
Allegiant travel co,ALGT,"",30000.0,2454000.0,0.0736,0.0778,21,10000.0,50.0,addition,0.1832576,Q4 2018,TRANSPORTS,"","",94.08
Mesa air group inc,MESA,"",725000.0,2385000.0,0.0716,0.0659,22,395314.0,119.906214,addition,2.1943680,Q3 2018,TRANSPORTS,"","",6.4413
Carvana co,CVNA,"",40000.0,2204000.0,0.0661,,23,40000.0,,new,0.0242225,Q1 2020,CONSUMER DISCRETIONARY,"","",55.09
Skywest inc,SKYW,"",40000.0,1048000.0,0.0314,0.0505,24,5000.0,14.285714,addition,0.0795903,Q4 2018,TRANSPORTS,"","",45.1338
Amazon.com inc.,AMZN,"",250.0,487000.0,0.0146,,25,250.0,,new,0.0000501,Q4 2016,CONSUMER DISCRETIONARY,"","",1949.72
United airlines holdings inc,UAL,CALL,0.0,0.0,,0.0314,"",-13150.0,-100.0,soldall,N/A,Q1 2019,TRANSPORTS,"","",
Spirit airlines inc,SAVE,"",0.0,0.0,,0.2027,"",-225000.0,-100.0,soldall,0.0000000,Q1 2018,TRANSPORTS,"","",52.86
Elastic nv,ESTC,"",0.0,0.0,,0.2012,"",-140000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,"","",74.3
Expedia group inc,EXPE,CALL,0.0,0.0,,0.0972,"",-5000.0,-100.0,soldall,N/A,Q4 2019,CONSUMER DISCRETIONARY,"","",
Norwegian cruise line holdings ltd,NCLH,"",0.0,0.0,,0.1436,"",-110000.0,-100.0,soldall,0.0000000,Q4 2017,CONSUMER DISCRETIONARY,"","",50.95
Uber technologies inc,UBER,CALL,0.0,0.0,,0.0402,"",-60000.0,-100.0,soldall,N/A,Q3 2019,CONSUMER DISCRETIONARY,"","",
