Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,,32221080,7387649000,52.8279,24.7121,1,22729505,239.47032,addition,63.552426,Q3 2020,INFORMATION TECHNOLOGY,,,244.2357
Uber technologies inc,UBER,,28411000,1548684000,11.0744,13.4062,2,0,0,,1.5287016,Q2 2019,CONSUMER DISCRETIONARY,,,30.9
Meta platforms  inc.,FB,,3753400,1105489000,7.9052,9.4861,3,0,0,,0.1560374,Q1 2018,COMMUNICATIONS,,,141.61
Expedia group inc,EXPE,,2513568,432635000,3.0937,4.9321,4,-1512617,-37.569486,reduction,1.8169351,Q4 2013,CONSUMER DISCRETIONARY,,,97.29
Microsoft corp.,MSFT,,1763135,415694000,2.9726,3.1653,5,225000,14.628105,addition,0.0233769,Q1 2018,INFORMATION TECHNOLOGY,,,180.9841
Unity software inc.,U,,3546543,355754000,2.5439,5.3909,6,-250001,-6.584963,reduction,1.2761734,Q3 2020,INFORMATION TECHNOLOGY,,,87.28
Salesforce.com inc.,CRM,,1454989,308269000,2.2044,6.1082,7,-1511734,-50.956358,reduction,0.1579793,Q4 2016,INFORMATION TECHNOLOGY,,,145.89
Alibaba group holding ltd adr,BABA,,1252000,283866000,2.0299,2.3686,8,152000,13.818182,addition,0.0462738,Q2 2017,COMMUNICATIONS,,,215.6158
United airlines holdings inc,UAL,,4151279,238865000,1.7081,1.9221,9,-652000,-13.574061,reduction,1.3034814,Q4 2011,TRANSPORTS,,,54.5
Farfetch ltd,FTCH,,4379409,232196000,1.6604,2.2313,10,600000,15.875498,addition,1.4065778,Q3 2019,CONSUMER DISCRETIONARY,,,15.7818
Zoom video communications inc,ZM,,690250,221770000,1.5858,0.5157,11,525000,317.700454,addition,0.2946757,Q2 2020,INFORMATION TECHNOLOGY,,,315.4174
Roblox corp. class a,RBLX,,2777777,180083000,1.2877,,12,2777777,,new,0.556691,Q1 2021,INFORMATION TECHNOLOGY,,,64.83
Crowdstrike holdings inc,CRWD,,970000,177035000,1.2659,1.901,13,0,0,,0.4968058,Q2 2019,INFORMATION TECHNOLOGY,,,98.22
