Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Moderna inc,MRNA,"",45772079.0,11625193000.0,6.3789,8.5004,1,3554725.0,8.420056,addition,11.2892175,Q4 2018,HEALTH CARE,"","",119.9089
Tesla inc,TSLA,"",10798014.0,11411124000.0,6.2615,5.6203,2,-3055110.0,-22.053582,reduction,1.0752158,Q1 2013,CONSUMER DISCRETIONARY,"","",41.89
Illumina inc,ILMN,"",20480537.0,7791616000.0,4.2754,4.3775,3,-148118.0,-0.718021,reduction,13.1033506,Q1 2011,HEALTH CARE,"","",164.48
Shopify inc,SHOP,"",5450723.0,7507786000.0,4.1196,3.8974,4,-43966.0,-0.800154,reduction,4.7978622,Q3 2017,COMMUNICATIONS,"","",210.49
Amazon.com inc.,AMZN,"",2092297.0,6976431000.0,3.8281,3.8585,5,-152780.0,-6.805112,reduction,0.4125617,Q4 2004,CONSUMER DISCRETIONARY,"","",167.67
Mercadolibre inc,MELI,"",4957539.0,6684747000.0,3.668,4.1315,6,255226.0,5.427669,addition,10.0235411,Q2 2010,COMMUNICATIONS,"","",235.9975
Nvidia corp.,NVDA,"",18259244.0,5370226000.0,2.9467,2.2336,7,-2349649.0,-11.401141,reduction,0.7303698,Q1 2016,INFORMATION TECHNOLOGY,"","",37.94
Spotify technology sa,SPOT,"",22136902.0,5180700000.0,2.8427,2.6329,8,-196642.0,-0.880478,reduction,12.3499484,Q2 2018,COMMUNICATIONS,"","",166.92
The trade desk inc class a,TTD,"",53353398.0,4889305000.0,2.6828,1.9156,9,1269992.0,2.438381,addition,12.2348599,Q3 2018,COMMUNICATIONS,"","",73.0142
Netflix inc,NFLX,"",7820645.0,4711470000.0,2.5853,2.5498,10,-164735.0,-2.062958,reduction,1.7701977,Q1 2015,COMMUNICATIONS,"","",135.28
Cloudflare inc,NET,"",28372963.0,3731045000.0,2.0473,1.7524,11,-1361979.0,-4.580399,reduction,10.3595273,Q2 2020,INFORMATION TECHNOLOGY,"","",41.92
Nio inc,NIO,"",88858365.0,2815033000.0,1.5446,1.6893,12,-1768639.0,-1.951559,reduction,6.5254305,Q3 2018,CONSUMER DISCRETIONARY,"","",8.04
Meta platforms  inc.,FB,"",7728607.0,2599518000.0,1.4264,1.4035,13,-175995.0,-2.226488,reduction,0.3266145,Q2 2012,COMMUNICATIONS,"","",44.11
Ferrari n.v.,RACE,"",9967779.0,2578794000.0,1.415,1.1164,14,-207424.0,-2.038524,reduction,5.3953412,Q1 2016,CONSUMER DISCRETIONARY,"","",49.82
Dexcom inc,DXCM,"",4509186.0,2421208000.0,1.3286,1.5306,15,-840632.0,-15.713282,reduction,4.6523848,Q4 2012,HEALTH CARE,"","",159.88
Workday inc,WDAY,"",8824543.0,2410689000.0,1.3228,1.1833,16,-226707.0,-2.504704,reduction,4.5723021,Q4 2012,COMMUNICATIONS,"","",139.84
Microsoft corp.,MSFT,"",6950642.0,2337640000.0,1.2827,1.0217,17,23230.0,0.335334,addition,0.0925767,Q1 2001,INFORMATION TECHNOLOGY,"","",126.8026
Carvana co,CVNA,"",9655855.0,2238131000.0,1.2281,1.2176,18,1937812.0,25.107556,addition,11.2818829,Q3 2020,CONSUMER DISCRETIONARY,"","",239.3915
Sea ltd adr,SE,"",9999979.0,2237095000.0,1.2275,1.6071,19,362427.0,3.760571,addition,2.5001257,Q4 2017,INFORMATION TECHNOLOGY,"","",70.2702
Atlassian corp plc,TEAM,"",5688570.0,2168995000.0,1.1902,1.2067,20,-203979.0,-3.461643,reduction,4.1429338,Q2 2016,INFORMATION TECHNOLOGY,"","",33.85
Moodys corp,MCO,"",5462127.0,2133397000.0,1.1706,1.0218,21,-37931.0,-0.689647,reduction,2.9382071,Q4 2001,FINANCE,"","",70.95
Anthem inc,ANTM,"",4582312.0,2124085000.0,1.1655,0.7791,22,587649.0,14.710853,addition,1.8879419,Q4 2014,HEALTH CARE,"","",146.2727
Alphabet inc. class c,GOOG,"",674431.0,1951527000.0,1.0708,0.9435,23,-2199.0,-0.324993,reduction,0.2122602,Q2 2014,COMMUNICATIONS,"","",633.28
Wayfair inc class a,W,"",10249184.0,1947037000.0,1.0684,1.335,24,262240.0,2.625828,addition,13.1432329,Q3 2015,CONSUMER DISCRETIONARY,"","",170.511
Martin marietta materials inc.,MLM,"",4342622.0,1913012000.0,1.0497,0.6708,25,590221.0,15.729156,addition,6.9613504,Q1 2013,MATERIALS,"","",232.6726
Coupang inc,CPNG,"",64615222.0,1898395000.0,1.0417,0.7142,26,15599767.0,31.826221,addition,4.0982902,Q1 2021,CONSUMER DISCRETIONARY,"","",38.536
Alnylam pharmaceuticals inc,ALNY,"",10616751.0,1800388000.0,0.9879,1.0289,27,200967.0,1.929447,addition,8.8767947,Q3 2010,HEALTH CARE,"","",96.7747
Twilio inc,TWLO,"",6456068.0,1700141000.0,0.9329,1.0197,28,346907.0,5.678472,addition,3.8326633,Q2 2020,INFORMATION TECHNOLOGY,"","",292.2768
