Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Seagen inc,SGEN,"",47269424.0,8278767000.0,31.1893,36.9623,1,0.0,0.0,,26.1308050,Q3 2004,HEALTH CARE,"","",32.06
Beigene ltd adr,BGNE,"",11668897.0,3015126000.0,11.3591,15.2246,2,-1632700.0,-12.274466,reduction,12.7963311,Q1 2016,HEALTH CARE,"","",136.93
Incyte corporation,INCY,"",31999741.0,2783337000.0,10.4859,11.4746,3,343.0,0.001072,addition,14.6120148,Q4 2001,HEALTH CARE,"","",71.7302
Acadia pharmaceuticals inc,ACAD,"",41904586.0,2240219000.0,8.4398,6.9071,4,0.0,0.0,,26.3587182,Q4 2010,HEALTH CARE,"","",15.46
Kodiak sciences inc,KOD,"",13879952.0,2039104000.0,7.6821,2.9225,5,1527777.0,12.368486,addition,27.3358328,Q4 2018,HEALTH CARE,"","",35.8379
Alexion pharmaceuticals inc.,ALXN1,"",8760794.0,1368786000.0,5.1567,4.0058,6,0.0,0.0,,4.0054733,Q2 2015,HEALTH CARE,"","",162.43
Prelude therapeutics inc.,PRLD,"",10118636.0,723988000.0,2.7275,1.2182,7,0.0,0.0,,23.1529821,Q3 2020,HEALTH CARE,"","",30.13
Biomarin pharmaceutical inc,BMRN,"",7589294.0,665505000.0,2.5072,2.3072,8,0.0,0.0,,4.1807458,Q2 2012,HEALTH CARE,"","",84.32
Invitae corp,NVTA,"",15649182.0,654292000.0,2.465,2.0528,9,3798220.0,32.049888,addition,8.8563709,Q1 2015,HEALTH CARE,"","",25.3995
Ascendis pharma a/s adr,ASND,"",3540270.0,590446000.0,2.2244,2.1831,10,0.0,0.0,,6.6277220,Q1 2015,HEALTH CARE,"","",48.88
Abcellera biologics inc.,ABCL,"",10450180.0,420515000.0,1.5842,,11,10450180.0,,new,No Data,Q4 2020,HEALTH CARE,"","",40.24
Mirati therapeutics inc,MRTX,"",1409784.0,309645000.0,1.1666,0.9354,12,0.0,0.0,,2.8038061,Q3 2013,HEALTH CARE,"","",22.85
Argenx se ads adr,ARGX,"",1019557.0,299842000.0,1.1296,1.0695,13,0.0,0.0,,2.1536026,Q2 2017,HEALTH CARE,"","",59.75
Igm biosciences inc,IGMS,"",3144892.0,277663000.0,1.0461,0.9274,14,446.0,0.014184,addition,12.3374529,Q3 2019,HEALTH CARE,"","",17.76
Madrigal pharmaceuticals inc,MDGL,"",1499213.0,166668000.0,0.6279,0.7113,15,0.0,0.0,,9.6933227,Q2 2016,HEALTH CARE,"","",164.39
Amarin corp. adr,AMRN,"",27991761.0,136880000.0,0.5157,0.5386,16,-4027106.0,-12.577291,reduction,7.1989826,Q1 2015,HEALTH CARE,"","",8.92
Heron therapeutics inc,HRTX,"",5994704.0,126878000.0,0.478,0.355,17,0.0,0.0,,6.5980818,Q1 2014,HEALTH CARE,"","",19.93
Kymera therapeutics  inc.,KYMR,"",1959211.0,121471000.0,0.4576,0.2529,18,0.0,0.0,,4.4067874,Q3 2020,HEALTH CARE,"","",32.31
