Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Sarepta therapeutics inc,SRPT,"",670000.0,86457000.0,7.9507,6.8593,1,-210000.0,-23.863636,reduction,0.9012645,Q3 2018,HEALTH CARE,"","",93.8
Bluebird bio inc,BLUE,"",1497680.0,85118000.0,7.8275,5.8201,2,551980.0,58.367347,addition,1.7550208,Q4 2015,HEALTH CARE,"","",103.6813
Codexis inc,CDXS,"",5073780.0,81130000.0,7.4608,7.2014,3,0.0,0.0,,8.6939342,Q1 2017,MATERIALS,"","",13.76
Blueprint medicines corp,BPMC,"",940000.0,75303000.0,6.9249,7.147,4,0.0,0.0,,1.9136808,Q4 2015,HEALTH CARE,"","",63.59
Myokardia inc,MYOK1,"",1005000.0,73249000.0,6.7361,6.0175,5,-110000.0,-9.865471,reduction,2.1790980,Q4 2015,HEALTH CARE,"","",39.07
Alnylam pharmaceuticals inc,ALNY,"",515000.0,59313000.0,5.4545,4.9935,6,-85000.0,-14.166667,reduction,0.4630879,Q4 2015,HEALTH CARE,"","",85.82
Invitae corp,NVTA,"",3638388.0,58687000.0,5.3969,7.6545,7,-200000.0,-5.210521,reduction,3.8226392,Q3 2018,HEALTH CARE,"","",19.62
Constellation pharmaceuticals inc,CNST,"",1212734.0,57132000.0,5.2539,1.0188,8,-311226.0,-20.42219,reduction,4.6968784,Q3 2018,HEALTH CARE,"","",6.31
Audentes therapeutics inc,BOLD,"",860000.0,51462000.0,4.7325,2.5,9,0.0,0.0,,1.8926056,Q1 2017,HEALTH CARE,"","",26.14
Fate therapeutics inc,FATE,"",2550000.0,49904000.0,4.5892,4.0983,10,0.0,0.0,,3.8996788,Q2 2017,HEALTH CARE,"","",5.5
Magenta therapeutics inc,MGTA,"",3098121.0,46968000.0,4.3192,3.2364,11,50000.0,1.640355,addition,7.8752440,Q2 2018,HEALTH CARE,"","",12.5331
Biolife solutions inc,BLFS,"",2468571.0,39941000.0,3.673,4.1783,12,40000.0,1.647059,addition,12.1305700,Q2 2018,HEALTH CARE,"","",15.0093
Agios pharmaceuticals inc,AGIO,"",825000.0,39394000.0,3.6227,3.135,13,-110000.0,-11.764706,reduction,1.4042553,Q4 2015,HEALTH CARE,"","",47.33
Caredx inc,CDNA,"",1200000.0,25884000.0,2.3803,2.3399,14,200000.0,20.0,addition,2.8315243,Q2 2018,HEALTH CARE,"","",20.7117
Global blood therapeutics inc,GBT,"",300000.0,23847000.0,2.193,1.5064,15,0.0,0.0,,0.4998334,Q4 2015,HEALTH CARE,"","",32.45
Denali therapeutics inc,DNLI,"",1250000.0,21775000.0,2.0025,1.0305,16,600000.0,92.307692,addition,1.3042571,Q4 2018,HEALTH CARE,"","",18.0648
Fulcrum therapeutics inc,FULC,"",1239285.0,20622000.0,1.8964,0.5802,17,395000.0,46.78515,addition,No Data,Q3 2019,HEALTH CARE,"","",9.8273
Illumina inc,ILMN,"",60000.0,19904000.0,1.8304,1.889,18,0.0,0.0,,0.0408163,Q4 2016,HEALTH CARE,"","",202.2
Gritstone bio inc,GRTS,"",2160000.0,19375000.0,1.7817,1.5817,19,390000.0,22.033898,addition,6.0385798,Q3 2018,HEALTH CARE,"","",12.1822
Alector inc,ALEC,"",1076039.0,18540000.0,1.705,1.2103,20,265000.0,32.674138,addition,1.5633285,Q1 2019,HEALTH CARE,"","",17.3732
Sage therapeutics inc,SAGE,"",230000.0,16604000.0,1.5269,5.8073,21,-170000.0,-42.5,reduction,0.4452187,Q4 2015,HEALTH CARE,"","",89.71
