Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Prelude therapeutics inc.,PRLD,"",15594877.0,469874000.0,5.9058,,1,15594877.0,,new,35.6834566,Q3 2020,HEALTH CARE,"","",30.13
Springworks therapeutics inc,SWTX,"",7406307.0,353059000.0,4.4375,4.3794,2,0.0,0.0,,15.1870803,Q3 2019,HEALTH CARE,"","",21.68
Pmv pharmaceuticals  inc.,PMVP,"",7330423.0,260230000.0,3.2708,,3,7330423.0,,new,16.3756884,Q3 2020,HEALTH CARE,"","",35.5
Alexion pharmaceuticals inc.,ALXN1,"",2184500.0,249972000.0,3.1419,3.4069,4,28500.0,1.321892,addition,0.9981931,Q1 2011,HEALTH CARE,"","",126.4314
Turning point therapeutics inc,TPTX,"",2745327.0,239832000.0,3.0144,2.4964,5,0.0,0.0,,5.6989569,Q2 2019,HEALTH CARE,"","",40.5
Horizon therapeutics plc,HZNP,"",3008755.0,233720000.0,2.9376,2.2441,6,140845.0,4.911068,addition,1.3632159,Q4 2019,HEALTH CARE,"","",39.8766
Iovance biotherapeutics inc,IOVA,"",6645100.0,218757000.0,2.7495,2.568,7,0.0,0.0,,4.5301116,Q1 2015,HEALTH CARE,"","",11.68
Mirati therapeutics inc,MRTX,"",1317000.0,218688000.0,2.7487,2.1283,8,-7100.0,-0.536213,reduction,2.6192754,Q3 2019,HEALTH CARE,"","",106.68
Merck & co,MRK,"",2713376.8,214766000.0,2.6994,2.8187,9,0.0,0.0,,0.1023346,Q1 2016,HEALTH CARE,"","",63.47
Bristol-myers squibb co,BMY,"",3549100.0,213975000.0,2.6894,2.3859,10,666900.0,23.138575,addition,0.1570571,Q2 2007,HEALTH CARE,"","",60.9884
Biogen inc,BIIB,"",715900.0,203087000.0,2.5526,2.6966,11,0.0,0.0,,0.4652278,Q3 2010,HEALTH CARE,"","",295.28
Boston scientific inc.,BSX,"",4847300.0,185215000.0,2.3279,2.396,12,0.0,0.0,,0.3385172,Q2 2020,HEALTH CARE,"","",35.11
Vertex pharmaceuticals  inc.,VRTX,"",666100.0,181259000.0,2.2782,2.7224,13,0.0,0.0,,0.2561550,Q4 2012,HEALTH CARE,"","",96.2
Acutus medical  inc.,AFIB,"",5477958.0,163243000.0,2.0518,,14,5477958.0,,new,19.6861844,Q3 2020,HEALTH CARE,"","",29.8
Natera inc,NTRA,"",2110700.0,152477000.0,1.9165,2.2747,15,-1129814.0,-34.865271,reduction,2.4724172,Q3 2015,HEALTH CARE,"","",25.05
Prevail therapeutics inc,PRVL,"",13822463.0,140713000.0,1.7686,2.8996,16,0.0,0.0,,40.3990156,Q2 2019,HEALTH CARE,"","",13.2
Arcutis biotherapeutics  inc.,ARQT,"",4673850.0,136944000.0,1.7212,1.9898,17,0.0,0.0,,10.7113686,Q1 2020,HEALTH CARE,"","",29.8
Neurocrine biosciences inc.,NBIX,"",1301715.0,125173000.0,1.5733,2.0369,18,115800.0,9.764612,addition,1.3932643,Q1 2012,HEALTH CARE,"","",87.1316
Burning rock biotech ltd. ads,BNR,"",4746075.0,119032000.0,1.4961,1.8047,19,4.0,0.000084,addition,4.6630937,Q2 2020,HEALTH CARE,"","",27.01
Humana  inc.,HUM,"",280300.0,116013000.0,1.4581,1.5301,20,0.0,0.0,,0.2118006,Q2 2018,HEALTH CARE,"","",315.1
Ascendis pharma a/s adr,ASND,"",734500.0,113348000.0,1.4247,3.2545,21,-828486.0,-53.006617,reduction,1.3750538,Q1 2015,HEALTH CARE,"","",29.06
Repare therapeutics inc.,RPTX,"",3426325.0,105428000.0,1.3251,1.4963,22,0.0,0.0,,9.3195261,Q2 2020,HEALTH CARE,"","",31.02
89bio  inc.,ETNB,"",3729442.0,95697000.0,1.2028,1.1236,23,-275000.0,-6.867374,reduction,18.3050412,Q4 2019,HEALTH CARE,"","",26.29
Dexcom inc,DXCM,"",226400.0,93329000.0,1.173,1.2922,24,0.0,0.0,,0.2357655,Q4 2018,HEALTH CARE,"","",178.6
Theravance biopharma inc,TBPH,"",6219110.0,91950000.0,1.1557,0.7549,25,3664640.0,143.459896,addition,9.7201969,Q1 2020,HEALTH CARE,"","",17.4076
Passage bio  inc.,PASG,"",6962899.0,91284000.0,1.1473,2.6791,26,0.0,0.0,,15.2914190,Q1 2020,HEALTH CARE,"","",15.75
Tricida inc,TCDA,"",9614280.0,87105000.0,1.0948,3.7196,27,0.0,0.0,,19.1578675,Q2 2018,HEALTH CARE,"","",30.09
Intuitive surgical inc,ISRG,"",338400.0,80036000.0,1.006,0.9049,28,0.0,0.0,,0.0959547,Q4 2013,HEALTH CARE,"","",328.57
Adicet bio  inc,ACET,"",6708507.0,79764000.0,1.0025,0.1462,29,6018244.7,871.877937,addition,N/A,Q1 2018,HEALTH CARE,"","",51.6146
Centene corp,CNC,"",1335700.0,77911000.0,0.9793,1.195,30,0.0,0.0,,0.2303735,Q1 2020,HEALTH CARE,"","",59.41
Agios pharmaceuticals inc,AGIO,"",2207321.0,77256000.0,0.971,1.3014,31,478900.0,27.70737,addition,3.1870154,Q1 2020,HEALTH CARE,"","",35.9945
