Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mirati therapeutics inc,MRTX,"",3387745.0,599326000.0,8.7055,6.6779,1,201847.0,6.335639,addition,6.5624476,Q4 2017,HEALTH CARE,"","",115.0493
Travere therapeutics inc,TVTX,PRN,45000000.0,454824000.0,6.6066,4.9884,2,0.0,0.0,,N/A,Q1 2020,MATERIALS,"","",
Bridgebio pharma inc,BBIO,"",7756928.0,363567000.0,5.281,6.136,3,0.0,0.0,,5.1793854,Q2 2019,HEALTH CARE,"","",31.66
Springworks therapeutics inc,SWTX,"",4849912.0,307678000.0,4.4692,5.1864,4,0.0,0.0,,9.8720090,Q3 2019,HEALTH CARE,"","",36.87
Iovance biotherapeutics inc,IOVA,"",11489772.0,283337000.0,4.1156,3.7005,5,530000.0,4.835867,addition,7.4112261,Q1 2014,HEALTH CARE,"","",16.8287
Amicus therapeutics inc,FOLD,"",26559443.0,253643000.0,3.6843,2.8923,6,3438114.0,14.869881,addition,9.9639533,Q1 2014,HEALTH CARE,"","",7.0776
Landos biopharma inc,LABP,"",14869915.0,217101000.0,3.1535,2.2287,7,0.0,0.0,,37.0658159,Q1 2021,HEALTH CARE,"","",9.63
Horizon therapeutics plc,HZNP,"",1956940.0,214363000.0,3.1137,2.412,8,-28062.0,-1.413701,reduction,0.8663114,Q4 2020,HEALTH CARE,"","",73.15
Collegium pharmaceutical inc note 2.625% 2/1,PRN-COLL,PRN,17500000.0,180250000.0,2.6182,2.4619,9,0.0,0.0,,N/A,Q2 2020, ,"","",
Vbi vaccines inc,VBIV,"",55042465.0,171182000.0,2.4865,2.3927,10,0.0,0.0,,21.5002624,Q1 2015,MATERIALS,"","",32.87
Cerevel therapeutics holdings  inc.,CERE,"",5086727.0,150058000.0,2.1797,1.5436,11,443632.0,9.554661,addition,3.5112405,Q1 2021,FINANCE,"","",15.1054
Nevro corp note 2.750% 4/0,DEBT-NEVR,PRN,9000000.0,126234000.0,1.8336,2.0279,12,0.0,0.0,,N/A,Q2 2020, ,"","",
Iveric bio inc,ISEE,"",7471798.0,121342000.0,1.7626,0.3755,13,2886286.0,62.943593,addition,7.1837720,Q4 2019,HEALTH CARE,"","",10.0354
Global blood therapeutics inc,GBT,"",4407399.0,112300000.0,1.6312,1.8871,14,254710.0,6.133616,addition,7.0617744,Q3 2015,HEALTH CARE,"","",32.4241
Invitae corp,NVTA,"",3923741.0,111551000.0,1.6203,2.1092,15,-895060.0,-18.57433,reduction,1.8053497,Q4 2020,HEALTH CARE,"","",41.81
Zymeworks inc,ZYME,"",3679845.0,106863000.0,1.5522,1.9382,16,-625755.0,-14.533514,reduction,7.9331404,Q2 2017,HEALTH CARE,"","",28.83
C4 therapeutics  inc.,CCCC,"",2258566.0,100913000.0,1.4658,1.109,17,0.0,0.0,,4.6612325,Q4 2020,HEALTH CARE,"","",33.13
Outset medical  inc.,OM,"",1990633.0,98417000.0,1.4296,1.5485,18,-396902.0,-16.623924,reduction,4.2981983,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Meiragtx holdings plc,MGTX,"",6948277.0,91578000.0,1.3302,1.3975,19,0.0,0.0,,15.6793299,Q2 2018,HEALTH CARE,"","",13.09
Rapt therapeutics  inc.,RAPT,"",2907565.0,90280000.0,1.3114,1.0213,20,431905.0,17.446055,addition,9.8600407,Q4 2020,HEALTH CARE,"","",22.1864
Aldeyra therapeutics inc,ALDX,"",9903879.0,86956000.0,1.2631,1.4561,21,0.0,0.0,,17.1157767,Q1 2015,HEALTH CARE,"","",8.7
Crinetics pharmaceuticals inc,CRNX,"",3963517.0,83432000.0,1.2119,0.9695,22,0.0,0.0,,10.2778549,Q3 2018,HEALTH CARE,"","",24.89
Atea pharmaceuticals  inc.,AVIR,"",2259224.0,79208000.0,1.1505,0.6297,23,0.0,0.0,,N/A,Q4 2020,HEALTH CARE,"","",
Prometheus biosciences inc,RXDX,"",3314032.0,78576000.0,1.1414,1.0562,24,0.0,0.0,,8.5268183,Q1 2021,HEALTH CARE,"","",18.26
Coherus biosciences inc,CHRS,"",4779387.0,76805000.0,1.1156,0.843,25,81775.0,1.740778,addition,6.2491861,Q2 2020,HEALTH CARE,"","",18.0161
Albireo pharma inc,ALBO,"",2360139.0,73636000.0,1.0696,1.0774,26,0.0,0.0,,12.2567541,Q2 2017,HEALTH CARE,"","",25.26
Rocket pharmaceuticals inc,RCKT,"",2310261.0,69054000.0,1.003,1.5814,27,-441342.0,-16.03945,reduction,3.5857049,Q4 2018,HEALTH CARE,"","",29.9
Procept biorobotics corp,PRCT,"",1656990.0,63214000.0,0.9182,,28,1656990.0,,new,N/A,Q3 2021, ,"","",38.15
Relay therapeutics  inc.,RLAY,"",1943097.0,61266000.0,0.8899,0.9582,29,-75000.0,-3.716372,reduction,2.0962241,Q3 2020,HEALTH CARE,"","",42.59
Icosavax inc,ICVX,"",1922549.0,56888000.0,0.8263,,30,1922549.0,,new,4.8811287,Q3 2021,HEALTH CARE,"","",29.59
Nautilus biotechnology inc,NAUT,"",8911151.0,54714000.0,0.7947,1.1679,31,0.0,0.0,,N/A,Q2 2021,HEALTH CARE,"","",
Kronos bio  inc.,KRON,"",2421142.0,50747000.0,0.7371,0.7857,32,-106910.0,-4.228948,reduction,4.3039320,Q4 2020,HEALTH CARE,"","",29.87
Morphic holding inc,MORF,"",887340.0,50259000.0,0.73,0.6986,33,-50800.0,-5.41497,reduction,2.4343312,Q2 2019,HEALTH CARE,"","",40.72
Coherus biosciences inc note 1.500% 4/1,DEBT-COHE,PRN,4500000.0,49365000.0,0.7171,0.5976,34,0.0,0.0,,N/A,Q2 2021, ,"","",
Travere therapeutics inc,TVTX,"",1965555.0,47665000.0,0.6924,0.3494,35,120000.0,6.502109,addition,3.2372306,Q4 2013,MATERIALS,"","",18.513
Beam therapeutics inc.,BEAM,"",537635.0,46780000.0,0.6795,0.898,36,0.0,0.0,,0.8102931,Q1 2021,HEALTH CARE,"","",80.04
Neurocrine biosciences inc.,NBIX,"",483007.0,46325000.0,0.6729,1.0252,37,-328825.0,-40.50407,reduction,0.5108699,Q2 2010,HEALTH CARE,"","",50.25
Verrica pharmaceuticals inc,VRCA,"",3610412.0,45130000.0,0.6555,0.5294,38,0.0,0.0,,13.1217472,Q2 2018,HEALTH CARE,"","",19.48
Macrogenics inc,MGNX,"",2148060.0,44980000.0,0.6534,0.7487,39,0.0,0.0,,3.5152272,Q2 2020,HEALTH CARE,"","",29.54
Kodiak sciences inc,KOD,"",461248.0,44271000.0,0.6431,0.3452,40,175207.0,61.252408,addition,0.8960697,Q4 2018,HEALTH CARE,"","",46.6598
Athenex inc,ATNX,"",13532467.0,40733000.0,0.5917,0.8113,41,0.0,0.0,,12.3801544,Q1 2018,HEALTH CARE,"","",15.82
Veru inc,VERU,"",4451342.0,37970000.0,0.5515,0.4661,42,0.0,0.0,,5.5743683,Q3 2018,CONSUMER STAPLES,"","",6.58
Rain therapeutics inc,RAIN,"",2537019.0,37954000.0,0.5513,0.5116,43,0.0,0.0,,9.5856854,Q2 2021,HEALTH CARE,"","",15.54
Quotient ltd,QTNT,"",16200818.0,37910000.0,0.5507,0.7652,44,0.0,0.0,,15.9473940,Q2 2014,HEALTH CARE,"","",7.28
Dbv technologies s.a. adr,DBVT,"",7695505.0,37708000.0,0.5477,0.5452,45,0.0,0.0,,6.9944274,Q4 2014,HEALTH CARE,"","",8.18
Inhibrx  inc.,INBX,"",1121490.0,37357000.0,0.5426,0.3239,46,214400.0,23.636023,addition,2.9591242,Q2 2021,HEALTH CARE,"","",28.6269
Establishment labs holdings inc,ESTA,"",505541.0,36186000.0,0.5256,0.7938,47,-194867.0,-27.821927,reduction,2.1295483,Q3 2018,HEALTH CARE,"","",34.92
Singular genomics systems inc,OMIC,"",3073824.0,34396000.0,0.4996,1.0993,48,-9046.0,-0.293428,reduction,4.2956885,Q2 2021,HEALTH CARE,"","",27.48
Leap therapeutics inc,LPTX,"",8476496.0,33990000.0,0.4937,0.1804,49,0.0,0.0,,14.1963359,Q1 2020,HEALTH CARE,"","",1.69
Treace medical concepts inc,TMCI,"",1235886.0,33245000.0,0.4829,0.5013,50,0.0,0.0,,2.3415050,Q2 2021,HEALTH CARE,"","",31.26
Caremax  inc,CMAX,"",3385000.0,32699000.0,0.475,0.5558,51,65000.0,1.957831,addition,4.1721897,Q4 2020,FINANCE,"","",12.8574
Immatics n.v.,4A3:FWB,"",2500000.0,32500000.0,0.4721,0.3766,52,0.0,0.0,,N/A,Q3 2020,HEALTH CARE,"","",
Athira pharma  inc.,ATHA,"",3425916.0,32135000.0,0.4668,0.4552,53,0.0,0.0,,9.1857622,Q3 2020,HEALTH CARE,"","",18.45
Solid biosciences inc,SLDB,"",13412552.0,32056000.0,0.4656,0.637,54,0.0,0.0,,12.1605072,Q1 2018,HEALTH CARE,"","",7.74
Xenon pharmaceuticals inc,XENE,"",2022051.0,30897000.0,0.4488,0.4057,55,343078.0,20.433801,addition,4.9169389,Q1 2021,HEALTH CARE,"","",17.8706
Nevro corp,NVRO,"",259972.0,30256000.0,0.4395,1.7614,56,-558788.0,-68.248082,reduction,0.7456374,Q1 2019,HEALTH CARE,"","",90.63
Panacea acquisition corp,NUVB,"",3041004.0,30228000.0,0.4391,0.3674,57,0.0,0.0,,1.3964993,Q1 2021,FINANCE,"","",10.45
Health catalyst inc,HCAT,"",589004.0,29456000.0,0.4279,0.4078,58,22920.0,4.048869,addition,1.2638818,Q3 2019,INFORMATION TECHNOLOGY,"","",40.6394
Lyra therapeutics inc,LYRA,"",3222560.0,29403000.0,0.4271,0.3358,59,0.0,0.0,,24.7868162,Q2 2020,HEALTH CARE,"","",11.34
Tarsus pharmaceuticals  inc.,TARS,"",1296416.0,27937000.0,0.4058,0.4875,60,0.0,0.0,,6.3012027,Q4 2020,HEALTH CARE,"","",41.33
Cogent biosciences inc,COGT,"",3188750.0,26817000.0,0.3895,0.3356,61,0.0,0.0,,8.0021222,Q3 2020,HEALTH CARE,"","",76.62
United therapeutics corp,UTHR,"",141700.0,26155000.0,0.3799,1.436,62,-475102.0,-77.026663,reduction,0.3154252,Q1 2021,HEALTH CARE,"","",175.97
Somalogic inc,SLGC,"",2050000.0,25400000.0,0.3689,,63,2050000.0,,new,1.1315754,Q3 2021, ,"","",12.39
Bioatla  inc.,BCAB,"",850026.0,25025000.0,0.3635,0.377,64,164507.0,23.997438,addition,2.6304134,Q2 2021,HEALTH CARE,"","",39.8757
Viridian therapeutics inc,VRDN,"",1423000.0,23408000.0,0.34,0.1886,65,628494.0,79.105004,addition,14.8427766,Q2 2021,HEALTH CARE,"","",17.4773
Avidity biosciences  inc.,RNA,"",885818.0,21818000.0,0.3169,0.346,66,-193210.0,-17.90593,reduction,2.3515213,Q2 2020,HEALTH CARE,"","",28.26
