Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Invitae corp,NVTA,"",9033943.0,391621000.0,17.5353,16.194,1,0.0,0.0,,5.1125963,Q3 2018,HEALTH CARE,"","",26.18
Biolife solutions inc,BLFS,"",5840107.0,169013000.0,7.5677,4.6924,2,990583.0,20.426396,addition,17.8400620,Q2 2018,HEALTH CARE,"","",17.9208
Relay therapeutics  inc.,RLAY,"",3808894.0,162221000.0,7.2636,,3,3808894.0,,new,4.2328205,Q3 2020,HEALTH CARE,"","",42.59
Blueprint medicines corp,BPMC,"",1550000.0,143685000.0,6.4337,7.1549,4,0.0,0.0,,2.7812267,Q4 2015,HEALTH CARE,"","",61.58
Fate therapeutics inc,FATE,"",3050000.0,121909000.0,5.4586,6.193,5,0.0,0.0,,3.4959411,Q2 2017,HEALTH CARE,"","",10.22
Myokardia inc,MYOK1,"",870000.0,118607000.0,5.3108,4.9747,6,0.0,0.0,,1.6315691,Q4 2015,HEALTH CARE,"","",39.07
Alnylam pharmaceuticals inc,ALNY,"",620000.0,90272000.0,4.042,4.8209,7,70000.0,12.727273,addition,0.5336511,Q4 2015,HEALTH CARE,"","",95.0177
Twist bioscience corp,TWST,"",1000000.0,75970000.0,3.4016,2.6809,8,0.0,0.0,,2.2389913,Q2 2019,HEALTH CARE,"","",30.11
Sarepta therapeutics inc,SRPT,"",530000.0,74428000.0,3.3326,5.0292,9,0.0,0.0,,0.6716253,Q3 2018,HEALTH CARE,"","",93.8
Agios pharmaceuticals inc,AGIO,"",1750000.0,61250000.0,2.7425,3.3865,10,680000.0,63.551402,addition,2.5267176,Q4 2015,HEALTH CARE,"","",40.8819
Revolution medicines  inc.,RVMD,"",1634535.0,56882000.0,2.547,2.4933,11,299999.0,22.479648,addition,2.4623837,Q1 2020,HEALTH CARE,"","",24.3656
Generation bio co.,GBIO,"",1611214.0,49803000.0,2.23,2.0024,12,0.0,0.0,,3.4637491,Q2 2020,HEALTH CARE,"","",21.0
Bluebird bio inc,BLUE,"",1412760.0,49364000.0,2.2103,3.9917,13,-293360.0,-17.19457,reduction,1.3785660,Q4 2015,HEALTH CARE,"","",96.63
Burning rock biotech ltd. ads,BNR,"",1922150.0,48208000.0,2.1586,2.7666,14,191364.0,11.05648,addition,1.8885427,Q2 2020,HEALTH CARE,"","",26.8179
Denali therapeutics inc,DNLI,"",1310000.0,46937000.0,2.1017,1.8746,15,0.0,0.0,,1.0924086,Q4 2018,HEALTH CARE,"","",17.98
Codexis inc,CDXS,"",3985000.0,46784000.0,2.0948,3.166,16,-707732.0,-15.081449,reduction,6.7221300,Q1 2017,MATERIALS,"","",13.76
Caredx inc,CDNA,"",1193335.0,45275000.0,2.0272,2.5021,17,0.0,0.0,,2.4226603,Q2 2018,HEALTH CARE,"","",20.79
Pacific biosciences of california  inc.,PACB,"",4500000.0,44415000.0,1.9887,,18,4500000.0,,new,2.4970507,Q3 2020,HEALTH CARE,"","",9.87
Beigene ltd adr,BGNE,"",150000.0,42966000.0,1.9238,1.6724,19,0.0,0.0,,0.1652030,Q2 2020,HEALTH CARE,"","",188.4
Allogene therapeutics inc,ALLO,"",945000.0,35636000.0,1.5956,1.5838,20,320000.0,51.2,addition,0.6736520,Q1 2020,HEALTH CARE,"","",28.7219
Adaptive biotechnologies corp,ADPT,"",713125.0,34679000.0,1.5528,2.0418,21,0.0,0.0,,0.5213953,Q2 2019,HEALTH CARE,"","",39.76
Avalanche biotechnologies inc,ADVM,"",2750000.0,28325000.0,1.2683,2.3045,22,885000.0,47.453083,addition,2.8211609,Q1 2020,HEALTH CARE,"","",12.9313
Magenta therapeutics inc,MGTA,"",3346034.0,22753000.0,1.0188,1.4871,23,0.0,0.0,,6.9268923,Q2 2018,HEALTH CARE,"","",11.97
Crispr therapeutics ag,CRSP,"",266430.0,22284000.0,0.9978,1.1588,24,0.0,0.0,,0.3770996,Q1 2020,HEALTH CARE,"","",42.41
Global blood therapeutics inc,GBT,"",395000.0,21780000.0,0.9752,1.1208,25,95000.0,31.666667,addition,0.6391954,Q4 2015,HEALTH CARE,"","",37.9071
Amyris inc.,AMRS,"",7390000.0,21579000.0,0.9662,1.3518,26,2040624.0,38.146954,addition,3.0893175,Q2 2020,MATERIALS,"","",3.8972
Constellation pharmaceuticals inc,CNST,"",980000.0,19855000.0,0.889,1.7428,27,0.0,0.0,,2.0598829,Q3 2018,HEALTH CARE,"","",6.31
Taysha gene therapies  inc.,TSHA,"",820440.0,18378000.0,0.8229,,28,820440.0,,new,2.1726929,Q3 2020,HEALTH CARE,"","",22.4
Alector inc,ALEC,"",1650000.0,17383000.0,0.7783,1.5563,29,573961.0,53.340167,addition,2.0822105,Q1 2019,HEALTH CARE,"","",14.9924
Dermtech inc,DMTK,"",1428572.0,17071000.0,0.7644,1.1185,30,0.0,0.0,,7.2903786,Q1 2020,FINANCE,"","",
Zai lab ltd,ZLAB,"",190000.0,15802000.0,0.7076,0.9235,31,0.0,0.0,,0.2520713,Q1 2020,HEALTH CARE,"","",51.48
Berkeley lights  inc.,BLI,"",200000.0,15272000.0,0.6838,,32,200000.0,,new,0.3107107,Q3 2020,HEALTH CARE,"","",76.36
Bristol myers squibb rights,BMYR,"",6250000.0,14063000.0,0.6297,0.625,33,3300000.0,111.864407,addition,N/A,Q4 2019, ,"","",
Fulcrum therapeutics inc,FULC,"",1441176.0,11429000.0,0.5117,1.5599,34,0.0,0.0,,5.2477837,Q3 2019,HEALTH CARE,"","",11.19
Sangamo therapeutics inc,SGMO,"",1080000.0,10206000.0,0.457,0.7715,35,-375000.0,-25.773196,reduction,0.7635672,Q1 2017,HEALTH CARE,"","",10.02
Iovance biotherapeutics inc,IOVA,"",290000.0,9547000.0,0.4275,,36,290000.0,,new,0.1976994,Q3 2020,HEALTH CARE,"","",32.92
Illumina inc,ILMN,"",30000.0,9272000.0,0.4152,0.6576,37,0.0,0.0,,0.0205479,Q4 2016,HEALTH CARE,"","",202.2
Black diamond therapeutics  inc.,BDTX,"",289395.0,8748000.0,0.3917,0.7221,38,0.0,0.0,,0.8039719,Q1 2020,HEALTH CARE,"","",24.95
Orchard therapeutics plc,ORTX,"",1870000.0,7686000.0,0.3441,0.5859,39,220000.0,13.333333,addition,1.9130544,Q2 2019,HEALTH CARE,"","",9.1041
Dyne therapeutics  inc.,DYN,"",370000.0,7470000.0,0.3345,,40,370000.0,,new,N/A,Q3 2020,HEALTH CARE,"","",20.19
Turning point therapeutics inc,TPTX,"",75000.0,6552000.0,0.2934,0.2867,41,0.0,0.0,,0.1556907,Q2 2019,HEALTH CARE,"","",40.08
Oric pharmaceuticals  inc.,ORIC,"",251515.0,6290000.0,0.2816,0.5021,42,0.0,0.0,,0.8156060,Q2 2020,HEALTH CARE,"","",33.73
Legend biotech corp ads,LEGN,"",139661.0,4311000.0,0.193,0.3401,43,4661.0,3.452593,addition,0.1080612,Q2 2020,HEALTH CARE,"","",42.1699
Stoke therapeutics inc,STOK,"",120000.0,4019000.0,0.18,0.1693,44,0.0,0.0,,0.3585272,Q2 2019,HEALTH CARE,"","",26.51
Deciphera pharmaceuticals inc,DCPH,"",65000.0,3335000.0,0.1493,0.2297,45,0.0,0.0,,0.1141684,Q3 2019,HEALTH CARE,"","",51.14
Voyager therapeutics inc,VYGR,"",0.0,0.0,,0.5601,"",-750000.0,-100.0,soldall,0.0000000,Q4 2015,HEALTH CARE,"","",14.86
Zymeworks inc,ZYME,"",0.0,0.0,,0.2775,"",-130000.0,-100.0,soldall,0.0000000,Q2 2020,HEALTH CARE,"","",36.07
