Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Biolife solutions inc,BLFS,"",7566292.0,281996000.0,7.948,7.9702,1,0.0,0.0,,18.5904917,Q2 2018,HEALTH CARE,"","",22.97
Eqrx inc,EQRX,"",39527669.0,269579000.0,7.598,,2,39527669.0,,new,8.1060347,Q4 2021,FINANCE,"","",6.82
Fate therapeutics inc,FATE,"",3400000.0,198934000.0,5.6069,5.016,3,0.0,0.0,,3.5604318,Q2 2017,HEALTH CARE,"","",17.66
Invitae corp,NVTA,"",12203669.0,186350000.0,5.2522,8.636,4,0.0,0.0,,5.3910074,Q3 2018,HEALTH CARE,"","",30.33
Alnylam pharmaceuticals inc,ALNY,"",1000000.0,169580000.0,4.7796,4.6997,5,0.0,0.0,,0.8361122,Q4 2015,HEALTH CARE,"","",114.17
Blueprint medicines corp,BPMC,"",1550000.0,166021000.0,4.6793,3.9665,6,0.0,0.0,,2.6343504,Q4 2015,HEALTH CARE,"","",61.58
Pacific biosciences of california  inc.,PACB,"",7990652.0,163489000.0,4.6079,5.0818,7,0.0,0.0,,3.6222626,Q3 2020,HEALTH CARE,"","",16.75
Exact sciences corp,EXAS,"",2040000.0,158773000.0,4.475,5.6075,8,-320186.0,-13.566134,reduction,1.1838521,Q4 2020,HEALTH CARE,"","",132.23
Somalogic inc,SLGC,"",12389082.0,144209000.0,4.0645,3.8208,9,0.0,0.0,,6.8382698,Q3 2021,FINANCE,"","",12.39
Maxcyte inc,MXCT,"",13971334.0,142368000.0,4.0126,4.2462,10,0.0,0.0,,13.8504603,Q3 2021,HEALTH CARE,"","",12.21
Codexis inc,CDXS,"",4330000.0,135399000.0,3.8162,2.5069,11,0.0,0.0,,6.6743452,Q1 2017,MATERIALS,"","",14.4
Sarepta therapeutics inc,SRPT,"",1350000.0,121568000.0,3.4264,2.5321,12,250000.0,22.727273,addition,1.5503534,Q3 2018,HEALTH CARE,"","",88.6241
Relay therapeutics  inc.,RLAY,"",3857253.0,118456000.0,3.3387,2.8791,13,188679.0,5.143116,addition,3.5700714,Q3 2020,HEALTH CARE,"","",41.1719
Verve therapeutics inc,VERV,"",3138167.0,115704000.0,3.2611,3.5543,14,100000.0,3.291458,addition,6.5146382,Q2 2021,HEALTH CARE,"","",5.7251
Guardant health inc,GH,"",790000.0,79016000.0,2.2271,,15,790000.0,,new,0.7771281,Q4 2021,HEALTH CARE,"","",100.02
Agios pharmaceuticals inc,AGIO,"",2090000.0,68698000.0,1.9362,2.487,16,-75000.0,-3.464203,reduction,3.8483865,Q4 2015,HEALTH CARE,"","",41.52
Tenaya therapeutics inc,TNYA,"",3586818.0,67970000.0,1.9157,1.8436,17,0.0,0.0,,8.6887424,Q3 2021,HEALTH CARE,"","",20.65
Denali therapeutics inc,DNLI,"",1500000.0,66900000.0,1.8856,2.1348,18,-200000.0,-11.764706,reduction,1.2282439,Q4 2018,HEALTH CARE,"","",26.6
Beam therapeutics inc.,BEAM,"",818820.0,65252000.0,1.8391,1.7734,19,0.0,0.0,,1.2017471,Q4 2020,HEALTH CARE,"","",80.94
Absci corp,ABSI,"",7718593.0,63292000.0,1.7839,2.2344,20,0.0,0.0,,8.3361813,Q3 2021,HEALTH CARE,"","",11.63
Tango therapeutics inc,TNGX,"",5487910.0,60038000.0,1.6922,1.7662,21,0.0,0.0,,6.2685709,Q3 2021,HEALTH CARE,"","",12.93
Revolution medicines  inc.,RVMD,"",2370000.0,59653000.0,1.6813,1.9173,22,-430000.0,-15.357143,reduction,3.2163018,Q1 2020,HEALTH CARE,"","",27.75
Caredx inc,CDNA,"",1153335.0,52454000.0,1.4784,1.8823,23,-40000.0,-3.351951,reduction,2.1842556,Q2 2018,HEALTH CARE,"","",20.79
Twist bioscience corp,TWST,"",670000.0,51851000.0,1.4614,2.6626,24,-330000.0,-33.0,reduction,1.3499224,Q2 2019,HEALTH CARE,"","",30.11
Century therapeutics inc,IPSC,"",3206380.0,50853000.0,1.4333,2.008,25,0.0,0.0,,5.8680436,Q2 2021,HEALTH CARE,"","",
Beigene ltd adr,BGNE,"",150000.0,40640000.0,1.1454,1.3553,26,0.0,0.0,,0.1465512,Q2 2020,HEALTH CARE,"","",188.4
Allogene therapeutics inc,ALLO,"",2650000.0,39538000.0,1.1144,1.3434,27,550000.0,26.190476,addition,1.8594412,Q1 2020,HEALTH CARE,"","",25.6894
Global blood therapeutics inc,GBT,"",1325000.0,38783000.0,1.0931,1.2209,28,-600000.0,-31.168831,reduction,2.0560082,Q4 2015,HEALTH CARE,"","",34.63
Ginkgo bioworks holdings  inc,DNA,"",4328891.0,35973000.0,1.0139,2.0779,29,-2873917.0,-39.899953,reduction,0.3302523,Q3 2021,HEALTH CARE,"","",11.59
Alector inc,ALEC,"",1650000.0,34073000.0,0.9603,0.9372,30,0.0,0.0,,2.0301172,Q1 2019,HEALTH CARE,"","",14.99
Adaptive biotechnologies corp,ADPT,"",1000000.0,28060000.0,0.7909,1.2183,31,-440000.0,-30.555556,reduction,0.7085573,Q2 2019,HEALTH CARE,"","",40.13
Dermtech inc,DMTK,"",1745000.0,27571000.0,0.7771,1.3947,32,0.0,0.0,,5.8720206,Q1 2020,FINANCE,"","",
Science 37 holdings inc,SNCE,"",1800000.0,22446000.0,0.6326,,33,1800000.0,,new,1.5692134,Q4 2021,FINANCE,"","",12.47
Sema4 holdings corp,SMFR,"",5000000.0,22300000.0,0.6285,0.9446,34,0.0,0.0,,2.0724413,Q3 2021,INFORMATION TECHNOLOGY,"","",7.59
Crispr therapeutics ag,CRSP,"",266430.0,20190000.0,0.5691,0.7423,35,0.0,0.0,,0.3481518,Q1 2020,HEALTH CARE,"","",42.41
Monte rosa therapeutics inc,GLUE,"",960882.0,19621000.0,0.553,0.5329,36,-1.0,-0.000104,reduction,2.0661501,Q2 2021,HEALTH CARE,"","",22.7
Seer  inc.,SEER,"",800000.0,18248000.0,0.5143,0.1289,37,650000.0,433.333333,addition,1.4029565,Q4 2020,HEALTH CARE,"","",29.0594
Magenta therapeutics inc,MGTA,"",3901589.0,17284000.0,0.4871,0.707,38,0.0,0.0,,6.6379213,Q2 2018,HEALTH CARE,"","",11.3
Singular genomics systems inc,OMIC,"",1442870.0,16680000.0,0.4701,0.75,39,-1250000.0,-46.418877,reduction,2.0023586,Q2 2021,HEALTH CARE,"","",27.48
Exscientia ltd,EXAI,"",713900.0,14107000.0,0.3976,,40,713900.0,,new,No Data,Q4 2021,HEALTH CARE,"","",19.76
23andme holding co,ME,"",1841457.0,12264000.0,0.3457,0.4153,41,0.0,0.0,,1.9657447,Q2 2021,HEALTH CARE,"","",2.46
4d molecular therapeutics  inc.,FDMT,"",555455.0,12187000.0,0.3435,0.7488,42,-560000.0,-50.203729,reduction,1.7282996,Q4 2020,HEALTH CARE,"","",39.95
908 devices inc.,MASS,"",406502.0,10516000.0,0.2964,0.329,43,0.0,0.0,,1.4570000,Q4 2020,HEALTH CARE,"","",56.95
Zai lab ltd,ZLAB,"",150000.0,9428000.0,0.2657,0.4984,44,-40000.0,-21.052632,reduction,0.1555875,Q1 2020,HEALTH CARE,"","",51.48
Recursion pharmaceuticals inc,RXRX,"",548156.0,9390000.0,0.2647,0.314,45,0.0,0.0,,0.3436172,Q2 2021,HEALTH CARE,"","",36.5
Generation bio co.,GBIO,"",1324275.0,9376000.0,0.2643,0.8264,46,0.0,0.0,,2.3269733,Q2 2020,HEALTH CARE,"","",21.0
Oric pharmaceuticals  inc.,ORIC,"",601515.0,8842000.0,0.2492,0.3131,47,0.0,0.0,,1.5273908,Q2 2020,HEALTH CARE,"","",33.8
Kronos bio  inc.,KRON,"",583436.0,7929000.0,0.2235,0.3044,48,0.0,0.0,,1.0354288,Q4 2020,HEALTH CARE,"","",29.87
Decibel therapeutics inc,DBTX,"",1170048.0,5441000.0,0.1534,0.2245,49,0.0,0.0,,4.6945832,Q1 2021,HEALTH CARE,"","",11.3
Berkeley lights  inc.,BLI,"",200000.0,3636000.0,0.1025,0.0974,50,0.0,0.0,,0.2964074,Q3 2020,HEALTH CARE,"","",76.36
