Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Liberty broadband corp class c,LBRDK,"",8044273.0,1011567000.0,8.0478,7.2162,1,0.0,0.0,,4.4311298,Q2 2016,COMMUNICATIONS,"","",60.02
Alibaba group holding ltd adr,BABA,"",4001391.0,848695000.0,6.752,5.6025,2,92386.0,2.363415,addition,0.1572627,Q3 2016,COMMUNICATIONS,"","",135.6957
Servicenow inc,NOW,"",2736759.0,772642000.0,6.1469,5.9135,3,18654.0,0.686287,addition,1.4596048,Q2 2018,INFORMATION TECHNOLOGY,"","",194.5027
Meta platforms  inc.,FB,"",3513820.0,721212000.0,5.7378,5.3596,4,2156.0,0.061395,addition,0.1231644,Q3 2013,COMMUNICATIONS,"","",109.5488
Microsoft corp.,MSFT,"",4148847.0,654273000.0,5.2052,4.7732,5,143000.0,3.569782,addition,0.0543369,Q4 2017,INFORMATION TECHNOLOGY,"","",101.9501
Mastercard inc,MA,"",2103363.0,628043000.0,4.9965,4.9,6,-1924.0,-0.091389,reduction,0.2073178,Q4 2018,FINANCE,"","",221.45
Twitter inc,TWTR,"",19471142.0,624050000.0,4.9648,1.1454,7,16227363.0,500.261054,addition,2.5188407,Q3 2019,COMMUNICATIONS,"","",33.5743
Netflix inc,NFLX,"",1777411.0,575117000.0,4.5755,4.404,8,-142692.0,-7.431476,reduction,0.4059499,Q4 2012,COMMUNICATIONS,"","",121.49
Amazon.com inc.,AMZN,"",263980.0,487793000.0,3.8807,3.9686,9,-2775.0,-1.04028,reduction,0.0533659,Q4 2009,CONSUMER DISCRETIONARY,"","",1022.35
Anaplan inc,PLAN,"",9107414.0,477228000.0,3.7967,5.1614,10,-3706077.0,-28.923242,reduction,6.9084533,Q4 2018,INFORMATION TECHNOLOGY,"","",33.36
Adobe systems  inc.,ADBE,"",1391364.0,458886000.0,3.6508,3.2948,11,-278.0,-0.019976,reduction,0.2874244,Q3 2017,INFORMATION TECHNOLOGY,"","",247.11
Global payments inc.,GPN,"",2484373.0,453548000.0,3.6083,5.5628,12,-1597856.0,-39.141753,reduction,1.5856351,Q2 2019,INFORMATION TECHNOLOGY,"","",159.51
Nvidia corp.,NVDA,"",6762188.0,397785000.0,3.1647,0.3109,13,5928684.0,711.296406,addition,0.2775939,Q3 2016,INFORMATION TECHNOLOGY,"","",221.4641
Ringcentral inc,RNG,"",2134386.0,360007000.0,2.8641,0.4763,14,1692128.0,382.611055,addition,2.5724792,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",159.7581
Paypal holdings inc,PYPL,"",3069780.0,332058000.0,2.6418,2.7521,15,-30040.0,-0.969089,reduction,0.2608849,Q1 2016,COMMUNICATIONS,"","",54.52
Activision blizzard inc,ATVI,"",5397226.0,320703000.0,2.5514,2.7481,16,-661887.0,-10.923827,reduction,0.7036525,Q4 2014,INFORMATION TECHNOLOGY,"","",38.17
Insulet corp,PODD,"",1604385.0,274671000.0,2.1852,0.9999,17,896977.0,126.79769,addition,2.6619960,Q3 2019,HEALTH CARE,"","",168.4354
Dynatrace inc,DT,"",10035334.0,253894000.0,2.0199,0.0902,18,9471331.0,1679.305075,addition,3.5781694,Q3 2019,INFORMATION TECHNOLOGY,"","",24.9274
Smartsheet inc,SMAR,"",5428500.0,243848000.0,1.94,0.2245,19,4701409.0,646.605308,addition,4.6568585,Q2 2019,INFORMATION TECHNOLOGY,"","",45.3861
Sea ltd adr,SE,"",5858917.0,235646000.0,1.8747,1.2315,20,1216102.0,26.193204,addition,1.7914986,Q2 2019,INFORMATION TECHNOLOGY,"","",32.9851
Workday inc,WDAY,"",1362731.0,224101000.0,1.7829,0.5977,21,952431.0,232.130392,addition,0.5976890,Q4 2018,COMMUNICATIONS,"","",165.2328
Snap inc class a,SNAP,"",13670993.0,223247000.0,1.7761,1.4236,22,3157743.0,30.03584,addition,0.9911760,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",15.9224
Broadcom ltd. (avago technologies),AVGO,"",688386.0,217544000.0,1.7307,1.7599,23,-55413.0,-7.449997,reduction,0.1735412,Q1 2014,INFORMATION TECHNOLOGY,"","",159.99
Shopify inc,SHOP,"",516248.0,205250000.0,1.6329,1.4576,24,-29470.0,-5.400225,reduction,0.4587648,Q2 2017,COMMUNICATIONS,"","",97.12
Square inc,SQ,"",2874873.0,179852000.0,1.4309,3.1835,25,-3121171.0,-52.053837,reduction,0.6730675,Q2 2019,FINANCE,"","",69.72
Intuitive surgical inc,ISRG,"",848394.0,167176000.0,1.33,2.4676,26,-751368.0,-46.967486,reduction,0.2453779,Q2 2019,HEALTH CARE,"","",524.55
Guardant health inc,GH,"",1951880.0,152520000.0,1.2134,0.4338,27,1158897.0,146.14399,addition,2.0994729,Q2 2019,HEALTH CARE,"","",81.4673
Electronic arts  inc.,EA,"",1323687.0,142310000.0,1.1322,1.1097,28,0.0,0.0,,0.4491490,Q4 2014,INFORMATION TECHNOLOGY,"","",78.67
Okta inc,OKTA,"",749398.0,86458000.0,0.6878,0.7361,29,-122928.0,-14.091979,reduction,0.6418827,Q1 2019,INFORMATION TECHNOLOGY,"","",111.31
Uber technologies inc,UBER,"",2597324.0,77245000.0,0.6145,2.7313,30,-7861786.0,-75.166874,reduction,0.1527838,Q2 2019,CONSUMER DISCRETIONARY,"","",46.38
Xerox corp. (haloid co.),XRX,"",1971876.0,72703000.0,0.5784,,31,1971876.0,,new,0.8778329,Q4 2019,INFORMATION TECHNOLOGY,"","",36.87
Stoneco ltd,STNE,"",1748773.0,69758000.0,0.555,0.5382,32,-56772.0,-3.144314,reduction,0.6311665,Q2 2019,FINANCE,"","",31.41
Illumina inc,ILMN,"",167810.0,55669000.0,0.4429,0.4419,33,-1686.0,-0.994714,reduction,0.1141565,Q3 2019,HEALTH CARE,"","",304.22
Salesforce.com inc.,CRM,"",228582.0,37177000.0,0.2958,0.2908,34,0.0,0.0,,0.0260641,Q3 2018,INFORMATION TECHNOLOGY,"","",149.08
Visa inc,V,"",191172.0,35921000.0,0.2858,3.3288,35,-2066891.0,-91.533806,reduction,0.0096361,Q3 2018,FINANCE,"","",148.69
Pinduoduo inc,PDD,"",753336.0,28491000.0,0.2267,0.0738,36,486018.0,181.812673,addition,0.0676293,Q3 2019,CONSUMER DISCRETIONARY,"","",35.8329
Stitch fix inc,SFIX,"",1094689.0,28090000.0,0.2235,,37,1094689.0,,new,1.0770258,Q4 2019,CONSUMER DISCRETIONARY,"","",25.66
Iqvia holdings inc,IQV,"",172444.0,26644000.0,0.212,0.4198,38,-155428.0,-47.405085,reduction,0.0880265,Q3 2019,HEALTH CARE,"","",149.38
Beyond meat inc,BYND,"",343352.0,25957000.0,0.2065,,39,343352.0,,new,0.5705417,Q4 2019,CONSUMER STAPLES,"","",75.6
Intuit  inc.,INTU,"",87466.0,22910000.0,0.1823,1.0954,40,-393152.0,-81.801347,reduction,0.0336317,Q4 2018,INFORMATION TECHNOLOGY,"","",251.0
Luckin coffee inc,LKNCY,"",514823.0,20264000.0,0.1612,0.0838,41,0.0,0.0,,0.2187199,Q2 2019,CONSUMER STAPLES,"","",19.49
Datadog inc,DDOG,"",501901.0,18962000.0,0.1509,0.1457,42,401.0,0.07996,addition,0.1731708,Q3 2019,INFORMATION TECHNOLOGY,"","",33.9131
Peloton interactive inc,PTON,"",399543.0,11347000.0,0.0903,,43,399543.0,,new,0.1430055,Q4 2019,CONSUMER DISCRETIONARY,"","",28.4
Wayfair inc class a,W,"",121316.0,10963000.0,0.0872,0.0601,44,58800.0,94.055922,addition,0.1666158,Q2 2019,CONSUMER DISCRETIONARY,"","",105.2832
Charles schwab corp,SCHW,"",191799.0,9122000.0,0.0726,,45,191799.0,,new,0.0146727,Q4 2019,FINANCE,"","",47.56
Mccormick & co. non-voting shares,MKC,"",68142.0,5783000.0,0.046,0.026,46,29280.0,75.343523,addition,0.0256346,Q2 2019,CONSUMER STAPLES,"","",161.9282
Constellation brands  inc.,STZ,"",26309.0,4992000.0,0.0397,0.0171,47,16704.0,173.909422,addition,0.0137283,Q2 2019,CONSUMER STAPLES,"","",193.3935
Brown-forman corp. class b,BF.B,"",73559.0,4973000.0,0.0396,0.0037,48,66760.0,981.909104,addition,0.0154124,Q1 2019,CONSUMER STAPLES,"","",66.3947
Freshpet inc,FRPT,"",83246.0,4919000.0,0.0391,0.0107,49,58281.0,233.450831,addition,0.2307262,Q1 2019,CONSUMER DISCRETIONARY,"","",55.4133
Kraft heinz co. (the),KHC,"",152413.0,4897000.0,0.039,,50,152413.0,,new,0.0124930,Q4 2019,CONSUMER STAPLES,"","",32.13
Campbell soup co.,CPB,"",95269.0,4708000.0,0.0375,,51,95269.0,,new,0.0316309,Q2 2019,CONSUMER STAPLES,"","",49.42
Monster beverage corp.,MNST,"",73486.0,4670000.0,0.0372,0.0077,52,58042.0,375.822326,addition,0.0134866,Q2 2019,CONSUMER STAPLES,"","",62.8439
