Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Netflix inc,NFLX,"",1778663.0,667888000.0,8.461,4.5755,1,1252.0,0.07044,addition,0.4044217,Q4 2012,COMMUNICATIONS,"","",121.6688
Liberty broadband corp class c,LBRDK,"",4830223.0,534802000.0,6.7751,8.0478,2,-3214050.0,-39.954512,reduction,2.6553841,Q2 2016,COMMUNICATIONS,"","",60.02
Amazon.com inc.,AMZN,"",269981.0,526387000.0,6.6685,3.8807,3,6001.0,2.273278,addition,0.0541560,Q4 2009,CONSUMER DISCRETIONARY,"","",1042.9631
Alibaba group holding ltd adr,BABA,"",2518340.0,489767000.0,6.2045,6.752,4,-1483051.0,-37.063386,reduction,0.0938725,Q3 2016,COMMUNICATIONS,"","",135.7
Meta platforms  inc.,FB,"",2477234.0,413203000.0,5.2346,5.7378,5,-1036586.0,-29.500259,reduction,0.0868966,Q3 2013,COMMUNICATIONS,"","",109.55
Microsoft corp.,MSFT,"",2583518.0,407446000.0,5.1617,5.2052,6,-1565329.0,-37.729253,reduction,0.0339666,Q4 2017,INFORMATION TECHNOLOGY,"","",101.95
Jd.com inc adr,JD,"",9752558.0,394978000.0,5.0037,,7,9752558.0,,new,0.6640608,Q3 2019,CONSUMER DISCRETIONARY,"","",40.5
Paypal holdings inc,PYPL,"",3830062.0,366690000.0,4.6454,2.6418,8,760282.0,24.766661,addition,0.3265488,Q1 2016,COMMUNICATIONS,"","",62.7023
Anaplan inc,PLAN,"",11111659.0,336239000.0,4.2596,3.7967,9,2004245.0,22.006741,addition,8.1126707,Q4 2018,INFORMATION TECHNOLOGY,"","",32.8008
Tesla inc,TSLA,"",2673850.0,280220000.0,3.5499,,10,2673850.0,,new,0.2900226,Q1 2020,CONSUMER DISCRETIONARY,"","",104.8
Dynatrace inc,DT,"",11480076.0,273685000.0,3.4671,2.0199,11,1444742.0,14.396551,addition,4.0883115,Q3 2019,INFORMATION TECHNOLOGY,"","",24.7928
Global payments inc.,GPN,"",1875175.0,270457000.0,3.4262,3.6083,12,-609198.0,-24.521197,reduction,0.6247907,Q2 2019,INFORMATION TECHNOLOGY,"","",159.51
Insulet corp,PODD,"",1436634.0,238021000.0,3.0153,2.1852,13,-167751.0,-10.455782,reduction,2.2782785,Q3 2019,HEALTH CARE,"","",168.44
Nvidia corp.,NVDA,"",3589016.0,236516000.0,2.9963,3.1647,14,-3173172.0,-46.925226,reduction,0.1466101,Q3 2016,INFORMATION TECHNOLOGY,"","",221.46
