Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Paypal holdings inc,PYPL,"",12333741.0,2888562000.0,9.5745,9.5128,1,-25570.0,-0.206889,reduction,1.0526438,Q3 2015,COMMUNICATIONS,"","",40.85
Microsoft corp.,MSFT,"",12072338.0,2685129000.0,8.9002,9.8017,2,142879.0,1.197699,addition,0.1596765,Q1 2015,INFORMATION TECHNOLOGY,"","",53.3252
Idexx laboratories inc.,IDXX,"",4226428.0,2112665000.0,7.0027,6.5002,3,-6387.0,-0.150892,reduction,4.9547870,Q1 2015,HEALTH CARE,"","",83.47
Estee lauder companies inc.,EL,"",6786727.0,1806559000.0,5.9881,5.7978,4,-13606.0,-0.200078,reduction,2.9958420,Q2 2016,CONSUMER STAPLES,"","",117.19
Meta platforms  inc.,FB,"",6418874.0,1753380000.0,5.8118,6.576,5,-8689.0,-0.135183,reduction,0.2670115,Q1 2018,COMMUNICATIONS,"","",163.03
Intuit  inc.,INTU,"",4587585.0,1742594000.0,5.7761,5.8549,6,-6956.0,-0.151397,reduction,1.6740211,Q2 2017,INFORMATION TECHNOLOGY,"","",167.88
Stryker corp.,SYK,"",6634893.0,1625814000.0,5.389,5.1095,7,357755.0,5.699333,addition,1.7655822,Q4 2012,HEALTH CARE,"","",114.8783
Philip morris international inc,PM,"",19467941.0,1611751000.0,5.3424,5.7134,8,-35374.0,-0.181374,reduction,1.2500958,Q4 2012,CONSUMER STAPLES,"","",85.7
Mccormick & co. non-voting shares,MKC,"",16133793.0,1542391000.0,5.1125,5.7187,9,1049603.0,6.958299,addition,6.4873567,Q4 2018,CONSUMER STAPLES,"","",85.9187
Pepsico inc. (loft  inc.),PEP,"",9648806.0,1430918000.0,4.743,4.8248,10,737625.0,8.277522,addition,0.6981990,Q4 2012,CONSUMER STAPLES,"","",107.9407
Visa inc,V,"",6122231.0,1339116000.0,4.4387,4.7923,11,-12495.0,-0.203677,reduction,0.3610494,Q4 2012,FINANCE,"","",82.57
Automatic data processing inc,ADP,"",7087617.0,1248838000.0,4.1394,3.7707,12,167702.0,2.423469,addition,1.6528418,Q4 2012,INFORMATION TECHNOLOGY,"","",98.376
Starbucks corp.,SBUX,"",10441081.0,1116987000.0,3.7024,3.4847,13,58866.0,0.566989,addition,0.8895869,Q1 2020,CONSUMER DISCRETIONARY,"","",74.1959
Nike inc.,NKE,"",7733544.0,1094064000.0,3.6264,3.8019,14,-18854.0,-0.243202,reduction,0.6082323,Q1 2020,CONSUMER DISCRETIONARY,"","",95.27
Waters corporation,WAT,"",4409835.0,1091081000.0,3.6165,3.2809,15,117807.0,2.744786,addition,7.1071731,Q1 2015,HEALTH CARE,"","",162.2089
Becton  dickinson and co.,BDX,"",4345415.0,1087310000.0,3.604,3.9457,16,4443.0,0.10235,addition,1.4940316,Q4 2012,HEALTH CARE,"","",170.8113
Johnson & johnson co.,JNJ,"",6392509.0,1006053000.0,3.3347,3.7289,17,-19101.0,-0.297913,reduction,0.2428264,Q4 2012,HEALTH CARE,"","",115.11
Brown-forman corp. class b,BF.B,"",10255848.0,814622000.0,2.7002,3.017,18,2103.0,0.02051,addition,3.3138015,Q3 2019,CONSUMER STAPLES,"","",63.2833
Church & dwight co.  inc.,CHD,"",5631204.0,491210000.0,1.6282,,19,5631204.0,,new,2.2665307,Q4 2020,CONSUMER STAPLES,"","",87.23
Sabre corp,SABR,"",13615381.0,163657000.0,0.5425,0.2583,20,3458939.0,34.056602,addition,4.2914325,Q4 2018,CONSUMER DISCRETIONARY,"","",12.4527
Ipg photonics corp,IPGP,"",627344.0,140393000.0,0.4654,0.416,21,890.0,0.142069,addition,1.1769911,Q4 2018,INFORMATION TECHNOLOGY,"","",134.4469
Ansys  inc.,ANSS,"",357103.0,129914000.0,0.4306,0.4283,22,22070.0,6.587411,addition,0.4157963,Q4 2018,INFORMATION TECHNOLOGY,"","",170.7753
Equifax inc.,EFX,"",672758.0,129735000.0,0.43,0.3535,23,95979.0,16.640516,addition,0.5530596,Q4 2018,INDUSTRIALS,"","",114.3681
Cognex corp,CGNX,"",1604491.0,128817000.0,0.427,0.4076,24,1898.0,0.118433,addition,0.9187797,Q4 2018,INFORMATION TECHNOLOGY,"","",41.476
Verisk analytics inc,VRSK,"",608148.0,126245000.0,0.4185,0.4397,25,725.0,0.119357,addition,0.3740382,Q4 2018,INDUSTRIALS,"","",119.4252
Masimo corp,MASI,"",429254.0,115203000.0,0.3819,0.3955,26,357.0,0.083237,addition,0.7796790,Q4 2018,HEALTH CARE,"","",114.1784
Qualys  inc.,QLYS,"",933787.0,113801000.0,0.3772,0.3116,27,120067.0,14.755321,addition,2.3933075,Q2 2020,INFORMATION TECHNOLOGY,"","",105.0952
Fortinet inc,FTNT,"",744771.0,110621000.0,0.3667,0.0978,28,532326.0,250.571207,addition,0.4587947,Q3 2020,INFORMATION TECHNOLOGY,"","",139.7672
Verisign inc.,VRSN,"",498577.0,107892000.0,0.3576,0.3437,29,69059.0,16.078255,addition,0.4369272,Q4 2018,COMMUNICATIONS,"","",171.4303
Paycom software inc,PAYC,"",215026.0,97246000.0,0.3223,0.2612,30,232.0,0.10801,addition,0.3674871,Q4 2018,INFORMATION TECHNOLOGY,"","",159.3164
Msci inc,MSCI,"",207737.0,92761000.0,0.3075,0.2892,31,247.0,0.119042,addition,0.2506024,Q4 2018,FINANCE,"","",168.9404
Smith (a.o.) corp.  class b,AOS,"",1489317.0,81644000.0,0.2706,0.3068,32,1776.0,0.119392,addition,1.0996980,Q4 2018,INDUSTRIALS,"","",43.7033
Mercadolibre inc,MELI,"",28500.0,47744000.0,0.1583,0.1269,33,-1500.0,-5.0,reduction,0.0571489,Q4 2018,COMMUNICATIONS,"","",431.61
Marriott international inc/md,MAR,"",277920.0,36663000.0,0.1215,0.1011,34,-1632.0,-0.583791,reduction,0.0856900,Q2 2016,CONSUMER DISCRETIONARY,"","",89.36
Zoetis  inc.,ZTS,"",121003.0,20026000.0,0.0664,,35,121003.0,,new,0.0254600,Q4 2020,HEALTH CARE,"","",165.5
Taiwan semiconductor manufacturing co ltd adr,TSM,"",117981.0,12865000.0,0.0426,,36,117981.0,,new,0.0022750,Q4 2020,INFORMATION TECHNOLOGY,"","",109.04
Xp inc.,XP,"",253367.0,10051000.0,0.0333,0.0413,37,0.0,0.0,,0.0702809,Q1 2020,FINANCE,"","",19.29
Colgate-palmolive co.,CL,"",112079.0,9584000.0,0.0318,0.0323,38,4828.0,4.50159,addition,0.0130755,Q3 2020,CONSUMER STAPLES,"","",77.5101
Procter & gamble co. (oh) (1905),PG,"",38171.0,5311000.0,0.0176,,39,38171.0,,new,0.0015394,Q4 2020,CONSUMER STAPLES,"","",139.14
Check point software technologies ltd,CHKP,"",0.0,0.0,,0.1573,"",-334691.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,"","",106.76
