Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Uber technologies inc,UBER,"",19976432.0,620868000.0,20.5667,26.6836,1,-1425602.0,-6.661058,reduction,1.1441536,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Datadog inc,DDOG,"",4920611.0,427847000.0,14.1728,10.315,2,-1499332.0,-23.354288,reduction,1.6436081,Q3 2019,INFORMATION TECHNOLOGY,"","",33.91
Dynatrace inc,DT,"",6560719.0,266365000.0,8.8235,9.1128,3,-1999216.0,-23.355504,reduction,2.3341865,Q3 2019,INFORMATION TECHNOLOGY,"","",19.84
Twilio inc,TWLO,"",1166029.0,255850000.0,8.4752,13.263,4,-2152864.0,-64.86693,reduction,0.8146397,Q3 2017,INFORMATION TECHNOLOGY,"","",63.16
Square inc,SQ,"",1777689.0,186551000.0,6.1796,3.8621,5,126571.0,7.665776,addition,0.4008031,Q1 2020,FINANCE,"","",56.1223
Livongo health inc,LVGO1,"",2370281.0,178221000.0,5.9037,5.8349,6,-2209631.0,-48.246145,reduction,2.3932496,Q3 2019,HEALTH CARE,"","",17.44
Zoominfo technologies inc.,ZI,"",3116769.0,159049000.0,5.2686,,7,3116769.0,,new,0.8005582,Q2 2020,COMMUNICATIONS,"","",51.03
Alibaba group holding ltd adr,BABA,"",699587.0,150901000.0,4.9987,7.5376,8,-168338.0,-19.395455,reduction,0.0258660,Q4 2014,COMMUNICATIONS,"","",142.57
Cargurus inc,CARG,"",5691167.0,144271000.0,4.7791,3.0794,9,2050262.0,56.311879,addition,5.0375242,Q1 2020,CONSUMER DISCRETIONARY,"","",21.2492
Servicenow inc,NOW,"",304585.0,123375000.0,4.0869,4.2302,10,-25965.0,-7.85509,reduction,0.1588026,Q1 2016,INFORMATION TECHNOLOGY,"","",116.33
Meta platforms  inc.,FB,"",433478.0,98430000.0,3.2606,4.2788,11,-140962.0,-24.539029,reduction,0.0152161,Q2 2016,COMMUNICATIONS,"","",158.83
Floor & decor holdings inc,FND,"",1570362.0,90531000.0,2.9989,,12,1570362.0,,new,1.5178301,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Agora  inc. ads,API,"",1997733.0,88240000.0,2.923,,13,1997733.0,,new,2.0133469,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Greensky inc,GSKY,"",14787696.0,72460000.0,2.4003,2.5225,14,0.0,0.0,,8.2316460,Q2 2018,INFORMATION TECHNOLOGY,"","",10.94
Ceridian hcm holding inc,CDAY,"",899808.0,71328000.0,2.3628,2.3136,15,-134931.0,-13.0401,reduction,0.6217269,Q2 2018,INFORMATION TECHNOLOGY,"","",34.09
58.com inc adr,WUBA1,"",1136873.0,61323000.0,2.0314,2.984,16,-234689.0,-17.111075,reduction,0.7582581,Q4 2014,CONSUMER DISCRETIONARY,"","",53.78
Arco platform ltd,ARCE,"",209776.0,9121000.0,0.3021,,17,209776.0,,new,0.9804315,Q2 2020,INFORMATION TECHNOLOGY,"","",43.48
Tencent music entertainment group,TME,"",481764.0,6485000.0,0.2148,0.2316,18,-33700.0,-6.537799,reduction,0.0287186,Q4 2018,INFORMATION TECHNOLOGY,"","",13.25
Sunlands online education group,STG,"",238149.92,3989000.0,0.1321,0.1821,19,0.0,0.0,,1.7506570,Q1 2018,CONSUMER DISCRETIONARY,"","",8.4
Pinterest inc,PINS,"",50000.0,1109000.0,0.0367,0.0345,20,0.0,0.0,,0.0083257,Q1 2020,COMMUNICATIONS,"","",15.44
Bill.com holdings  inc.,BILL,"",11800.0,1064000.0,0.0352,0.0333,21,-10000.0,-45.87156,reduction,0.0150069,Q4 2019,INFORMATION TECHNOLOGY,"","",38.05
Crowdstrike holdings inc,CRWD,"",10000.0,1003000.0,0.0332,,22,10000.0,,new,0.0046298,Q2 2020,INFORMATION TECHNOLOGY,"","",100.29
Xp inc.,XP,"",9948.0,418000.0,0.0138,0.414,23,-470651.0,-97.930083,reduction,0.0018028,Q4 2019,FINANCE,"","",38.52
Netflix inc,NFLX,"",0.0,0.0,,0.0859,"",-5120.0,-100.0,soldall,0.0000000,Q2 2016,COMMUNICATIONS,"","",106.06
Momentive global inc,MNTV,"",0.0,0.0,,0.0179,"",-29583.0,-100.0,soldall,0.0000000,Q1 2020,INFORMATION TECHNOLOGY,"","",13.51
Peloton interactive inc,PTON,"",0.0,0.0,,1.486,"",-1253366.0,-100.0,soldall,0.0000000,Q3 2019,CONSUMER DISCRETIONARY,"","",25.91
Anaplan inc,PLAN,"",0.0,0.0,,0.9088,"",-672586.0,-100.0,soldall,0.0000000,Q1 2020,INFORMATION TECHNOLOGY,"","",30.26
Farfetch ltd,FTCH,"",0.0,0.0,,0.1411,"",-400000.0,-100.0,soldall,0.0000000,Q3 2018,CONSUMER DISCRETIONARY,"","",27.23
Medallia inc,MDLA1,"",0.0,0.0,,0.4474,"",-500000.0,-100.0,soldall,0.0000000,Q3 2019,INFORMATION TECHNOLOGY,"","",27.43
