Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",12190529.0,1922446000.0,9.0825,8.6626,1,883.0,0.007244,addition,0.1596578,Q1 2015,INFORMATION TECHNOLOGY,"","",51.2977
Paypal holdings inc,PYPL,"",15185799.0,1642648000.0,7.7606,8.1556,2,-216545.0,-1.405922,reduction,1.2905632,Q3 2015,COMMUNICATIONS,"","",40.85
Philip morris international inc,PM,"",16899236.0,1437956000.0,6.7935,6.5703,3,-29347.0,-0.173358,reduction,1.0861808,Q4 2012,CONSUMER STAPLES,"","",88.05
Estee lauder companies inc.,EL,"",6875587.0,1420084000.0,6.7091,6.8814,4,108840.0,1.608454,addition,1.9058618,Q2 2016,CONSUMER STAPLES,"","",116.3605
Meta platforms  inc.,FB,"",6588286.0,1352246000.0,6.3886,5.9005,5,106103.0,1.636841,addition,0.2309289,Q1 2018,COMMUNICATIONS,"","",162.9327
Stryker corp.,SYK,"",6082992.0,1277063000.0,6.0334,6.5731,6,137887.0,2.319337,addition,1.6260337,Q4 2012,HEALTH CARE,"","",102.883
Mccormick & co. non-voting shares,MKC,"",14759422.0,1252558000.0,5.9176,5.8256,7,176078.0,1.207391,addition,5.5524122,Q4 2018,CONSUMER STAPLES,"","",148.032
Intuit  inc.,INTU,"",4743046.0,1242346000.0,5.8694,6.3355,8,82411.0,1.768235,addition,1.8237574,Q2 2017,INFORMATION TECHNOLOGY,"","",163.9132
Visa inc,V,"",6415516.0,1205475000.0,5.6952,5.6672,9,-30116.0,-0.467231,reduction,0.3233774,Q4 2012,FINANCE,"","",81.62
Idexx laboratories inc.,IDXX,"",4591899.0,1199083000.0,5.665,6.3328,10,35883.0,0.787596,addition,5.3338355,Q1 2015,HEALTH CARE,"","",83.4692
Waters corporation,WAT,"",5106666.0,1193173000.0,5.6371,5.8454,11,-16201.0,-0.316249,reduction,7.6492900,Q1 2015,HEALTH CARE,"","",156.21
Pepsico inc. (loft  inc.),PEP,"",8469394.0,1157512000.0,5.4686,5.8089,12,180289.0,2.175012,addition,0.6073688,Q4 2012,CONSUMER STAPLES,"","",101.3287
Automatic data processing inc,ADP,"",6464198.0,1102146000.0,5.207,5.3471,13,-16287.0,-0.251324,reduction,1.4904768,Q4 2012,INFORMATION TECHNOLOGY,"","",91.76
