Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Tesla inc,TSLA,"",2047283.0,1398601000.0,5.4757,5.2193,1,452193.0,28.349059,addition,0.2067931,Q1 2018,CONSUMER DISCRETIONARY,"","",293.659
Square inc,SQ,"",5500423.0,1341553000.0,5.2524,6.2982,2,-161931.0,-2.859782,reduction,1.3841157,Q4 2016,FINANCE,"","",95.57
Roku inc,ROKU,"",2213307.0,1014912000.0,3.9735,3.4691,3,39557.0,1.819758,addition,1.9013924,Q3 2019,INFORMATION TECHNOLOGY,"","",143.3388
Shopify inc,SHOP,"",692044.0,1010391000.0,3.9558,2.9875,4,140913.0,25.567968,addition,0.6107872,Q3 2020,COMMUNICATIONS,"","",1187.1124
Twilio inc,TWLO,"",2409154.0,948956000.0,3.7153,2.7628,5,754116.0,45.564875,addition,1.4432007,Q1 2019,INFORMATION TECHNOLOGY,"","",300.9507
Teladoc health inc,TDOC,"",5690529.0,946335000.0,3.7051,3.9582,6,1244967.0,28.004716,addition,3.5733704,Q4 2018,HEALTH CARE,"","",188.2033
Coinbase global inc,COIN,"",3425242.0,859736000.0,3.366,,7,3425242.0,,new,2.2688561,Q2 2021,INFORMATION TECHNOLOGY,"","",253.3
Sea ltd adr,SE,"",2900335.0,792081000.0,3.1011,2.9913,8,165023.0,6.033059,addition,0.7893940,Q1 2020,INFORMATION TECHNOLOGY,"","",132.003
Zillow group inc class c,Z,"",5600501.0,678335000.0,2.6558,3.3217,9,370249.0,7.07899,addition,3.0111975,Q3 2018,COMMUNICATIONS,"","",66.4107
Zoom video communications inc,ZM,"",1756737.0,678100000.0,2.6549,1.9672,10,506923.0,40.559875,addition,0.7419211,Q3 2020,INFORMATION TECHNOLOGY,"","",347.1822
Paypal holdings inc,PYPL,"",2078644.0,604283000.0,2.3659,2.4442,11,24077.0,1.171877,addition,0.1769010,Q4 2015,COMMUNICATIONS,"","",177.4365
Spotify technology sa,SPOT,"",2095431.0,576537000.0,2.2572,2.1213,12,479367.0,29.662625,addition,1.1690193,Q2 2018,COMMUNICATIONS,"","",268.9497
Crispr therapeutics ag,CRSP,"",3383456.0,548120000.0,2.146,2.1847,13,-276409.0,-7.552437,reduction,4.4401619,Q3 2018,HEALTH CARE,"","",48.34
Unity software inc.,U,"",4990206.0,546428000.0,2.1394,1.5963,14,1741771.0,53.618773,addition,1.7663283,Q4 2020,INFORMATION TECHNOLOGY,"","",116.8148
Intellia therapeutics inc,NTLA,"",3063449.0,507307000.0,1.9862,1.9042,15,-1779821.0,-36.748333,reduction,4.1686925,Q3 2018,HEALTH CARE,"","",15.62
Twitter inc,TWTR,"",7268794.0,499148000.0,1.9542,0.8375,16,4582087.0,170.546584,addition,0.9109146,Q1 2018,COMMUNICATIONS,"","",66.8954
Invitae corp,NVTA,"",14863341.0,498516000.0,1.9518,2.5572,17,1202186.0,8.800032,addition,6.8387613,Q3 2018,HEALTH CARE,"","",23.3164
Docusign inc,DOCU,"",1596927.0,443988000.0,1.7383,1.7222,18,-139514.0,-8.03448,reduction,0.8196299,Q3 2019,INFORMATION TECHNOLOGY,"","",199.49
Uipath inc,PATH,"",6024694.0,411517000.0,1.6112,,19,6024694.0,,new,1.4129929,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Exact sciences corp,EXAS,"",3244562.0,401677000.0,1.5726,1.4191,20,1046432.0,47.605556,addition,1.8869353,Q3 2020,HEALTH CARE,"","",128.5646
Jd.com inc adr,JD,"",4949733.0,395533000.0,1.5486,1.2147,21,2009407.0,68.339599,addition,0.3695330,Q4 2016,CONSUMER DISCRETIONARY,"","",79.2041
Mercadolibre inc,MELI,"",249245.0,383339000.0,1.5008,0.9859,22,112537.0,82.31925,addition,0.5013815,Q4 2016,COMMUNICATIONS,"","",957.0635
Draftkings inc cl a,DKNG,"",7100563.0,371146000.0,1.4531,1.0229,23,3696004.0,108.560433,addition,1.7606235,Q1 2021,FINANCE,"","",56.562
Meta platforms  inc.,FB,"",1048872.0,364357000.0,1.4265,1.497,24,11351.0,1.09405,addition,0.0439998,Q2 2019,COMMUNICATIONS,"","",254.2723
Pagerduty inc,PD,"",8027844.0,337651000.0,1.322,1.4176,25,834775.0,11.605269,addition,9.5978788,Q1 2020,INFORMATION TECHNOLOGY,"","",29.3548
Twist bioscience corp,TWST,"",2524602.0,325371000.0,1.2739,1.2519,26,461438.0,22.365551,addition,5.1217239,Q1 2020,HEALTH CARE,"","",79.9915
10x genomics inc,TXG,"",1541588.0,299376000.0,1.1721,0.9247,27,498675.0,47.81559,addition,1.7014536,Q2 2020,HEALTH CARE,"","",179.2994
Pinduoduo inc,PDD,"",2263515.0,288825000.0,1.1308,0.7981,28,1046612.0,86.006198,addition,0.1806060,Q1 2019,CONSUMER DISCRETIONARY,"","",101.1983
Editas medicine inc,EDIT,"",4869696.0,285684000.0,1.1185,0.876,29,612140.0,14.377732,addition,7.1339093,Q3 2018,HEALTH CARE,"","",28.0155
Pacific biosciences of california  inc.,PACB,"",8122072.0,284273000.0,1.113,0.8562,30,2874835.0,54.787596,addition,4.0814732,Q3 2020,HEALTH CARE,"","",21.1963
Trimble navigation ltd.,TRMB,"",3237885.0,262269000.0,1.0268,0.3552,31,2305873.0,247.408081,addition,1.2868160,Q1 2018,INFORMATION TECHNOLOGY,"","",74.7461
Palantir technologies inc.,PLTR,"",9777441.0,254800000.0,0.9976,0.6435,32,4137293.0,73.354334,addition,0.5416187,Q1 2021,INFORMATION TECHNOLOGY,"","",24.5891
Opendoor technologies  inc.,OPEN,"",14264639.0,254196000.0,0.9952,0.6353,33,8144996.0,133.095934,addition,2.3591909,Q4 2020,CONSUMER DISCRETIONARY,"","",19.4761
Peloton interactive inc,PTON,"",1982510.0,246922000.0,0.9667,0.7745,34,576431.0,40.995634,addition,0.7376936,Q3 2020,CONSUMER DISCRETIONARY,"","",122.3817
Snap inc class a,SNAP,"",3584793.0,244304000.0,0.9565,1.3458,35,-1668729.0,-31.764005,reduction,0.2703794,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",23.12
Ke holdings inc.,BEKE,"",4611868.0,220447000.0,0.8631,1.4185,36,-469990.0,-9.248389,reduction,0.5148339,Q4 2020,INFORMATION TECHNOLOGY,"","",59.97
2u  inc,TWOU,"",4889380.0,202420000.0,0.7925,1.03,37,-610238.0,-11.096007,reduction,6.5526409,Q4 2018,CONSUMER DISCRETIONARY,"","",23.07
Intercontinental exchange inc,ICE,"",1692386.0,199820000.0,0.7823,1.6649,38,-1350787.0,-44.387453,reduction,0.3005186,Q1 2018,FINANCE,"","",99.67
Iovance biotherapeutics inc,IOVA,"",7724788.0,198527000.0,0.7773,0.8291,39,2378927.0,44.500353,addition,4.9827055,Q1 2019,HEALTH CARE,"","",29.0442
Proto labs inc,PRLB,"",2086823.0,189692000.0,0.7427,1.1789,40,110314.0,5.581255,addition,7.5170861,Q3 2018,CONSUMER DISCRETIONARY,"","",105.202
Iridium communications inc,IRDM,"",4463818.0,178553000.0,0.6991,0.5439,41,1772489.0,65.859246,addition,3.3833571,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,"","",33.2795
Pinterest inc,PINS,"",2180799.0,171411000.0,0.6711,0.989,42,-546308.0,-20.032511,reduction,0.3928114,Q3 2019,COMMUNICATIONS,"","",17.42
Alphabet inc. class c,GOOG,"",68197.0,170767000.0,0.6686,0.182,43,50233.0,279.631485,addition,0.0213003,Q2 2014,COMMUNICATIONS,"","",2241.0838
Netflix inc,NFLX,"",282737.0,148722000.0,0.5823,0.787,44,-25213.0,-8.187368,reduction,0.0639973,Q1 2018,COMMUNICATIONS,"","",491.27
Alibaba group holding ltd adr,BABA,"",647666.0,146904000.0,0.5752,0.9897,45,-243367.0,-27.312905,reduction,0.0238272,Q4 2016,COMMUNICATIONS,"","",203.32
Tusimple holdings inc,TSP,"",2015938.0,145652000.0,0.5703,,46,2015938.0,,new,1.0894583,Q2 2021,INFORMATION TECHNOLOGY,"","",71.24
Walt disney co. (the),DIS,"",825556.0,145298000.0,0.5689,0.512,47,259108.0,45.742592,addition,0.0454319,Q3 2020,COMMUNICATIONS,"","",166.9874
Teradyne inc,TER,"",1077343.0,142209000.0,0.5568,0.4285,48,358488.0,49.869306,addition,0.6479623,Q1 2018,INFORMATION TECHNOLOGY,"","",119.9812
Skillz inc,SKLZ,"",6143241.0,133800000.0,0.5238,,49,6143241.0,,new,1.8371638,Q2 2021,INFORMATION TECHNOLOGY,"","",21.72
Veracyte inc,VCYT,"",3162812.0,126449000.0,0.4951,0.8657,50,-124717.0,-3.79364,reduction,4.4638511,Q3 2018,HEALTH CARE,"","",28.69
Pure storage inc,PSTG,"",6477114.0,124684000.0,0.4882,0.9775,51,-2786631.0,-30.081042,reduction,2.2866732,Q1 2020,INFORMATION TECHNOLOGY,"","",15.75
Stratasys ltd,SSYS,"",4678235.0,121166000.0,0.4744,0.5534,52,317056.0,7.269961,addition,8.2629182,Q3 2018,INFORMATION TECHNOLOGY,"","",25.6456
Intuit  inc.,INTU,"",245170.0,119778000.0,0.469,0.3861,53,39441.0,19.171337,addition,0.0897207,Q4 2016,INFORMATION TECHNOLOGY,"","",297.8922
Seres therapeutics inc,MCRB,"",5280154.0,118856000.0,0.4653,0.6051,54,-719202.0,-11.987987,reduction,5.7569083,Q3 2018,HEALTH CARE,"","",5.35
Etsy inc,ETSY,"",539484.0,111997000.0,0.4385,0.2993,55,236522.0,78.069857,addition,0.4262108,Q3 2020,CONSUMER DISCRETIONARY,"","",172.5553
Baidu inc adr,BIDU,"",515447.0,105357000.0,0.4125,1.8373,56,-1208493.0,-70.100642,reduction,0.1817401,Q4 2016,COMMUNICATIONS,"","",216.86
Caredx inc,CDNA,"",1169416.0,104663000.0,0.4098,0.2725,57,352604.0,43.168318,addition,2.2220768,Q3 2019,HEALTH CARE,"","",46.3913
Okta inc,OKTA,"",418085.0,101595000.0,0.3978,,58,418085.0,,new,0.2872931,Q3 2020,INFORMATION TECHNOLOGY,"","",244.68
Workday inc,WDAY,"",408921.0,97147000.0,0.3803,0.5211,59,-19274.0,-4.50122,reduction,0.2163603,Q3 2019,COMMUNICATIONS,"","",181.54
Amazon.com inc.,AMZN,"",27398.0,94175000.0,0.3687,0.4577,60,-2798.0,-9.266128,reduction,0.0054099,Q4 2009,CONSUMER DISCRETIONARY,"","",1634.04
Fate therapeutics inc,FATE,"",1025519.0,87313000.0,0.3418,0.2268,61,463924.0,82.608285,addition,1.0774007,Q2 2019,HEALTH CARE,"","",54.5297
Regeneron pharmaceuticals inc.,REGN,"",157513.0,87100000.0,0.341,0.1845,62,77895.0,97.835917,addition,0.1498605,Q1 2019,HEALTH CARE,"","",489.2401
Lendingclub corp,LC,"",4581060.0,77878000.0,0.3049,0.3707,63,0.0,0.0,,4.6460494,Q4 2016,FINANCE,"","",343.89
Cerus corp.,CERS,"",13151108.0,77723000.0,0.3043,0.3944,64,-243147.0,-1.815308,reduction,7.6626195,Q3 2018,HEALTH CARE,"","",5.58
