Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Square inc,SQ,"",5662354.0,1285637000.0,6.2982,5.2655,1,1402341.0,32.918702,addition,1.4525309,Q4 2016,FINANCE,"","",95.5711
Tesla inc,TSLA,"",1595090.0,1065408000.0,5.2193,4.9961,2,348448.0,27.950927,addition,0.1661806,Q1 2018,CONSUMER DISCRETIONARY,"","",184.2211
Teladoc health inc,TDOC,"",4445562.0,807981000.0,3.9582,3.207,3,1621495.0,57.417016,addition,2.9113045,Q4 2018,HEALTH CARE,"","",194.3408
Roku inc,ROKU,"",2173750.0,708143000.0,3.4691,4.6279,4,-280557.0,-11.431211,reduction,1.9569023,Q3 2019,INFORMATION TECHNOLOGY,"","",137.59
Zillow group inc class c,Z,"",5230252.0,678050000.0,3.3217,2.8391,5,1378912.0,35.803435,addition,3.0175614,Q3 2018,COMMUNICATIONS,"","",62.462
Sea ltd adr,SE,"",2735312.0,610604000.0,2.9913,2.673,6,370735.0,15.678703,addition,4.1472398,Q1 2020,INFORMATION TECHNOLOGY,"","",123.4018
Shopify inc,SHOP,"",551131.0,609826000.0,2.9875,1.7319,7,281731.0,104.577209,addition,0.4898494,Q3 2020,COMMUNICATIONS,"","",1117.0877
Twilio inc,TWLO,"",1655038.0,563971000.0,2.7628,2.5601,8,323329.0,24.279253,addition,1.0342014,Q1 2019,INFORMATION TECHNOLOGY,"","",258.4776
Invitae corp,NVTA,"",13661155.0,521993000.0,2.5572,2.6726,9,2405541.0,21.371922,addition,6.9467647,Q3 2018,HEALTH CARE,"","",22.3991
Paypal holdings inc,PYPL,"",2054567.0,498931000.0,2.4442,2.4264,10,230286.0,12.623384,addition,0.1754277,Q4 2015,COMMUNICATIONS,"","",176.1043
Crispr therapeutics ag,CRSP,"",3659865.0,445955000.0,2.1847,3.3363,11,-176958.0,-4.612097,reduction,4.8520709,Q3 2018,HEALTH CARE,"","",48.34
Spotify technology sa,SPOT,"",1616064.0,433024000.0,2.1213,1.9005,12,552550.0,51.955122,addition,0.9015854,Q2 2018,COMMUNICATIONS,"","",266.976
Zoom video communications inc,ZM,"",1249814.0,401553000.0,1.9672,0.888,13,786269.0,169.620857,addition,0.5335600,Q3 2020,INFORMATION TECHNOLOGY,"","",331.0185
Intellia therapeutics inc,NTLA,"",4843270.0,388697000.0,1.9042,1.577,14,-261092.0,-5.115076,reduction,7.1512349,Q3 2018,HEALTH CARE,"","",15.62
Baidu inc adr,BIDU,"",1723940.0,375043000.0,1.8373,1.0922,15,834614.0,93.847925,addition,0.6489750,Q4 2016,COMMUNICATIONS,"","",216.8639
Docusign inc,DOCU,"",1736441.0,351542000.0,1.7222,1.828,16,288465.0,19.921946,addition,0.9307835,Q3 2019,INFORMATION TECHNOLOGY,"","",199.4897
Intercontinental exchange inc,ICE,"",3043173.0,339862000.0,1.6649,2.0619,17,-105892.0,-3.362649,reduction,0.5421808,Q1 2018,FINANCE,"","",99.67
Unity software inc.,U,"",3248435.0,325851000.0,1.5963,1.0786,18,2010904.0,162.493222,addition,1.1689034,Q4 2020,INFORMATION TECHNOLOGY,"","",120.562
Meta platforms  inc.,FB,"",1037521.0,305581000.0,1.497,1.3545,19,164425.0,18.832408,addition,0.0431321,Q2 2019,COMMUNICATIONS,"","",253.245
Exact sciences corp,EXAS,"",2198130.0,289670000.0,1.4191,0.9972,20,872841.0,65.860427,addition,1.2999520,Q3 2020,HEALTH CARE,"","",130.5923
Ke holdings inc.,BEKE,"",5081858.0,289564000.0,1.4185,1.1664,21,1744388.0,52.266777,addition,0.5716447,Q4 2020,INFORMATION TECHNOLOGY,"","",59.9747
Pagerduty inc,PD,"",7193069.0,289377000.0,1.4176,1.5061,22,833519.0,13.106572,addition,8.6603052,Q1 2020,INFORMATION TECHNOLOGY,"","",27.8169
Snap inc class a,SNAP,"",5253522.0,274707000.0,1.3458,1.2955,23,697554.0,15.310775,addition,0.4192803,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",23.1167
Twist bioscience corp,TWST,"",2063164.0,255543000.0,1.2519,1.4767,24,222858.0,12.109834,addition,4.2411344,Q1 2020,HEALTH CARE,"","",68.0754
Jd.com inc adr,JD,"",2940326.0,247958000.0,1.2147,0.7026,25,1532876.0,108.911578,addition,0.2195164,Q4 2016,CONSUMER DISCRETIONARY,"","",78.7918
Proto labs inc,PRLB,"",1976509.0,240640000.0,1.1789,1.3858,26,385843.0,24.256695,addition,7.1599988,Q3 2018,CONSUMER DISCRETIONARY,"","",105.9521
Lendingtree inc,TREE,"",1128965.0,240470000.0,1.178,1.7752,27,-12688.0,-1.111371,reduction,8.5994366,Q4 2016,FINANCE,"","",251.47
2u  inc,TWOU,"",5499618.0,210250000.0,1.03,1.4252,28,-772752.0,-12.319936,reduction,7.4324948,Q4 2018,CONSUMER DISCRETIONARY,"","",23.07
Draftkings inc cl a,DKNG,"",3404559.0,208802000.0,1.0229,,29,3404559.0,,new,0.8560514,Q1 2021,FINANCE,"","",61.33
Alibaba group holding ltd adr,BABA,"",891033.0,202024000.0,0.9897,1.0632,30,86615.0,10.767412,addition,0.0329325,Q4 2016,COMMUNICATIONS,"","",203.3206
Pinterest inc,PINS,"",2727107.0,201888000.0,0.989,1.4124,31,-1046745.0,-27.736779,reduction,0.5122064,Q3 2019,COMMUNICATIONS,"","",17.42
Mercadolibre inc,MELI,"",136708.0,201253000.0,0.9859,1.6722,32,-39057.0,-22.221148,reduction,0.2741302,Q4 2016,COMMUNICATIONS,"","",462.55
Apple inc,AAPL,"",1638708.0,200168000.0,0.9806,1.1673,33,89702.0,5.790939,addition,0.0097611,Q1 2010,INFORMATION TECHNOLOGY,"","",67.7503
Pure storage inc,PSTG,"",9263745.0,199541000.0,0.9775,1.614,34,-3305675.0,-26.299344,reduction,3.3045174,Q1 2020,INFORMATION TECHNOLOGY,"","",15.75
10x genomics inc,TXG,"",1042913.0,188767000.0,0.9247,0.0952,35,924534.0,780.99494,addition,1.2116859,Q2 2020,HEALTH CARE,"","",171.4006
Editas medicine inc,EDIT,"",4257556.0,178817000.0,0.876,1.7472,36,-130587.0,-2.975906,reduction,6.3203379,Q3 2018,HEALTH CARE,"","",23.9
Veracyte inc,VCYT,"",3287529.0,176705000.0,0.8657,0.9094,37,15491.0,0.473436,addition,4.9066501,Q3 2018,HEALTH CARE,"","",28.6886
Pacific biosciences of california  inc.,PACB,"",5247237.0,174785000.0,0.8562,0.7394,38,228099.0,4.544585,addition,2.7173298,Q3 2020,HEALTH CARE,"","",13.6533
Twitter inc,TWTR,"",2686707.0,170955000.0,0.8375,,39,2686707.0,,new,0.3366158,Q1 2018,COMMUNICATIONS,"","",63.63
Iovance biotherapeutics inc,IOVA,"",5345861.0,169250000.0,0.8291,1.1658,40,921951.0,20.840184,addition,3.6371535,Q1 2019,HEALTH CARE,"","",30.3856
Pinduoduo inc,PDD,"",1216903.0,162919000.0,0.7981,0.8423,41,382127.0,45.775993,addition,0.1385686,Q1 2019,CONSUMER DISCRETIONARY,"","",78.9876
Netflix inc,NFLX,"",307950.0,160645000.0,0.787,0.8819,42,20756.0,7.22717,addition,0.0697043,Q1 2018,COMMUNICATIONS,"","",491.2666
Peloton interactive inc,PTON,"",1406079.0,158100000.0,0.7745,0.7803,43,500444.0,55.258907,addition,0.5333382,Q3 2020,CONSUMER DISCRETIONARY,"","",121.7148
Palantir technologies inc.,PLTR,"",5640148.0,131359000.0,0.6435,,44,5640148.0,,new,0.3219250,Q1 2021,INFORMATION TECHNOLOGY,"","",23.29
Opendoor technologies  inc.,OPEN,"",6119643.0,129675000.0,0.6353,0.3139,45,3688063.0,151.673521,addition,1.0601785,Q4 2020,CONSUMER DISCRETIONARY,"","",21.8019
Seres therapeutics inc,MCRB,"",5999356.0,123527000.0,0.6051,0.8103,46,175753.0,3.017943,addition,6.5531344,Q3 2018,HEALTH CARE,"","",5.3499
Fastly inc,FSLY,"",1686586.0,113474000.0,0.5559,0.364,47,952995.0,129.908219,addition,1.6170527,Q3 2020,INFORMATION TECHNOLOGY,"","",77.5189
Stratasys ltd,SSYS,"",4361179.0,112955000.0,0.5534,0.4886,48,208943.0,5.03206,addition,7.7029190,Q3 2018,INFORMATION TECHNOLOGY,"","",25.6334
Paccar inc.,PCAR,"",1214381.0,112840000.0,0.5528,,49,1214381.0,,new,0.3498296,Q1 2021,INDUSTRIALS,"","",92.92
Iridium communications inc,IRDM,"",2691329.0,111017000.0,0.5439,0.472,50,578000.0,27.350214,addition,2.0042719,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,"","",28.859
Synopsys inc.,SNPS,"",438797.0,108725000.0,0.5326,0.5124,51,90780.0,26.084933,addition,0.2879753,Q2 2019,INFORMATION TECHNOLOGY,"","",222.6461
Workday inc,WDAY,"",428195.0,106376000.0,0.5211,1.0175,52,-319563.0,-42.736153,reduction,0.2327147,Q3 2019,COMMUNICATIONS,"","",181.54
Walt disney co. (the),DIS,"",566448.0,104521000.0,0.512,0.3765,53,200502.0,54.790051,addition,0.0312047,Q3 2020,COMMUNICATIONS,"","",162.9682
Materialise nv adr,MTLS,"",2640699.0,94933000.0,0.4651,0.8175,54,-14499.0,-0.546061,reduction,5.0412895,Q3 2018,INFORMATION TECHNOLOGY,"","",18.86
Hubspot inc,HUBS,"",207018.0,94030000.0,0.4606,0.1536,55,138790.0,203.420883,addition,0.4467836,Q3 2020,INFORMATION TECHNOLOGY,"","",414.5687
Amazon.com inc.,AMZN,"",30196.0,93429000.0,0.4577,0.9686,56,-22169.0,-42.335529,reduction,0.0059964,Q4 2009,CONSUMER DISCRETIONARY,"","",1634.04
Microsoft corp.,MSFT,"",381009.0,89830000.0,0.4401,0.2613,57,174135.0,84.174425,addition,0.0050517,Q3 2020,INFORMATION TECHNOLOGY,"","",225.7632
Teradyne inc,TER,"",718855.0,87470000.0,0.4285,0.0672,58,620157.0,628.33796,addition,0.4312403,Q1 2018,INFORMATION TECHNOLOGY,"","",113.0055
Mongodb inc,MDB,"",318823.0,85263000.0,0.4177,0.3072,59,168149.0,111.597887,addition,0.5210681,Q3 2020,INFORMATION TECHNOLOGY,"","",275.5444
Cerus corp.,CERS,"",13394255.0,80499000.0,0.3944,0.4364,60,2291045.0,20.634078,addition,7.9623397,Q3 2018,HEALTH CARE,"","",5.5789
Intuit  inc.,INTU,"",205729.0,78807000.0,0.3861,0.4262,61,8174.0,4.137582,addition,0.0751275,Q4 2016,INFORMATION TECHNOLOGY,"","",261.0291
Nvidia corp.,NVDA,"",589980.0,78752000.0,0.3858,0.3001,62,185184.0,45.747488,addition,0.0237895,Q4 2016,INFORMATION TECHNOLOGY,"","",285.2465
Charles schwab corp,SCHW,"",1197762.0,78070000.0,0.3825,0.3856,63,-82368.0,-6.434347,reduction,0.0666456,Q3 2016,FINANCE,"","",39.21
Lendingclub corp,LC,"",4581060.0,75679000.0,0.3707,0.2728,64,32800.0,0.721155,addition,4.8968993,Q4 2016,FINANCE,"","",343.8892
Trimble navigation ltd.,TRMB,"",932012.0,72501000.0,0.3552,0.202,65,399331.0,74.966256,addition,0.3713571,Q1 2018,INFORMATION TECHNOLOGY,"","",57.2203
Datadog inc,DDOG,"",840131.0,70017000.0,0.343,0.2403,66,410322.0,95.466126,addition,0.3791482,Q3 2020,INFORMATION TECHNOLOGY,"","",92.1753
Mimecast ltd,MIME,"",1740265.0,69976000.0,0.3428,0.3659,67,606886.0,53.546607,addition,2.7029997,Q3 2020,INFORMATION TECHNOLOGY,"","",47.2567
Agora  inc. ads,API,"",1372124.0,68977000.0,0.3379,0.2777,68,136183.0,11.018568,addition,1.6570646,Q4 2020,INFORMATION TECHNOLOGY,"","",40.623
Adobe systems  inc.,ADBE,"",138261.0,65725000.0,0.322,0.2616,69,46141.0,50.087929,addition,0.0288212,Q3 2020,INFORMATION TECHNOLOGY,"","",488.9487
Elastic nv,ESTC,"",560223.0,62297000.0,0.3052,0.2535,70,254739.0,83.388655,addition,0.6241010,Q3 2020,INFORMATION TECHNOLOGY,"","",123.5563
Activision blizzard inc,ATVI,"",665099.0,61854000.0,0.303,0.2769,71,140006.0,26.663086,addition,0.0858465,Q3 2020,INFORMATION TECHNOLOGY,"","",86.0761
Compugen ltd,CGEN,"",7162406.0,61525000.0,0.3014,0.4834,72,134178.0,1.90913,addition,8.6613151,Q3 2018,HEALTH CARE,"","",4.4294
Etsy inc,ETSY,"",302962.0,61098000.0,0.2993,0.2979,73,8144.0,2.762382,addition,0.2403520,Q3 2020,CONSUMER DISCRETIONARY,"","",146.572
Guidewire software  inc.,GWRE,"",595298.0,60500000.0,0.2964,0.4249,74,14150.0,2.434836,addition,0.7108950,Q4 2016,INFORMATION TECHNOLOGY,"","",98.9844
Caredx inc,CDNA,"",816812.0,55617000.0,0.2725,0.3164,75,47749.0,6.208724,addition,1.5761676,Q3 2019,HEALTH CARE,"","",26.9069
Hdfc bank ltd adr,HDB,"",709950.0,55156000.0,0.2702,0.2794,76,29067.0,4.269015,addition,0.0386877,Q4 2016,FINANCE,"","",46.4727
Bilibili inc,BILI,"",506725.0,54250000.0,0.2658,0.2746,77,-57255.0,-10.151956,reduction,0.1886577,Q3 2020,COMMUNICATIONS,"","",41.6
Anaplan inc,PLAN,"",985736.0,53082000.0,0.26,0.1367,78,650602.0,194.131899,addition,0.6859680,Q3 2020,INFORMATION TECHNOLOGY,"","",58.0862
