Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Springworks therapeutics inc,SWTX,"",7406307.0,311065000.0,4.3794,3.3606,1,0.0,0.0,,17.2197689,Q3 2019,HEALTH CARE,"","",21.68
Tricida inc,TCDA,"",9614280.0,264200000.0,3.7196,3.5546,2,0.0,0.0,,19.2097452,Q2 2018,HEALTH CARE,"","",30.09
Alexion pharmaceuticals inc.,ALXN1,"",2156000.0,241989000.0,3.4069,3.1257,3,84615.0,4.084948,addition,0.9836979,Q1 2011,HEALTH CARE,"","",126.5937
Ascendis pharma a/s adr,ASND,"",1562986.0,231166000.0,3.2545,6.2214,4,-1724414.0,-52.455253,reduction,2.9395334,Q1 2015,HEALTH CARE,"","",29.06
Prevail therapeutics inc,PRVL,"",13822463.0,205955000.0,2.8996,2.8317,5,0.0,0.0,,40.4144952,Q2 2019,HEALTH CARE,"","",13.2
Merck & co,MRK,"",2713376.8,200215000.0,2.8187,3.3478,6,0.0,0.0,,0.1023667,Q1 2016,HEALTH CARE,"","",63.47
Vertex pharmaceuticals  inc.,VRTX,"",666100.0,193375000.0,2.7224,2.9488,7,-71300.0,-9.669108,reduction,0.2557326,Q4 2012,HEALTH CARE,"","",96.2
Biogen inc,BIIB,"",715900.0,191539000.0,2.6966,2.5543,8,235500.0,49.021649,addition,0.4522041,Q3 2010,HEALTH CARE,"","",295.2775
Passage bio  inc.,PASG,"",6962899.0,190296000.0,2.6791,1.843,9,0.0,0.0,,15.3534587,Q1 2020,HEALTH CARE,"","",15.75
Iovance biotherapeutics inc,IOVA,"",6645100.0,182408000.0,2.568,2.7912,10,1096774.0,19.767656,addition,4.5376634,Q1 2015,HEALTH CARE,"","",11.6778
Turning point therapeutics inc,TPTX,"",2745327.0,177321000.0,2.4964,2.0605,11,0.0,0.0,,6.6405572,Q2 2019,HEALTH CARE,"","",40.5
Boston scientific inc.,BSX,"",4847300.0,170189000.0,2.396,,12,4847300.0,,new,0.3388122,Q2 2020,HEALTH CARE,"","",35.11
Bristol-myers squibb co,BMY,"",2882200.0,169473000.0,2.3859,2.3183,13,407400.0,16.461936,addition,0.1278742,Q2 2007,HEALTH CARE,"","",61.1527
Natera inc,NTRA,"",3240514.0,161572000.0,2.2747,1.6796,14,-106486.0,-3.181536,reduction,4.0650225,Q3 2015,HEALTH CARE,"","",25.05
Horizon therapeutics plc,HZNP,"",2867910.0,159398000.0,2.2441,1.1657,15,526210.0,22.471282,addition,1.3890850,Q4 2019,HEALTH CARE,"","",38.0167
Mirati therapeutics inc,MRTX,"",1324100.0,151172000.0,2.1283,1.8387,16,-99200.0,-6.969718,reduction,2.9727872,Q3 2019,HEALTH CARE,"","",106.68
Alector inc,ALEC,"",5975322.0,146037000.0,2.056,3.3771,17,-2352369.0,-28.247554,reduction,7.5605209,Q1 2019,HEALTH CARE,"","",18.72
Neurocrine biosciences inc.,NBIX,"",1185915.0,144682000.0,2.0369,1.68,18,30900.0,2.67529,addition,1.2716923,Q1 2012,HEALTH CARE,"","",86.2465
Arcutis biotherapeutics  inc.,ARQT,"",4673850.0,141337000.0,1.9898,2.3407,19,0.0,0.0,,12.2497841,Q1 2020,HEALTH CARE,"","",29.8
Burning rock biotech ltd. ads,BNR,"",4746071.0,128191000.0,1.8047,,20,4746071.0,,new,4.6630897,Q2 2020,HEALTH CARE,"","",27.01
Humana  inc.,HUM,"",280300.0,108686000.0,1.5301,1.4792,21,0.0,0.0,,0.2118789,Q2 2018,HEALTH CARE,"","",315.1
Repare therapeutics inc.,RPTX,"",3426325.0,106285000.0,1.4963,,22,3426325.0,,new,9.3441613,Q2 2020,HEALTH CARE,"","",31.02
Oric pharmaceuticals  inc.,ORIC,"",2921967.0,98558000.0,1.3876,,23,2921967.0,,new,9.5663297,Q2 2020,HEALTH CARE,"","",33.73
Agios pharmaceuticals inc,AGIO,"",1728421.0,92436000.0,1.3014,0.9855,24,75725.0,4.581907,addition,2.5009679,Q1 2020,HEALTH CARE,"","",36.2686
Dexcom inc,DXCM,"",226400.0,91783000.0,1.2922,1.5295,25,-111600.0,-33.017751,reduction,0.2364683,Q4 2018,HEALTH CARE,"","",178.6
Sarepta therapeutics inc,SRPT,"",559649.0,89734000.0,1.2633,1.4836,26,-342800.0,-37.985526,reduction,0.7128795,Q4 2017,HEALTH CARE,"","",117.75
Centene corp,CNC,"",1335700.0,84884000.0,1.195,1.3336,27,0.0,0.0,,0.2305039,Q1 2020,HEALTH CARE,"","",59.41
Cigna holding co,CI,"",439700.0,82510000.0,1.1616,1.3093,28,0.0,0.0,,0.1197438,Q2 2017,HEALTH CARE,"","",195.24
89bio  inc.,ETNB,"",4004442.0,79809000.0,1.1236,1.6993,29,0.0,0.0,,23.7620699,Q4 2019,HEALTH CARE,"","",26.29
Imara inc.,IMRA,"",2719902.0,75151000.0,1.058,0.7327,30,0.0,0.0,,15.7397501,Q1 2020,HEALTH CARE,"","",16.03
Avalanche biotechnologies inc,ADVM,"",3290744.0,68711000.0,0.9674,0.5666,31,-159900.0,-4.633918,reduction,4.0982889,Q1 2019,HEALTH CARE,"","",6.91
Deciphera pharmaceuticals inc,DCPH,"",1125700.0,67227000.0,0.9465,0.8009,32,-31900.0,-2.755701,reduction,1.9967450,Q3 2017,HEALTH CARE,"","",24.1
Intuitive surgical inc,ISRG,"",338400.0,64277000.0,0.9049,1.4073,33,-168900.0,-33.293909,reduction,0.0963889,Q4 2013,HEALTH CARE,"","",328.57
Keros therapeutics  inc.,KROS,"",1679417.0,62995000.0,0.8869,,34,1679417.0,,new,8.3351287,Q2 2020,HEALTH CARE,"","",37.51
Ehealth inc,EHTH,"",638558.0,62732000.0,0.8832,1.5112,35,0.0,0.0,,2.4798450,Q1 2015,FINANCE,"","",24.87
Nextcure inc,NXTC,"",2711013.0,58124000.0,0.8183,1.6889,36,0.0,0.0,,9.8520058,Q2 2019,HEALTH CARE,"","",14.98
Exelixis inc,EXEL,"",2404100.0,57073000.0,0.8035,0.9203,37,-776000.0,-24.401748,reduction,0.7780364,Q2 2018,HEALTH CARE,"","",20.39
Kala pharmaceuticals inc,KALA,"",5402730.0,56783000.0,0.7994,0.7981,38,0.0,0.0,,9.6969309,Q3 2017,HEALTH CARE,"","",16.37
Fusion pharmaceuticals inc.,FUSN,"",3224770.0,56337000.0,0.7931,,39,3224770.0,,new,N/A,Q2 2020,HEALTH CARE,"","",17.47
Atricure inc,ATRC,"",1228189.0,55207000.0,0.7772,0.524,40,300000.0,32.321004,addition,2.7334569,Q4 2019,HEALTH CARE,"","",36.2137
Athenex inc,ATNX,"",4009346.0,55169000.0,0.7767,0.5215,41,0.0,0.0,,4.9058670,Q1 2018,HEALTH CARE,"","",15.86
Logicbio therapeutics inc,LOGC,"",6466783.0,54709000.0,0.7702,0.5369,42,0.0,0.0,,27.5962065,Q4 2018,HEALTH CARE,"","",10.4
