Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Springworks therapeutics inc,SWTX,"",6028307.0,373634000.0,4.8034,4.2029,1,0.0,0.0,,12.2404124,Q3 2019,HEALTH CARE,"","",21.68
Bristol-myers squibb co,BMY,"",4339800.0,270587000.0,3.4787,2.9362,2,-175600.0,-3.888913,reduction,0.1955178,Q2 2007,HEALTH CARE,"","",61.45
Horizon therapeutics plc,HZNP,"",2500055.0,269406000.0,3.4635,3.1424,3,-110300.0,-4.225479,reduction,1.1022149,Q4 2019,HEALTH CARE,"","",42.13
Boston scientific inc.,BSX,"",5552300.0,235862000.0,3.0322,2.7817,4,-281300.0,-4.822065,reduction,0.3896371,Q2 2020,HEALTH CARE,"","",35.52
Theseus pharmaceuticals inc,THRX,"",16838668.0,213514000.0,2.7449,,5,16838668.0,,new,43.5077908,Q4 2021,HEALTH CARE,"","",12.68
Edgewise therapeutics inc,EWTX,"",13944680.0,213075000.0,2.7393,2.5439,6,0.0,0.0,,28.2877419,Q1 2021,HEALTH CARE,"","",32.5
Mirati therapeutics inc,MRTX,"",1426400.0,209239000.0,2.69,2.6698,7,53200.0,3.874163,addition,2.7527931,Q3 2019,HEALTH CARE,"","",118.6368
Pmv pharmaceuticals  inc.,PMVP,"",7330423.0,169333000.0,2.1769,2.4007,8,0.0,0.0,,16.1532962,Q3 2020,HEALTH CARE,"","",35.5
Pfizer  inc.,PFE,"",2615400.0,154439000.0,1.9855,,9,2615400.0,,new,0.0465965,Q4 2021,HEALTH CARE,"","",59.05
Humana  inc.,HUM,"",318300.0,147647000.0,1.8982,1.4327,11,-16700.0,-4.985075,reduction,0.2476382,Q2 2018,HEALTH CARE,"","",333.45
Abbvie inc,ABBV,"",1068800.0,144716000.0,1.8605,1.6841,12,-351800.0,-24.764184,reduction,0.0604807,Q1 2020,HEALTH CARE,"","",101.3
Vertex pharmaceuticals  inc.,VRTX,"",658100.0,144519000.0,1.8579,1.7491,13,-219300.0,-24.994301,reduction,0.2588378,Q4 2012,HEALTH CARE,"","",148.46
Edwards lifesciences corp.,EW,"",1076200.0,139422000.0,1.7924,1.4014,14,-50200.0,-4.456676,reduction,0.1723755,Q1 2016,HEALTH CARE,"","",53.22
Merck & co,MRK,"",1779300.0,136366000.0,1.7531,3.0809,15,-1953100.0,-52.328261,reduction,0.0704410,Q1 2016,HEALTH CARE,"","",63.65
Unitedhealth group inc.,UNH,"",271000.0,136080000.0,1.7494,1.6734,16,-118700.0,-30.459328,reduction,0.0287731,Q4 2020,HEALTH CARE,"","",351.35
Intuitive surgical inc,ISRG,"",373800.0,134306000.0,1.7266,1.5252,17,-45000.0,-10.744986,reduction,0.1046365,Q4 2013,HEALTH CARE,"","",135.78
Natera inc,NTRA,"",1413985.0,132052000.0,1.6977,1.9262,18,-158815.0,-10.097597,reduction,1.4947806,Q3 2015,HEALTH CARE,"","",28.02
Adicet bio  inc,ACET,"",7447141.0,130250000.0,1.6745,0.6232,19,214285.0,2.962661,addition,23.3047602,Q3 2020,HEALTH CARE,"","",47.9185
Arcutis biotherapeutics  inc.,ARQT,"",6073850.0,125972000.0,1.6195,1.5947,20,0.0,0.0,,12.0763822,Q1 2020,HEALTH CARE,"","",29.42
Prelude therapeutics inc.,PRLD,"",10039691.0,124994000.0,1.6069,3.4479,21,0.0,0.0,,21.2636157,Q3 2020,HEALTH CARE,"","",30.13
Stryker corp.,SYK,"",465300.0,124431000.0,1.5997,0.9779,22,127900.0,37.907528,addition,0.1233902,Q1 2020,HEALTH CARE,"","",232.353
Guardant health inc,GH,"",1227400.0,122765000.0,1.5783,1.6862,23,0.0,0.0,,1.2074012,Q3 2020,HEALTH CARE,"","",134.28
Iovance biotherapeutics inc,IOVA,"",6337700.0,120987000.0,1.5554,1.8009,24,-307400.0,-4.625965,reduction,4.0393471,Q1 2015,HEALTH CARE,"","",11.68
Spdr(r) s&p(r) biotech etf-spdr(r) s&p(r) biotech etf,XBI,"",1009700.0,113046000.0,1.4533,1.4723,25,-56000.0,-5.254762,reduction,No Data,Q2 2021,HEALTH CARE,"","",134.22
Seagen inc,SGEN,"",655600.0,101356000.0,1.303,0.5001,26,387600.0,144.626866,addition,0.3585339,Q3 2021,HEALTH CARE,"","",160.8135
Turning point therapeutics inc,TPTX,"",2106450.0,100478000.0,1.2917,1.7239,27,-254877.0,-10.793804,reduction,4.2572169,Q2 2019,HEALTH CARE,"","",40.5
Hca healthcare inc,HCA,"",389500.0,100070000.0,1.2865,0.517,28,195700.0,100.980392,addition,0.1252320,Q3 2021,HEALTH CARE,"","",249.8546
Tricida inc,TCDA,"",10280947.0,98286000.0,1.2636,0.4903,29,666667.0,6.934133,addition,20.3794660,Q2 2018,HEALTH CARE,"","",28.7587
Keros therapeutics  inc.,KROS,"",1679417.0,98263000.0,1.2633,0.7301,30,0.0,0.0,,7.1774077,Q2 2020,HEALTH CARE,"","",37.51
Crinetics pharmaceuticals inc,CRNX,"",3196876.0,90823000.0,1.1676,0.6933,31,200000.0,6.673616,addition,6.7302814,Q3 2018,HEALTH CARE,"","",25.2602
Meiragtx holdings plc,MGTX,"",3727466.0,88490000.0,1.1376,0.5943,32,-375459.0,-9.151008,reduction,8.3860099,Q3 2018,HEALTH CARE,"","",16.26
Dexcom inc,DXCM,"",152900.0,82100000.0,1.0555,1.3703,33,-75100.0,-32.938596,reduction,0.1577557,Q4 2018,HEALTH CARE,"","",223.59
Neurocrine biosciences inc.,NBIX,"",931915.0,79371000.0,1.0204,1.2564,34,-260100.0,-21.820195,reduction,0.9823416,Q1 2012,HEALTH CARE,"","",87.13
Biomarin pharmaceutical inc,BMRN,"",860880.0,76059000.0,0.9778,0.0942,35,749980.0,676.266907,addition,0.4689057,Q3 2021,HEALTH CARE,"","",86.9252
Sinovac biotech ltd,SVA1,"",2839500.0,72700000.0,0.9346,0.8616,36,0.0,0.0,,N/A,Q4 2012,HEALTH CARE,"","",4.37
Zimmer biomet holdings inc,ZBH,"",564300.0,71689000.0,0.9216,1.0629,37,-96500.0,-14.603511,reduction,0.2701189,Q3 2021,HEALTH CARE,"","",146.36
Repare therapeutics inc.,RPTX,"",3322488.0,70071000.0,0.9008,0.9581,38,0.0,0.0,,7.9609044,Q2 2020,HEALTH CARE,"","",31.02
