Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Amicus therapeutics inc,FOLD,"",25182364.0,379750000.0,6.1537,6.0602,1,0.0,0.0,,9.7733190,Q1 2014,HEALTH CARE,"","",6.68
Global blood therapeutics inc,GBT,"",5842100.0,368811000.0,5.9764,8.0712,2,-223626.0,-3.686715,reduction,9.5209031,Q3 2015,HEALTH CARE,"","",32.85
Travere therapeutics inc,TVTX,PRN,45000000.0,349979000.0,5.6712,0.912,3,0.0,0.0,,N/A,Q1 2020,MATERIALS,"","",
Iovance biotherapeutics inc,IOVA,"",11809494.0,324170000.0,5.253,9.0985,4,139437.0,1.194827,addition,8.0642140,Q1 2014,HEALTH CARE,"","",13.9019
Mirati therapeutics inc,MRTX,"",2771050.0,316371000.0,5.1266,6.6457,5,-548400.0,-16.520809,reduction,6.2213895,Q4 2017,HEALTH CARE,"","",87.85
Neurocrine biosciences inc.,NBIX,"",2141410.0,261252000.0,4.2335,6.9051,6,-921853.0,-30.093825,reduction,2.2962983,Q2 2010,HEALTH CARE,"","",39.93
Cytokinetics inc note 4.000%11/1,PRN-CYTO,PRN,10000000.0,238260000.0,3.8609,,7,10000000.0,,new,N/A,Q2 2020, ,"","",
Bridgebio pharma inc,BBIO,"",6706268.0,218691000.0,3.5438,5.0652,8,0.0,0.0,,5.5254745,Q2 2019,HEALTH CARE,"","",26.97
Kodiak sciences inc,KOD,"",3513572.0,190154000.0,3.0814,4.5514,9,-149985.0,-4.093972,reduction,7.8984194,Q4 2018,HEALTH CARE,"","",16.45
Vbi vaccines inc,VBIV,"",55042465.0,170631000.0,2.765,1.1369,10,9090909.0,19.78368,addition,23.8642306,Q1 2015,MATERIALS,"","",32.8703
Collegium pharmaceutical inc note 2.625% 2/1,PRN-COLL,PRN,17500000.0,157227000.0,2.5478,,11,17500000.0,,new,N/A,Q2 2020, ,"","",
Athenex inc,ATNX,"",11532467.0,155935000.0,2.5269,2.3248,12,0.0,0.0,,14.1112165,Q1 2018,HEALTH CARE,"","",16.47
Springworks therapeutics inc,SWTX,"",3514358.0,147603000.0,2.3918,2.4502,13,30000.0,0.860991,addition,8.1709323,Q3 2019,HEALTH CARE,"","",22.6466
Myokardia inc,MYOK1,"",1395017.0,134787000.0,2.1842,1.6046,14,80808.0,6.148794,addition,2.6319529,Q4 2015,HEALTH CARE,"","",40.2463
Zogenix inc,ZGNX,"",4907139.0,132542000.0,2.1478,2.224,15,1454218.0,42.115589,addition,8.8671444,Q3 2016,HEALTH CARE,"","",22.6825
Zymeworks inc,ZYME,"",3580999.0,129166000.0,2.0931,3.284,16,20000.0,0.56164,addition,9.1098341,Q2 2017,HEALTH CARE,"","",24.7436
Nevro corp note 2.750% 4/0,DEBT-NEVR,PRN,9000000.0,121500000.0,1.9688,,17,9000000.0,,new,N/A,Q2 2020, ,"","",
Nevro corp,NVRO,"",899972.0,107520000.0,1.7423,2.7985,18,-192096.0,-17.590113,reduction,2.6228338,Q1 2019,HEALTH CARE,"","",74.8
Quotient ltd,QTNT,"",13289054.0,98338000.0,1.5935,1.3671,19,0.0,0.0,,16.4789379,Q2 2014,HEALTH CARE,"","",7.75
Meiragtx holdings plc,MGTX,"",6433277.0,80544000.0,1.3052,2.2519,20,0.0,0.0,,17.2183483,Q2 2018,HEALTH CARE,"","",12.92
Kadmon holdings inc,KDMN,"",15711334.0,80442000.0,1.3035,1.7145,21,0.0,0.0,,9.1805558,Q3 2016,HEALTH CARE,"","",4.46
Frequency therapeutics inc,FREQ,"",3034296.0,70547000.0,1.1432,1.4075,22,0.0,0.0,,9.0947386,Q4 2019,HEALTH CARE,"","",17.53
