Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mirati therapeutics inc,MRTX,"",3435575.0,570477000.0,8.3286,5.1266,1,664525.0,23.980982,addition,6.8327389,Q4 2017,HEALTH CARE,"","",102.9758
Travere therapeutics inc,TVTX,PRN,45000000.0,390119000.0,5.6955,5.6712,2,0.0,0.0,,N/A,Q1 2020,MATERIALS,"","",
Amicus therapeutics inc,FOLD,"",25122048.0,354723000.0,5.1788,6.1537,3,-60316.0,-0.239517,reduction,9.6405382,Q1 2014,HEALTH CARE,"","",6.68
Iovance biotherapeutics inc,IOVA,"",10085632.0,332019000.0,4.8473,5.253,4,-1723862.0,-14.597255,reduction,6.8755984,Q1 2014,HEALTH CARE,"","",13.9
Global blood therapeutics inc,GBT,"",5800996.0,319867000.0,4.6699,5.9764,5,-41104.0,-0.703583,reduction,9.3872652,Q3 2015,HEALTH CARE,"","",32.85
Bridgebio pharma inc,BBIO,"",6706268.0,251619000.0,3.6735,3.5438,6,0.0,0.0,,5.4714576,Q2 2019,HEALTH CARE,"","",26.97
Cytokinetics inc note 4.000%11/1,PRN-CYTO,PRN,9770000.0,218301000.0,3.1871,3.8609,7,-230000.0,-2.3,reduction,N/A,Q2 2020, ,"","",
Zymeworks inc,ZYME,"",4400999.0,204999000.0,2.9929,2.0931,8,820000.0,22.898638,addition,9.6030075,Q2 2017,HEALTH CARE,"","",28.8093
Myokardia inc,MYOK1,"",1395017.0,190183000.0,2.7766,2.1842,9,0.0,0.0,,2.6161685,Q4 2015,HEALTH CARE,"","",40.25
Springworks therapeutics inc,SWTX,"",3481148.0,165946000.0,2.4227,2.3918,10,-33210.0,-0.944981,reduction,7.1383045,Q3 2019,HEALTH CARE,"","",22.65
Collegium pharmaceutical inc note 2.625% 2/1,PRN-COLL,PRN,17500000.0,163765000.0,2.3909,2.5478,11,0.0,0.0,,N/A,Q2 2020, ,"","",
