Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",53729171.0,3764803000.0,8.1955,7.0967,1,2590046.0,5.064705,addition,4.0112670,Q4 2014,CONSUMER DISCRETIONARY,"","",31.7127
Microsoft corp.,MSFT,"",8482234.0,2852745000.0,6.2101,7.1117,2,-4649500.0,-35.406596,reduction,0.1129762,Q4 2016,INFORMATION TECHNOLOGY,"","",113.35
Sea ltd adr,SE,"",11390139.0,2548088000.0,5.5469,6.3762,3,976239.0,9.374384,addition,2.8476838,Q1 2018,INFORMATION TECHNOLOGY,"","",73.4829
Nu holdings ltd,NU,"",265981658.0,2494908000.0,5.4311,,4,265981658.0,,new,N/A,Q4 2021,INFORMATION TECHNOLOGY,"","",9.38
Snowflake  inc.,SNOW,"",6020669.0,2039502000.0,4.4397,3.0046,5,848915.0,16.41445,addition,1.9656118,Q3 2020,INFORMATION TECHNOLOGY,"","",269.5919
Doordash  inc.,DASH,"",11643634.0,1733737000.0,3.7741,4.3708,6,597400.0,5.408178,addition,3.6654391,Q4 2020,CONSUMER DISCRETIONARY,"","",155.1803
Meta platforms  inc.,FB,"",5053137.0,1699623000.0,3.6999,3.2945,7,0.0,0.0,,0.2135479,Q4 2016,COMMUNICATIONS,"","",165.55
Carvana co,CVNA,"",7262905.0,1683469000.0,3.6647,3.5613,8,1114928.0,18.134876,addition,8.4859646,Q1 2019,CONSUMER DISCRETIONARY,"","",98.0784
Crowdstrike holdings inc,CRWD,"",7537000.0,1543201000.0,3.3593,3.5585,9,0.0,0.0,,3.6199508,Q2 2019,INFORMATION TECHNOLOGY,"","",111.48
Servicenow inc,NOW,"",2206240.0,1432092000.0,3.1175,2.6373,10,0.0,0.0,,1.1086633,Q3 2017,INFORMATION TECHNOLOGY,"","",407.22
Amazon.com inc.,AMZN,"",353292.0,1177996000.0,2.5643,3.5836,11,-214578.0,-37.786465,reduction,0.0696626,Q2 2015,CONSUMER DISCRETIONARY,"","",913.03
Workday inc,WDAY,"",4218750.0,1152478000.0,2.5088,2.0252,12,0.0,0.0,,2.1858808,Q3 2019,COMMUNICATIONS,"","",169.55
Zoom video communications inc,ZM,"",6130493.0,1127459000.0,2.4543,2.3935,13,1365810.0,28.665286,addition,2.5307539,Q2 2019,INFORMATION TECHNOLOGY,"","",268.657
Shopify inc,SHOP,"",806850.0,1111347000.0,2.4193,2.2967,14,-75000.0,-8.504848,reduction,0.7102095,Q2 2015,COMMUNICATIONS,"","",1168.08
Docusign inc,DOCU,"",6927480.0,1055124000.0,2.2969,3.6141,15,-380720.0,-5.209491,reduction,3.5009105,Q2 2018,INFORMATION TECHNOLOGY,"","",222.99
Datadog inc,DDOG,"",5302737.0,944470000.0,2.056,1.423,16,62300.0,1.188832,addition,2.0617419,Q3 2019,INFORMATION TECHNOLOGY,"","",55.7744
Atlassian corp plc,TEAM,"",2465400.0,940032000.0,2.0463,1.8538,17,0.0,0.0,,1.7955284,Q4 2015,INFORMATION TECHNOLOGY,"","",132.09
Ringcentral inc,RNG,"",4951000.0,927570000.0,2.0192,1.6516,18,998000.0,25.246648,addition,6.0294769,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",151.1175
Pinduoduo inc,PDD,"",15784450.0,920233000.0,2.0032,2.4477,19,1731384.0,12.320329,addition,1.2594424,Q3 2018,CONSUMER DISCRETIONARY,"","",57.8994
Uber technologies inc,UBER,"",18030075.0,756001000.0,1.6457,1.7852,20,-2713423.0,-13.080836,reduction,0.9688869,Q2 2019,CONSUMER DISCRETIONARY,"","",42.27
Coinbase global inc,COIN,"",2869434.0,724159000.0,1.5764,1.1697,21,192790.0,7.202676,addition,1.8483444,Q2 2021,INFORMATION TECHNOLOGY,"","",252.7711
Netflix inc,NFLX,"",1086490.0,654545000.0,1.4249,1.2739,22,0.0,0.0,,0.2459263,Q1 2017,COMMUNICATIONS,"","",256.29
Procore technologies inc,PCOR,"",7889130.0,630894000.0,1.3734,1.6348,23,-1636309.0,-17.178305,reduction,5.9757976,Q2 2021,INFORMATION TECHNOLOGY,"","",94.95
