Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",50650366.0,2051340000.0,12.351,10.2744,1,-2200000.0,-4.162696,reduction,3.4488306,Q4 2014,CONSUMER DISCRETIONARY,"","",29.17
Microsoft corp.,MSFT,"",10793784.0,1702288000.0,10.2494,9.4707,2,-89316.0,-0.820685,reduction,0.1419106,Q4 2016,INFORMATION TECHNOLOGY,"","",82.32
Meta platforms  inc.,FB,"",8750500.0,1459583000.0,8.7881,9.4228,3,431000.0,5.1806,addition,0.3069507,Q4 2016,COMMUNICATIONS,"","",165.5545
Apollo glbl management llc,APO,"",33913500.0,1136102000.0,6.8404,9.9158,4,-3750000.0,-9.956589,reduction,14.6803458,Q1 2017,FINANCE,"","",25.13
Amazon.com inc.,AMZN,"",552320.0,1076869000.0,6.4838,6.2408,5,-59720.0,-9.757532,reduction,0.1107908,Q2 2015,CONSUMER DISCRETIONARY,"","",694.13
Alibaba group holding ltd adr,BABA,"",4491662.0,873538000.0,5.2595,4.1148,6,976000.0,27.761486,addition,0.1674292,Q3 2016,COMMUNICATIONS,"","",159.6573
Ringcentral inc,RNG,"",3326370.0,704891000.0,4.2441,3.0689,7,29170.0,0.88469,addition,3.8188253,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",114.2639
Netflix inc,NFLX,"",1551000.0,582401000.0,3.5066,2.7693,8,0.0,0.0,,0.3526571,Q1 2017,COMMUNICATIONS,"","",248.52
Transdigm group inc,TDG,"",1757245.0,562652000.0,3.3877,6.3843,9,-308755.0,-14.944579,reduction,3.2730880,Q4 2016,INDUSTRIALS,"","",269.66
Sea ltd adr,SE,"",8359235.0,370398000.0,2.2301,1.8553,10,0.0,0.0,,1.7935341,Q1 2018,INFORMATION TECHNOLOGY,"","",14.66
Spotify technology sa,SPOT,"",2738480.0,332561000.0,2.0023,2.872,11,-741722.0,-21.312613,reduction,1.4856725,Q2 2018,COMMUNICATIONS,"","",168.23
