Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
United airlines holdings inc,UAL,"",11814776.0,1044544000.0,25.4868,28.3592,1,-14507.0,-0.122636,reduction,4.5986206,Q4 2011,TRANSPORTS,"","",54.5
Meta platforms  inc.,FB,"",3753400.0,668405000.0,16.3091,19.8363,2,0.0,0.0,,0.1315621,Q1 2018,COMMUNICATIONS,"","",141.61
Salesforce.com inc.,CRM,"",4133903.0,613637000.0,14.9727,1.1633,3,3853903.0,1376.393929,addition,0.5327195,Q4 2016,INFORMATION TECHNOLOGY,"","",145.8878
Expedia group inc,EXPE,"",3399693.0,456953000.0,11.1496,12.3842,4,0.0,0.0,,2.2720664,Q4 2013,CONSUMER DISCRETIONARY,"","",105.94
Uber technologies inc,UBER,"",14000000.0,426580000.0,10.4085,3.2763,5,11420295.0,442.697712,addition,0.8235294,Q2 2019,CONSUMER DISCRETIONARY,"","",33.4017
Pinduoduo inc,PDD,"",8690000.0,279992000.0,6.8318,3.4301,6,2618099.0,43.118275,addition,0.7801278,Q3 2018,CONSUMER DISCRETIONARY,"","",25.7079
Booking holdings inc. (priceline),BKNG,"",136402.0,267704000.0,6.532,7.0022,7,0.0,0.0,,0.2780310,Q4 2011,CONSUMER DISCRETIONARY,"","",1483.12
Microsoft corp.,MSFT,"",525000.0,72991000.0,1.781,1.8341,8,25000.0,5.0,addition,0.0068759,Q1 2018,INFORMATION TECHNOLOGY,"","",103.1538
Alibaba group holding ltd adr,BABA,"",294350.0,49224000.0,1.2011,0.8252,9,116500.0,65.504639,addition,0.0115685,Q2 2017,COMMUNICATIONS,"","",163.0247
Mongodb inc,MDB,"",269401.0,32457000.0,0.7919,0.6663,10,109401.0,68.375625,addition,0.4868986,Q4 2017,INFORMATION TECHNOLOGY,"","",81.8521
Elastic nv,ESTC,"",300000.0,24702000.0,0.6027,0.6133,11,0.0,0.0,,0.3981420,Q4 2018,INFORMATION TECHNOLOGY,"","",74.3
Okta inc,OKTA,"",250000.0,24615000.0,0.6006,0.6764,12,50000.0,25.0,addition,0.2190293,Q2 2017,INFORMATION TECHNOLOGY,"","",42.188
Nutanix inc,NTNX,"",906444.0,23794000.0,0.5806,0.9115,13,-376774.0,-29.361652,reduction,0.4874403,Q3 2018,INFORMATION TECHNOLOGY,"","",38.35
Trivago n.v. class a adr,TRVG,"",5221028.0,21458000.0,0.5236,0.6019,14,0.0,0.0,,1.4838368,Q3 2017,COMMUNICATIONS,"","",6.26
Dynatrace inc,DT,"",750000.0,14003000.0,0.3417,,15,750000.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,"","",18.67
Amazon.com inc.,AMZN,"",8000.0,13887000.0,0.3388,0.4148,16,0.0,0.0,,0.0016173,Q4 2016,CONSUMER DISCRETIONARY,"","",833.19
Farfetch ltd,FTCH,"",1066709.0,9216000.0,0.2249,,17,1066709.0,,new,0.3557357,Q3 2019,CONSUMER DISCRETIONARY,"","",8.64
Spirit airlines inc,SAVE,"",225000.0,8168000.0,0.1993,0.2941,18,0.0,0.0,,0.3287551,Q1 2018,TRANSPORTS,"","",52.86
