Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Doordash  inc.,DASH,"",9659319.0,1722546000.0,6.6711,6.6557,1,401135.0,4.332761,addition,3.0407728,Q4 2020,CONSUMER DISCRETIONARY,"","",143.6142
Amazon.com inc.,AMZN,"",434399.0,1494402000.0,5.7875,4.5029,2,168944.0,63.643179,addition,0.0857749,Q4 2009,CONSUMER DISCRETIONARY,"","",2241.1977
Moderna inc,MRNA,"",6140904.0,1442990000.0,5.5884,0.9029,3,4883219.0,388.270433,addition,1.5213576,Q1 2021,HEALTH CARE,"","",213.6742
Tesla inc,TSLA,"",1717477.0,1167369000.0,4.521,5.9539,4,91552.0,5.630764,addition,0.1734799,Q1 2020,CONSUMER DISCRETIONARY,"","",411.7667
Square inc,SQ,"",4559178.0,1111528000.0,4.3047,4.8297,5,679147.0,17.503649,addition,1.1472627,Q2 2019,FINANCE,"","",127.7015
Paypal holdings inc,PYPL,"",3725996.0,1086053000.0,4.2061,3.909,6,789877.0,26.902077,addition,0.3170974,Q1 2016,COMMUNICATIONS,"","",152.3412
Snowflake  inc.,SNOW,"",4378996.0,1058841000.0,4.1007,6.5901,7,-863780.0,-16.475623,reduction,1.4788909,Q3 2020,INFORMATION TECHNOLOGY,"","",246.27
Walt disney co. (the),DIS,"",5868174.0,1031449000.0,3.9946,6.1527,8,-213951.0,-3.517701,reduction,0.3229370,Q3 2019,COMMUNICATIONS,"","",121.98
Meta platforms  inc.,FB,"",2859130.0,994148000.0,3.8501,3.4435,9,726559.0,34.069628,addition,0.1199394,Q3 2013,COMMUNICATIONS,"","",185.3839
Sunrun inc,RUN,"",17087510.0,953141000.0,3.6913,5.6413,10,73649.0,0.432876,addition,8.2976101,Q3 2020,ENERGY,"","",72.7067
Uipath inc,PATH,"",11332361.0,769807000.0,2.9813,,11,11332361.0,,new,2.6578189,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
