Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",24924588.0,6026765000.0,47.103,52.8279,1,-7296492.0,-22.645088,reduction,8.4176251,Q3 2020,INFORMATION TECHNOLOGY,"","",244.24
Meta platforms  inc.,FB,"",3753400.0,1305095000.0,10.2001,7.9052,2,0.0,0.0,,0.1574537,Q1 2018,COMMUNICATIONS,"","",141.61
Uber technologies inc,UBER,"",24500000.0,1227940000.0,9.5971,11.0744,3,-3911000.0,-13.765795,reduction,1.3165630,Q2 2019,CONSUMER DISCRETIONARY,"","",30.9
Peloton interactive inc,PTON,"",5200000.0,644904000.0,5.0403,0.6834,4,4350000.0,511.764706,addition,1.9349243,Q1 2021,CONSUMER DISCRETIONARY,"","",122.1271
Microsoft corp.,MSFT,"",1763135.0,477633000.0,3.733,2.9726,5,0.0,0.0,,0.0234619,Q1 2018,INFORMATION TECHNOLOGY,"","",180.98
Zoom video communications inc,ZM,"",900000.0,348327000.0,2.7224,1.5858,6,209750.0,30.387541,addition,0.3800962,Q2 2020,INFORMATION TECHNOLOGY,"","",332.1091
Shopify inc,SHOP,"",200000.0,292196000.0,2.2837,0.795,7,99525.0,99.054491,addition,0.1765169,Q3 2020,COMMUNICATIONS,"","",1265.5461
Alibaba group holding ltd adr,BABA,"",1152000.0,261251000.0,2.0418,2.0299,8,-100000.0,-7.98722,reduction,0.0423813,Q2 2017,COMMUNICATIONS,"","",215.62
Roblox corp. class a,RBLX,"",2777777.0,249944000.0,1.9535,1.2877,9,0.0,0.0,,0.5380743,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Crowdstrike holdings inc,CRWD,"",970000.0,243771000.0,1.9052,1.2659,10,0.0,0.0,,0.4868400,Q2 2019,INFORMATION TECHNOLOGY,"","",98.22
Unity software inc.,U,"",2098175.0,230443000.0,1.8011,2.5439,11,-1448368.0,-40.838868,reduction,0.7426679,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Uipath inc,PATH,"",3004790.0,204115000.0,1.5953,,12,3004790.0,,new,0.7047241,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Farfetch ltd,FTCH,"",3779409.0,190331000.0,1.4876,1.6604,13,-600000.0,-13.700479,reduction,1.2138699,Q3 2019,CONSUMER DISCRETIONARY,"","",15.78
United airlines holdings inc,UAL,"",2870580.0,150103000.0,1.1731,1.7081,14,-1280699.0,-30.850709,reduction,0.8870414,Q4 2011,TRANSPORTS,"","",54.5
Okta inc,OKTA,"",525000.0,128457000.0,1.004,0.8669,15,-25000.0,-4.545455,reduction,0.3607613,Q2 2017,INFORMATION TECHNOLOGY,"","",142.19
Coupang inc,CPNG,"",2642857.0,110524000.0,0.8638,0.9326,16,0.0,0.0,,0.1696578,Q1 2021,CONSUMER DISCRETIONARY,"","",49.35
Amazon.com inc.,AMZN,"",25045.0,86159000.0,0.6734,0.5541,17,0.0,0.0,,0.0049453,Q4 2016,CONSUMER DISCRETIONARY,"","",2940.68
Sea ltd adr,SE,"",300000.0,82380000.0,0.6439,0.7981,18,-200000.0,-40.0,reduction,0.0816520,Q2 2020,INFORMATION TECHNOLOGY,"","",170.29
Confluent inc,CFLT,"",1725000.0,81938000.0,0.6404,,19,1725000.0,,new,6.2551426,Q2 2021,INFORMATION TECHNOLOGY,"","",47.5
Pinduoduo inc,PDD,"",572000.0,72655000.0,0.5678,0.5476,20,0.0,0.0,,0.0456399,Q3 2018,CONSUMER DISCRETIONARY,"","",25.71
Bumble inc,BMBL,"",1050000.0,60480000.0,0.4727,0.4684,21,0.0,0.0,,0.8764678,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Expedia group inc,EXPE,"",367210.0,60116000.0,0.4698,3.0937,22,-2146358.0,-85.390887,reduction,0.2527317,Q4 2013,CONSUMER DISCRETIONARY,"","",97.29
Sofi technologies inc,SOFI,"",2500000.0,47925000.0,0.3746,,23,2500000.0,,new,0.3143767,Q2 2021,FINANCE,"","",19.17
Qualtrics intl inc,XM,"",1000000.0,38250000.0,0.2989,0.2353,24,0.0,0.0,,1.0934940,Q1 2021,INFORMATION TECHNOLOGY,"","",32.91
Digitalocean holdings inc,DOCN,"",650000.0,36134000.0,0.2824,0.1958,25,0.0,0.0,,0.6055516,Q1 2021,INFORMATION TECHNOLOGY,"","",42.13
Ccc intelligent solutions holdings inc,CCCS,"",3500000.0,34860000.0,0.2725,0.254,26,0.0,0.0,,No Data,Q4 2020,FINANCE,"","",13.27
23andme holding co,ME,"",2720243.0,31800000.0,0.2485,,27,2720243.0,,new,2.9353289,Q2 2021,HEALTH CARE,"","",2.4604
Booking holdings inc. (priceline),BKNG,"",10702.0,23417000.0,0.183,0.1783,28,0.0,0.0,,0.0260644,Q4 2011,CONSUMER DISCRETIONARY,"","",1483.12
Monday.com ltd,MNDY,"",100000.0,22359000.0,0.1747,,29,100000.0,,new,0.2287063,Q2 2021,INFORMATION TECHNOLOGY,"","",5.4471
Doubleverify holdings inc,DV,"",300000.0,12702000.0,0.0993,,30,300000.0,,new,0.1900524,Q2 2021,INFORMATION TECHNOLOGY,"","",42.34
Payoneer global inc,PAYO,"",1000000.0,10370000.0,0.081,,31,1000000.0,,new,0.2955502,Q2 2021,FINANCE,"","",10.37
Ccc intelligent solutions holdings inc,CCCS.WS,"",700000.0,1407000.0,0.011,0.008,32,0.0,0.0,,N/A,Q4 2020, ,"","",
Altimeter growth corp.,AGCUU,"",10000.0,123000.0,0.001,0.0009,33,0.0,0.0,,0.0200000,Q4 2020,FINANCE,"","",13.0
Square inc,SQ,"",0.0,0.0,,0.3247,"",-200000.0,-100.0,soldall,0.0000000,Q4 2020,FINANCE,"","",225.87
Airbnb  inc.,ABNB,"",0.0,0.0,,0.2665,"",-198320.0,-100.0,soldall,0.0000000,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Apple inc,AAPL,"",0.0,0.0,,0.3708,"",-424500.0,-100.0,soldall,0.0000000,Q1 2021,INFORMATION TECHNOLOGY,"","",122.15
Salesforce.com inc.,CRM,"",0.0,0.0,,2.2044,"",-1454989.0,-100.0,soldall,0.0000000,Q4 2016,INFORMATION TECHNOLOGY,"","",145.89
Coupa software inc,COUP,"",0.0,0.0,,0.273,"",-150000.0,-100.0,soldall,0.0000000,Q4 2020,INFORMATION TECHNOLOGY,"","",327.65
Oscar health  inc.,OSCR,"",0.0,0.0,,0.0865,"",-450000.0,-100.0,soldall,0.0000000,Q1 2021,FINANCE,"","",26.88
