Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Moderna inc,MRNA,"",6048926.0,2327990000.0,9.4701,5.5884,1,-91978.0,-1.497793,reduction,1.4985709,Q1 2021,HEALTH CARE,"","",213.67
Doordash  inc.,DASH,"",9455215.0,1947585000.0,7.9226,6.6711,2,-204104.0,-2.113027,reduction,2.9765205,Q4 2020,CONSUMER DISCRETIONARY,"","",143.61
Snowflake  inc.,SNOW,"",3911074.0,1182826000.0,4.8116,4.1007,3,-467922.0,-10.6856,reduction,1.2997920,Q3 2020,INFORMATION TECHNOLOGY,"","",246.27
Walt disney co. (the),DIS,"",5850227.0,989683000.0,4.026,3.9946,4,-17947.0,-0.305836,reduction,0.3219493,Q3 2019,COMMUNICATIONS,"","",121.98
Tesla inc,TSLA,"",1126925.0,873908000.0,3.555,4.521,5,-590552.0,-34.384856,reduction,0.1138291,Q1 2020,CONSUMER DISCRETIONARY,"","",411.77
Meta platforms  inc.,FB,"",2445357.0,829930000.0,3.3761,3.8501,6,-413773.0,-14.47199,reduction,0.1025818,Q3 2013,COMMUNICATIONS,"","",185.38
Kanzhun ltd,BZ,"",23063530.0,814190000.0,3.3121,0.1579,7,22034955.0,2142.279853,addition,N/A,Q2 2021,INFORMATION TECHNOLOGY,"","",
Paypal holdings inc,PYPL,"",2903151.0,755429000.0,3.073,4.2061,8,-822845.0,-22.083894,reduction,0.2470699,Q1 2016,COMMUNICATIONS,"","",152.34
Square inc,SQ,"",3124271.0,749325000.0,3.0482,4.3047,9,-1434907.0,-31.472932,reduction,0.7861855,Q2 2019,FINANCE,"","",127.7
Amazon.com inc.,AMZN,"",215653.0,708429000.0,2.8818,5.7875,10,-218746.0,-50.356009,reduction,0.0425821,Q4 2009,CONSUMER DISCRETIONARY,"","",2241.2
Sea ltd adr,SE,"",2204307.0,702579000.0,2.858,2.7553,11,-386544.0,-14.919577,reduction,0.5511056,Q2 2019,INFORMATION TECHNOLOGY,"","",37.92
Marqeta inc,MQ,"",28449054.0,612409000.0,2.4912,0.3266,12,25444638.0,846.907951,addition,33.6872375,Q2 2021,INFORMATION TECHNOLOGY,"","",11.9051
Endeavor group holdings  inc.,EDR,"",20833333.0,597292000.0,2.4297,2.6829,13,-4166666.0,-16.666665,reduction,7.9673748,Q2 2021,COMMUNICATIONS,"","",27.71
Uipath inc,PATH,"",11332361.0,596196000.0,2.4253,2.9813,14,0.0,0.0,,2.6288145,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Jd.com inc adr,JD,"",8148654.0,588659000.0,2.3946,0.2692,15,7277722.0,835.624595,addition,0.6083553,Q3 2019,CONSUMER DISCRETIONARY,"","",73.0491
