Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",51650366.0,4008585000.0,11.2816,12.0531,1,0.0,0.0,,3.3212646,Q4 2014,CONSUMER DISCRETIONARY,"","",29.77
Microsoft corp.,MSFT,"",11413734.0,2400651000.0,6.7563,8.6894,2,402583.0,3.656139,addition,0.1509654,Q4 2016,INFORMATION TECHNOLOGY,"","",89.1408
Sunrun inc,RUN,"",29773257.0,2294625000.0,6.4579,2.2767,3,0.0,0.0,,15.0727434,Q1 2018,ENERGY,"","",13.57
Meta platforms  inc.,FB,"",8750500.0,2291756000.0,6.4498,7.7049,4,0.0,0.0,,0.3640022,Q4 2016,COMMUNICATIONS,"","",165.55
Amazon.com inc.,AMZN,"",604800.0,1904352000.0,5.3595,6.3441,5,11770.0,1.984723,addition,0.1205378,Q2 2015,CONSUMER DISCRETIONARY,"","",880.8805
Apollo glbl management llc,APO,"",33913500.0,1517629000.0,4.2711,6.5648,6,0.0,0.0,,14.8213091,Q1 2017,FINANCE,"","",25.13
Carvana co,CVNA,"",6012907.0,1341239000.0,3.7747,2.8026,7,0.0,0.0,,8.5194312,Q1 2019,CONSUMER DISCRETIONARY,"","",60.86
Alibaba group holding ltd adr,BABA,"",4478062.0,1316461000.0,3.705,3.7569,8,-13600.0,-0.302783,reduction,0.1655086,Q3 2016,COMMUNICATIONS,"","",159.66
Sea ltd adr,SE,"",8359235.0,1287657000.0,3.6239,3.4761,9,0.0,0.0,,1.7138779,Q1 2018,INFORMATION TECHNOLOGY,"","",14.66
Pinduoduo inc,PDD,"",14253066.0,1056865000.0,2.9744,2.0298,10,8155066.0,133.733454,addition,1.1901097,Q3 2018,CONSUMER DISCRETIONARY,"","",57.8494
Crowdstrike holdings inc,CRWD,"",7537000.0,1034981000.0,2.9128,1.9608,11,2495000.0,49.484332,addition,4.0870836,Q2 2019,INFORMATION TECHNOLOGY,"","",111.4845
Ringcentral inc,RNG,"",3326370.0,913454000.0,2.5708,3.6762,12,0.0,0.0,,4.1931980,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",114.26
Zoom video communications inc,ZM,"",1818300.0,854801000.0,2.4057,1.6035,13,187300.0,11.483752,addition,0.9336240,Q2 2019,INFORMATION TECHNOLOGY,"","",164.4063
Transdigm group inc,TDG,"",1757245.0,834902000.0,2.3497,3.0122,14,0.0,0.0,,3.2281005,Q4 2016,INDUSTRIALS,"","",269.66
Workday inc,WDAY,"",3704771.0,797007000.0,2.2431,2.1868,15,694771.0,23.082093,addition,2.0930910,Q3 2019,COMMUNICATIONS,"","",159.5736
Netflix inc,NFLX,"",1551000.0,775547000.0,2.1827,2.7367,16,0.0,0.0,,0.3510678,Q1 2017,COMMUNICATIONS,"","",248.52
Spotify technology sa,SPOT,"",3185589.0,772728000.0,2.1747,3.1893,17,0.0,0.0,,1.6802856,Q2 2018,COMMUNICATIONS,"","",180.86
Peloton interactive inc,PTON,"",7777658.0,771855000.0,2.1723,1.1873,18,2477750.0,46.750812,addition,3.0439403,Q1 2020,CONSUMER DISCRETIONARY,"","",54.3067
Servicenow inc,NOW,"",1488900.0,722117000.0,2.0323,1.1356,19,765900.0,105.93361,addition,0.7631471,Q3 2017,INFORMATION TECHNOLOGY,"","",355.5942
Salesforce.com inc.,CRM,"",2288700.0,575196000.0,1.6188,1.6923,20,-41000.0,-1.759883,reduction,0.2515055,Q4 2017,INFORMATION TECHNOLOGY,"","",156.91
Uber technologies inc,UBER,"",15538716.0,566852000.0,1.5953,1.2021,21,5564000.0,55.781037,addition,0.8809954,Q2 2019,CONSUMER DISCRETIONARY,"","",35.4465
Atlassian corp plc,TEAM,"",2762241.0,502148000.0,1.4132,1.0555,22,1252241.0,82.929868,addition,2.0900251,Q4 2015,INFORMATION TECHNOLOGY,"","",132.0934
Datadog inc,DDOG,"",4757000.0,485975000.0,1.3677,1.6039,23,0.0,0.0,,2.2864830,Q3 2019,INFORMATION TECHNOLOGY,"","",47.32
Gds holdings ltd adr,GDS,"",5730659.0,468940000.0,1.3198,1.7702,24,0.0,0.0,,3.0662059,Q2 2019,COMMUNICATIONS,"","",37.57
Twilio inc,TWLO,"",1891500.0,467371000.0,1.3153,1.6217,25,-14500.0,-0.760756,reduction,1.2628173,Q3 2018,INFORMATION TECHNOLOGY,"","",115.88
Mongodb inc,MDB,"",1911300.0,442485000.0,1.2453,1.6775,26,0.0,0.0,,3.2467005,Q4 2017,INFORMATION TECHNOLOGY,"","",132.5
Tal education group american depositary adr,TAL,"",5762873.0,438209000.0,1.2333,1.5281,27,0.0,0.0,,0.9598594,Q4 2015,CONSUMER DISCRETIONARY,"","",6.01
Elastic nv,ESTC,"",4019843.0,433701000.0,1.2206,1.4373,28,0.0,0.0,,4.6319854,Q4 2018,INFORMATION TECHNOLOGY,"","",65.62
Anaplan inc,PLAN,"",6800903.0,425601000.0,1.1978,1.1949,29,0.0,0.0,,4.8657294,Q3 2019,INFORMATION TECHNOLOGY,"","",36.44
