Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-03-23,13.25465488433838,13.25465488433838,13.25465488433838,13.25465488433838,1073,0.0,0.0
1998-03-24,13.438754523250982,13.760916709899902,13.438754523250982,13.760916709899902,116711,0.0,0.0
1998-03-25,13.945002836601912,13.968013763427734,13.806932755724208,13.968013763427734,27891,0.0,0.0
1998-03-26,13.875972466595911,13.898984909057615,13.73790383839173,13.898984909057615,76163,0.0,0.0
1998-03-27,13.852961034031791,13.852961034031791,13.39272877435748,13.576822280883787,847444,0.0,0.0
1998-03-30,13.392723167571145,13.553804165025303,13.162607887391154,13.231643676757812,384890,0.0,0.0
1998-03-31,13.300681391692564,13.415739061472914,13.07056605213186,13.185622215270996,644701,0.0,0.0
1998-04-01,12.886472702887438,12.932496072583955,12.426242019204713,12.840449333190918,1004918,0.0,0.0
1998-04-02,12.840452201624784,13.48477650802946,12.840452201624784,13.438753128051758,1046539,0.0,0.0
1998-04-03,13.392721546364232,13.714883502274414,13.16260629404,13.645849227905272,766990,0.0,0.0
1998-04-06,13.599827811957809,13.691874528646002,13.25465488433838,13.25465488433838,417715,0.0,0.0
1998-04-07,13.346703627300847,13.346703627300847,12.702379525945014,13.001530647277832,1516388,0.0,0.0
1998-04-08,13.001535984003809,13.070570307016636,12.725395678669086,12.955511093139648,602007,0.0,0.0
1998-04-09,12.978518879931904,13.277668510035523,12.702380180358888,12.702380180358888,711209,0.0,0.0
1998-04-13,12.518286527522704,12.74840259552002,12.426240552316091,12.74840259552002,1257864,0.0,0.0
1998-04-14,12.794422763209514,13.34669998310862,12.794422763209514,13.323687553405762,1577532,0.0,0.0
1998-04-15,13.714890206285135,13.714890206285135,13.438751467187844,13.691879272460938,596858,0.0,0.0
1998-04-16,13.68543008857525,13.68543008857525,12.925128081772872,12.971205711364746,422864,0.020975,0.0
1998-04-17,12.971203013237348,13.017283650177813,12.6025722481461,12.671690940856934,788444,0.0,0.0
1998-04-20,12.64865373485476,12.671692547780015,12.326101303100586,12.326101303100586,577120,0.0,0.0
1998-04-21,12.37218345372631,12.510420144573718,11.704039573669434,11.704039573669434,825346,0.0,0.0
1998-04-22,11.704030287328028,11.98050420389346,11.704030287328028,11.911385536193848,1218817,0.0,0.0
1998-04-23,11.750114489047656,11.842272758483888,11.611878593360094,11.842272758483888,976169,0.0,0.0
1998-04-24,11.796189284569897,12.02658335021276,11.796189284569897,11.980504989624023,862676,0.0,0.0
1998-04-27,11.911386317391326,12.02658335021276,11.796189284569897,11.980504989624023,861818,0.0,0.0
1998-04-28,12.003551177939611,12.441300775371229,11.980512360587236,12.280024528503418,305509,0.0,0.0
1998-04-29,12.37218344679987,12.37218344679987,12.118749639427104,12.210907936096191,948279,0.0,0.0
1998-04-30,12.187861724020648,12.256980413155503,11.796192169189451,11.796192169189451,1989240,0.0,0.0
1998-05-01,11.796191291907318,12.349136992697389,11.796191291907318,12.303058624267578,940341,0.0,0.0
1998-05-04,12.625608444213867,12.69472636425263,12.533450966084487,12.625608444213867,462340,0.0,0.0
1998-05-05,12.625608444213867,12.625608444213867,12.533450966084487,12.625608444213867,227844,0.0,0.0
1998-05-06,12.625611799437774,12.71777005629106,12.164823532104492,12.164823532104492,743605,0.0,0.0
1998-05-07,11.980507919315825,12.11874378911904,11.7501122888663,11.796192169189451,869542,0.0,0.0
1998-05-08,11.796194875018214,12.072668186509004,11.796194875018214,11.888352394104004,607156,0.0,0.0
1998-05-11,11.888352970944393,11.957470925054084,11.611879646038709,11.657958030700684,1053834,0.0,0.0
1998-05-12,11.634916195291057,11.72707369492619,11.243245124816896,11.243245124816896,1263871,0.0,0.0
1998-05-13,11.335405289744832,12.256982704166616,11.335405289744832,12.141785621643066,2205070,0.0,0.0
1998-05-14,12.049623748171866,12.118741670992971,11.750110235170013,12.07266330718994,356141,0.0,0.0
1998-05-15,12.072667721347775,12.349140267952627,11.911391503486568,12.233943939208984,380599,0.0,0.0
1998-05-18,12.326101354215533,12.533455951036393,12.28002221970717,12.349140167236328,539146,0.0,0.0
1998-05-19,12.39521925034312,12.533455899061568,12.303061735941949,12.326101303100586,433805,0.0,0.0
1998-05-20,12.418258001949852,13.063362068858504,12.418258001949852,13.040323257446287,652424,0.0,0.0
1998-05-21,13.017283650177813,13.017283650177813,12.625611812383044,12.671690940856934,607370,0.0,0.0
1998-05-22,12.717770406607777,12.717770406607777,12.510415077209473,12.510415077209473,535284,0.0,0.0
1998-05-26,12.62561132124333,12.671690447924728,12.418256759643556,12.418256759643556,1083870,0.0,0.0
1998-05-27,12.418256362765597,12.832966226944594,12.37217723755685,12.69472885131836,570040,0.0,0.0
1998-05-28,12.602571355134105,12.786887101735848,12.579532546762966,12.69472885131836,552233,0.0,0.0
1998-05-29,12.71776968619722,12.902084686073554,12.71776968619722,12.809927940368652,1080008,0.0,0.0
1998-06-01,12.625612424230884,13.08640222283346,12.579534047757289,12.832967758178713,758623,0.0,0.0
1998-06-02,12.856009061678357,12.902088201318588,12.533457346897146,12.602575302124023,502030,0.0,0.0
1998-06-03,12.487378961490386,12.717773151224602,12.487378961490386,12.602575302124023,761627,0.0,0.0
1998-06-04,12.464336540912452,12.879046440124512,12.372178282709797,12.879046440124512,895501,0.0,0.0
1998-06-05,12.83296736455325,12.97120324396726,12.83296736455325,12.902085304260254,871472,0.0,0.0
1998-06-08,12.902082053086978,12.94816117076912,12.326096853225774,12.372175216674805,915239,0.0,0.0
1998-06-09,12.026586724461954,12.187862163120496,11.957468032836914,11.957468032836914,1026587,0.0,0.0
1998-06-10,11.980512044306964,12.118747961705967,11.773156659741437,11.819235801696776,1434647,0.0,0.0
1998-06-11,11.842276264516842,11.957473381184082,11.657960425309094,11.704039573669434,797241,0.0,0.0
1998-06-12,11.842270541046108,11.93442803899267,11.634915982108035,11.796192169189451,916526,0.0,0.0
1998-06-15,11.704032631218094,11.773151312759651,11.473638534545898,11.473638534545898,642126,0.0,0.0
1998-06-16,11.519720323923863,12.07266767784107,11.519720323923863,11.842272758483888,700482,0.0,0.0
1998-06-17,11.865314189418608,12.072669573984136,11.819235801696776,11.819235801696776,1868881,0.0,0.0
1998-06-18,11.84227352886665,11.84227352886665,11.611879348754885,11.611879348754885,757765,0.0,0.0
1998-06-19,11.542757216087455,11.61187514339585,11.450598974032046,11.473638534545898,814833,0.0,0.0
1998-06-22,11.657951818904175,11.796189161932404,11.058926349380744,11.105006217956545,862676,0.0,0.0
1998-06-23,11.243250289671842,11.634921540069524,11.243250289671842,11.588842391967772,1113691,0.0,0.0
1998-06-24,11.491919854482765,11.722681045532228,11.422691043906978,11.722681045532228,1458676,0.023305,0.0
1998-06-25,11.630373075051164,11.7226773714543,11.514991760253906,11.514991760253906,847229,0.0,0.0
1998-06-26,11.56114673614502,11.607298513393795,11.422689138094336,11.56114673614502,1260438,0.0,0.0
1998-06-29,11.65345299039135,11.81498612629994,11.65345299039135,11.722681045532228,790804,0.0,0.0
1998-06-30,11.676529765889365,11.95344352722168,11.56114991334172,11.95344352722168,1761396,0.0,0.0
1998-07-01,11.930364070348809,12.138048945049208,11.745754705276989,11.884211540222168,1254002,0.0,0.0
1998-07-02,11.88421170261418,11.88421170261418,11.65345055969722,11.676526069641112,522411,0.0,0.0
1998-07-06,11.699602988258771,11.907288632827816,11.653451210359378,11.814984321594238,771066,0.0,0.0
1998-07-07,11.814987830878549,11.838064104399749,11.607302124622752,11.74575901031494,8416725,0.0,0.0
1998-07-08,11.838057882561555,12.184199537149633,11.838057882561555,12.161123275756836,1722134,0.0,0.0
1998-07-09,12.16112504964497,12.16112504964497,12.091897010803224,12.091897010803224,1448163,0.0,0.0
1998-07-10,12.091897010803224,12.16112504964497,12.04574448128557,12.091897010803224,1476697,0.0,0.0
1998-07-13,12.045745104453616,12.11497314687677,11.90728826417254,12.022668838500977,1116909,0.0,0.0
1998-07-14,11.976520538330078,12.045749360649028,11.907292471446166,11.976520538330078,1696175,0.0,0.0
1998-07-15,11.976516008694013,11.99959302950741,11.630374294318573,11.676526069641112,4195382,0.0,0.0
1998-07-16,11.814989308939792,11.907293659136904,11.745760479715628,11.791913032531738,1040103,0.0,0.0
1998-07-17,11.791912097762827,11.81498837234158,11.67653072486907,11.768835067749023,3208272,0.0,0.0
1998-07-20,11.768831686793233,11.930365562438965,11.722679906329288,11.930365562438965,1938608,0.0,0.0
1998-07-21,11.93036672182467,12.022671047157472,11.722681045532228,11.722681045532228,1290903,0.0,0.0
1998-07-22,11.76882835907078,12.438036918640137,11.745752853080996,12.438036918640137,2199706,0.0,0.0
1998-07-23,12.368810980759983,12.368810980759983,11.97651671257154,11.999593734741213,634188,0.0,0.0
1998-07-24,11.953439789222411,12.068821116558766,11.67652611448468,11.861135482788086,597072,0.0,0.0
1998-07-27,11.8380648439668,12.553424835205078,11.722683469152498,12.553424835205078,862247,0.0,0.0
1998-07-28,12.461114401345723,12.645722999964752,12.41496187397362,12.599571228027344,904512,0.0,0.0
1998-07-29,12.69187300680774,12.738025525014235,12.138045810067991,12.27650260925293,856240,0.0,0.0
1998-07-30,12.230356109151492,12.299584160815224,12.091899250389154,12.13805103302002,471779,0.0,0.0
1998-07-31,12.161126091015726,12.41496351422973,11.884212401066849,11.999593734741213,515332,0.0,0.0
1998-08-03,12.022669246041287,12.230354891220342,11.95344044583667,11.999593734741213,1236195,0.0,0.0
1998-08-04,12.045742988586426,12.299580358608718,12.022666726687191,12.045742988586426,1304634,0.0,0.0
1998-08-05,12.18419980454719,12.230352328345656,11.791905618564131,12.045742988586426,1050616,0.0,0.0
1998-08-06,12.1149776755602,12.138053950138952,11.722683274026574,11.768835067749023,1262584,0.0,0.0
1998-08-07,11.791908054927143,11.838060588261332,11.699602988258771,11.814984321594238,1777486,0.0,0.0
