Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,24.781353441783747,24.781353441783747,24.65806312615298,24.76374053955078,1003200,0.0,0.0,0.0
1993-02-01,24.78134902048919,24.939865112304688,24.78134902048919,24.939865112304688,480500,0.0,0.0,0.0
1993-02-02,24.92224898953266,25.01031347359461,24.86941029909549,24.992700576782227,201300,0.0,0.0,0.0
1993-02-03,25.02792739735155,25.274507962842694,25.010314499816467,25.256895065307617,529400,0.0,0.0,0.0
1993-02-04,25.34496644337972,25.415418052673346,25.06316000620524,25.362579345703125,531500,0.0,0.0,0.0
1993-02-05,25.34494972229004,25.397788394400443,25.204046596662295,25.34494972229004,492100,0.0,0.0,0.0
1993-02-08,25.34494972229004,25.43301417580738,25.309723940883103,25.34494972229004,596100,0.0,0.0,0.0
1993-02-09,25.25689153224125,25.25689153224125,25.115988371670877,25.16882705688477,122100,0.0,0.0,0.0
1993-02-10,25.16883189656533,25.221670591939503,25.09838030273309,25.204057693481445,379600,0.0,0.0,0.0
1993-02-11,25.239286115007044,25.43302801819272,25.239286115007044,25.32735061645508,19500,0.0,0.0,0.0
1993-02-12,25.292127800388776,25.292127800388776,25.133611679077145,25.13361167907715,42500,0.0,0.0,0.0
1993-02-16,25.0631510956008,25.0631510956008,24.46431262950773,24.49953842163086,374800,0.0,0.0,0.0
1993-02-17,24.49954840433683,24.534774210813232,24.39387098490763,24.481935501098636,210900,0.0,0.0,0.0
1993-02-18,24.76373854294537,24.76373854294537,24.129674113680768,24.464319229125977,378100,0.0,0.0,0.0
1993-02-19,24.46432082040751,24.552385330200195,24.42909501649044,24.552385330200195,34900,0.0,0.0,0.0
1993-02-22,24.62284996409004,24.67568869791856,24.552398318985347,24.64046287536621,513600,0.0,0.0,0.0
1993-02-23,24.710895834392065,24.72850873234957,24.49954105890189,24.62283134460449,373700,0.0,0.0,0.0
1993-02-24,24.640445827764307,24.939865112304688,24.640445827764307,24.939865112304688,26300,0.0,0.0,0.0
1993-02-25,24.92224898953266,25.01031347359461,24.86941029909549,24.992700576782227,44500,0.0,0.0,0.0
1993-02-26,25.045547930981225,25.045547930981225,24.90464470774082,25.02793502807617,66200,0.0,0.0,0.0
1993-03-01,25.11599365858941,25.11599365858941,24.92225177202245,24.95747756958008,66500,0.0,0.0,0.0
1993-03-02,24.975092610662937,25.32735061645508,24.93986681008372,25.32735061645508,182400,0.0,0.0,0.0
1993-03-03,25.3625623539214,25.45062680653918,25.327336572874287,25.433013916015625,280100,0.0,0.0,0.0
1993-03-04,25.4682604728635,25.4682604728635,25.292131423950195,25.292131423950195,89500,0.0,0.0,0.0
1993-03-05,25.327351370337286,25.433028775220475,25.20406106464024,25.2216739654541,40000,0.0,0.0,0.0
1993-03-08,25.274496886248144,25.78527069091797,25.274496886248144,25.78527069091797,50800,0.0,0.0,0.0
1993-03-09,25.732430367211595,25.75004325589552,25.64436592379198,25.69720458984375,169300,0.0,0.0,0.0
1993-03-10,25.697214718882588,25.750053405761715,25.591537345124333,25.75005340576172,194400,0.0,0.0,0.0
1993-03-11,25.767669974694687,25.83812156724341,25.644379687734425,25.67960548400879,70900,0.0,0.0,0.0
1993-03-12,25.468255421723747,25.485868323121892,25.256900604945955,25.415416717529297,643600,0.0,0.0,0.0
